DEVICE_CONFIG_EFFECT_DTTM,ASSET_CREATION_DT,SERIAL_NUMBER,BILL_CYCLE,CURRENT_DISPOSITION,CURRENT_DISP_DT,MTR_SPEC,SPID,SP_TYPE,MTR_SITE_ID,PREM_ID,PREM_ADDR,PIN,CURRENT_LOC_ORG_ID
1950-01-01-00.00.00,6/23/23,20230640,03,NI-INSTORE,1/21/26,SM-DISC-B75,292901063200,WT-RES,36320-WT-000,5088839811,1755 E JOHNSON ST B,FDL-15-18-08-23-749-01,
2003-01-21-12.01.00,1/20/03,18117660,01,NI-INSTORE,12/6/23,SM-DISC-B58,813656206400,WT-RES,20850-WT-000,6999886953,442 ELLIS ST,FDL-15-17-15-41-159-00,
2003-02-07-12.02.00,2/6/03,18117680,01,NI-INSTORE,11/8/23,SM-DISC-B58,423279968400,WT-RES,27176-WT-000,9609458722,945 MEADOW LN,FDL-15-17-23-42-281-00,
2003-02-07-12.02.00,2/6/03,18117705,01,NI-INSTORE,8/2/23,SM-DISC-B58,314080385000,WT-RES,21344-WT-000,3438753946,15 HOWARD AVE,FDL-15-17-15-43-611-00,
2003-02-17-12.02.00,2/16/03,18117676,02,NI-INSTORE,10/26/23,SM-DISC-B58,750516511800,WT-RES,22202-WT-000,0656971655,475 WESTERN AVE,FDL-15-17-16-11-165-00,
2003-03-10-12.03.00,3/9/03,18117710,01,NI-INSTORE,11/15/23,SM-DISC-B58,366742794100,WT-RES,25748-WT-000,8605590674,21 ARVEY LN,FDL-15-17-23-21-109-00,
2003-03-14-12.03.00,3/13/03,18117689,03,NI-INSTORE,10/12/23,SM-DISC-B58,810485342900,WT-RES,4228-WT-000,4550818428,245 N MILITARY RD,FDL-15-17-10-13-624-00,
2003-03-21-12.03.00,3/20/03,17908282,01,NI-INSTORE,11/30/23,SM-DISC-B75,013078241600,WT-RES,34984-WT-000,5378321625,42 YACOUB LN,FDL-15-17-26-21-023-00,
2003-04-07-12.04.00,4/6/03,18407555,02,NI-INSTORE,7/11/23,SM-DISC-B58,623345517500,WT-RES,13532-WT-000,0202920660,107 VINCENT ST,FDL-15-17-14-12-266-00,
2003-05-14-12.05.00,5/13/03,18407613,02,NI-INSTORE,11/8/23,SM-DISC-B58,646634292700,WT-RES,20272-WT-000,0344510757,360 ARLINGTON AVE,FDL-15-17-15-33-582-00,
2003-05-30-12.05.00,5/29/03,17908249,01,NI-INSTORE,10/26/23,SM-DISC-B75,759291584500,WT-RES,34980-WT-000,0322545988,26 YACOUB LN,FDL-15-17-26-21-021-00,
2003-05-30-12.05.00,5/29/03,17908251,03,NI-INSTORE,10/17/23,SM-DISC-B75,292901063200,WT-RES,36320-WT-000,5088839811,1755 E JOHNSON ST B,FDL-15-18-08-23-749-01,
2003-05-30-12.05.00,5/29/03,18391895,03,NI-INSTORE,10/17/23,SM-DISC-B75,721404469100,WT-COM,29026-WT-000,8388358997,1755 E JOHNSON ST,FDL-15-18-08-23-749-01,
2003-06-18-12.06.00,6/17/03,18407632,03,NI-INSTORE,10/19/23,SM-DISC-B58,742020792800,WT-RES,7772-WT-000,5856920971,259 LAWRENCE AVE,FDL-15-17-11-14-817-00,
2003-06-26-12.06.00,6/25/03,18914811,02,NI-INSTORE,10/12/23,SM-DISC-B58,772198313900,WT-RES,22892-WT-000,7615390312,527 GROVE ST,FDL-15-17-16-14-791-00,
2003-07-21-12.07.00,7/20/03,18391859,02,NI-INSTORE,10/2/23,SM-DISC-B75,495574493700,WT-RES,30524-WT-000,1587566408,789 GROVE ST,FDL-15-17-16-24-806-00,
2003-09-12-12.09.00,9/11/03,19125097,01,NI-INSTORE,11/9/23,SM-DISC-B75,486312380300,WT-RES,24156-WT-000,4836993259,694 S MARR ST,FDL-15-17-22-11-023-00,
2003-09-17-12.09.00,9/16/03,19125123,01,NI-INSTORE,12/6/23,SM-DISC-B75,790835730500,WT-RES,29938-WT-000,7122475332,826 MARTIN AVE,FDL-15-17-23-24-822-00,
