DEVICE_CONFIG_EFFECT_DTTM,ASSET_CREATION_DT,SERIAL_NUMBER,BILL_CYCLE,CURRENT_DISPOSITION,CURRENT_DISP_DT,MTR_SPEC,SPID,SP_TYPE,MTR_SITE_ID,PREM_ID,PREM_ADDR,PIN,CURRENT_LOC_ORG_ID
1996-06-01-12.06.00,5/31/96,96062389, ,NI-RETIRED,1/21/26,SM-DISC-B58,685215593200,WT-RES,18422-WT-000,6913584376,220 ELM ST,FDL-15-17-15-13-596-00,
1997-05-01-12.05.00,4/30/97,96640009,01,NI-RETIRED,8/7/24,SM-DISC-B75,849689515100,WT-RES,21040-WT-000,1185871427,393 LINDEN ST,FDL-15-17-15-42-304-00,
1998-08-01-12.08.00,7/31/98,98232965,02,NI-RETIRED,4/12/24,SM-DISC-B58,410807822300,WT-RES,5696-WT-000,7640892746,21 N HICKORY ST,FDL-15-17-10-33-535-00,
2001-02-19-12.02.00,2/18/01,16492266,03,NI-RETIRED,6/12/25,SM-DISC-B75,529111182600,WT-COM,32092-WT-000,3487762650,13 N MAIN ST,FDL-15-17-10-44-831-00,
2001-02-19-12.02.00,2/18/01,16826508,03,NI-RETIRED,4/21/25,SM-DISC-B58,929322734100,WT-COM,32094-WT-000,0011910275,11 N MAIN ST,FDL-15-17-10-44-831-00,
2001-02-19-12.02.00,2/18/01,16826509,03,NI-RETIRED,5/16/25,SM-DISC-B58,731452894500,WT-COM,32096-WT-000,1073102945,9 N MAIN ST,FDL-15-17-10-44-831-00,
2001-03-21-12.03.00,3/20/01,16826631,03,NI-RETIRED,4/17/24,SM-DISC-B58,845458740500,WT-RES,6134-WT-000,3501211204,23 E JOHNSON ST,FDL-15-17-10-41-020-00,
2002-02-19-12.02.00,2/18/02,17552444,01,NI-RETIRED,4/17/24,SM-DISC-B58,626798089000,WT-RES,16690-WT-000,7932165848,264 14TH ST,FDL-15-17-14-33-621-00,
2002-03-21-12.03.00,3/20/02,17893168,01,NI-RETIRED,4/17/24,SM-DISC-B58,418055975100,WT-RES,17002-WT-000,9964356806,321 14TH ST,FDL-15-17-14-34-853-00,
2002-03-22-12.03.00,3/21/02,17461823,01,NI-RETIRED,4/12/24,SM-DISC-B100,123462071800,WT-RES,38468-WT-000,3220084220,562 S NATIONAL AVE,FDL-15-17-14-44-761-01,
2002-04-12-12.04.00,4/11/02,17893286,01,NI-RETIRED,4/17/24,SM-DISC-B58,676957203200,WT-RES,17242-WT-000,9301228991,590 E 9TH ST,FDL-15-17-14-41-041-00,
2002-05-10-12.05.00,5/9/02,17910397,01,NI-RETIRED,8/7/24,SM-DISC-B100,954011265000,WT-RES,28302-WT-000,1478514783,41 HAMPTON CT,FDL-15-17-24-33-512-00,
2002-05-23-12.05.00,5/22/02,17893370,01,NI-RETIRED,8/7/24,SM-DISC-B58,538168235100,WT-RES,21378-WT-000,4650545964,540 S MAIN ST,FDL-15-17-15-43-628-00,
2002-06-18-12.06.00,6/17/02,18070663,02,NI-RETIRED,1/20/26,SM-DISC-B58,315119270100,WT-RES,30766-WT-000,8999295553,402 MORRIS ST,FDL-15-17-15-31-070-00,
2002-07-03-12.07.00,7/2/02,18129552,01,NI-RETIRED,4/12/24,SM-DISC-B100,482175729100,WT-RES,34964-WT-000,4884919894,1137 S PARK AVE,FDL-15-17-26-21-013-00,
2003-01-07-12.01.00,1/6/03,17908163,02,NI-RETIRED,4/12/24,SM-DISC-B75,116752118300,WT-RES,12024-WT-000,7486412318,965 SPRINGS RD,FDL-15-17-13-24-798-00,
2003-01-07-12.01.00,1/6/03,18117654,03,NI-RETIRED,4/17/24,SM-DISC-B58,649283413000,WT-RES,7980-WT-000,4120635264,341 BISCHOFF ST,FDL-15-17-11-21-038-00,
2003-01-08-12.01.00,1/7/03,18117665,03,NI-RETIRED,4/17/24,SM-DISC-B58,841130727400,WT-RES,7986-WT-000,4907225948,353 BISCHOFF ST,FDL-15-17-11-21-041-00,
2003-01-10-12.01.00,1/9/03,18117657,03,NI-RETIRED,4/17/24,SM-DISC-B58,817078431200,WT-RES,32460-WT-000,6914958404,524 NORTHGATE ST,FDL-15-17-02-34-799-00,
2003-01-16-12.01.00,1/15/03,18117740,01,NI-RETIRED,4/17/24,SM-DISC-B58,049400672800,WT-RES,21038-WT-000,6487564118,397 LINDEN ST,FDL-15-17-15-42-303-00,
2003-01-17-12.01.00,1/16/03,18117739,01,NI-RETIRED,4/17/24,SM-DISC-B58,431401503500,WT-RES,14092-WT-000,7854805321,295 WOODWARD ST,FDL-15-17-14-14-818-00,
2003-01-28-12.01.00,1/27/03,18117666,01,NI-RETIRED,4/17/24,SM-DISC-B58,211467594600,WT-RES,15076-WT-000,4756540108,171 6TH ST,FDL-15-17-14-23-577-00,
2003-02-04-12.02.00,2/3/03,18117703,01,NI-RETIRED,4/17/24,SM-DISC-B58,337079180700,WT-RES,21032-WT-000,8291669641,411 LINDEN ST,FDL-15-17-15-42-300-00,
