ENDPOINT_ID,ENDPOINT_SPEC,INSTALL_DT,SP_ID,ADDRESS,SP_TYPE,MTR_SITE_ID,BILL_CYCLE
3713140,P-CELL-M25,"Mar 30, 2026",671292253303,728 S COUNTRY LN,WT-RES,27640-WT-000,01
3568999,P-CELL-M70,"Mar 27, 2026",577965048033,1096 S MAIN ST STE 100,WT-COM,25050-WT-000,02
3703544,P-CELL-M25,"Mar 26, 2026",524621621100,209 HASS CIR 7,WT-RES,30668-WT-000,02
3709498,P-CELL-M25,"Mar 26, 2026",192021100577,357 1/2 E 2ND ST LOWER,WT-RES,14600-WT-000,02
3702703,P-CELL-M25,"Mar 26, 2026",070596129012,1563 S PARK AVE,WT-RES,71222-WT-000,01
3702722,P-CELL-M25,"Mar 26, 2026",593264926723,1559 S PARK AVE,WT-RES,41212-WT-000,01
3712730,P-CELL-M25,"Mar 13, 2026",464002175779,340 TWILIGHT TRL,WT-RES,38160-WT-000,02
3702736,P-CELL-M25,"Mar 11, 2026",835214329190,508 SWEETFLAG AVE,WT-RES,13198-WT-000,01
3703543,P-CELL-M25,"Mar 5, 2026",364614142100,173 E 2ND ST,WT-RES,14698-WT-000,02
3690732,P-CELL-M25,"Feb 13, 2026",921727375400,441 DEWBERRY DR,WT-RES,12634-WT-000,01
3702731,P-CELL-M25,"Feb 3, 2026",466162540824,97 LEDGER WAY,WT-RES,41198-WT-000,03
3703513,P-CELL-M25,"Feb 3, 2026",564137656564,1491 LYNN AVE,WT-RES,41200-WT-000,03
3703515,P-CELL-M25,"Jan 30, 2026",788941030700,113 YACOUB LN,WT-RES,35782-WT-000,01
3702721,P-CELL-M25,"Jan 27, 2026",195454056726,312 TWILIGHT TRL,WT-RES,38154-WT-000,02
3703517,P-CELL-M25,"Jan 27, 2026",188966588637,316 TWILIGHT TRL,WT-RES,38156-WT-000,02
3703548,P-CELL-M25,"Jan 23, 2026",270848396300,436 CENTER ST,WT-RES,20604-WT-000,01
3703514,P-CELL-M25,"Jan 21, 2026",081701872800,132 6TH ST,WT-RES,18682-WT-000,01
3702724,P-CELL-M25,"Jan 21, 2026",481732961000,490 SWEETFLAG AVE,WT-RES,13194-WT-000,01
3703503,P-CELL-M25,"Jan 21, 2026",951521955000,239 E 11TH ST,WT-RES,16402-WT-000,01
3568952,P-CELL-M25,"Dec 22, 2025",700841592026,40 WISTERIA CT,WT-RES,41188-WT-000,03
3568960,P-CELL-M25,"Dec 18, 2025",978130448600,1546 MISTRAL LN,WT-RES,38334-WT-000,03
3568995,P-CELL-M70,"Dec 9, 2025",077741387670,635 N ROLLING MEADOWS DR,WT-COM,35214-WT-000,03
3568951,P-CELL-M25,"Nov 13, 2025",680615590847,1834 S HICKORY ST,WT-RES,41036-WT-000,02
3568972,P-CELL-M25,"Oct 21, 2025",011914692800,18 FOREST AVE,WT-COM,18178-WT-000,02
3568964,P-CELL-M25,"Oct 20, 2025",062867200600,600 LUCO RD,WT-RES,536-WT-000,03
3568973,P-CELL-M25,"Sep 22, 2025",014755822900,747 RED FOX RUN,EX-RES,33492-EX-000,03
3642176,SM-SJ130D-M200,"Sep 2, 2025",817251774120,1336 CAPITAL DR,EX-IND,29042-EX-000,03
3642177,SM-SJ130D-M200,"Sep 2, 2025",834925653900,1336 CAPITAL DR,WT-IND,29042-WT-000,03
3642173,SM-SJ130D-M200,"Sep 2, 2025",290532436752,181 MORRIS CT,WT-COM,24858-WT-000,02
3642179,SM-SJ130D-M200,"Sep 2, 2025",866663589400,1096 S MAIN ST STE 200,WT-COM,25048-WT-000,02
3568966,P-CELL-M25,"Aug 27, 2025",083815695303,262 N BELL ST,WT-RES,1994-WT-000,03
3568987,P-CELL-M25,"Aug 27, 2025",860477527336,258 N BELL ST,WT-RES,1992-WT-000,03
3568962,P-CELL-M25,"Aug 26, 2025",045727390000,339 E DIVISION ST,WT-RES,10272-WT-000,02
3568978,P-CELL-M25,"Aug 26, 2025",816242411400,266 S SEYMOUR ST,WT-RES,22566-WT-000,02
3568959,P-CELL-M25,"Aug 25, 2025",994253866500,17 CONCORD DR,WT-RES,11546-WT-000,02
3568961,P-CELL-M25,"Aug 20, 2025",838659494200,336 S MILITARY RD,WT-RES,19602-WT-000,02
3568967,P-CELL-M25,"Aug 20, 2025",084193284200,351 S PIONEER RD,WT-COM,23584-WT-000,02
3568968,P-CELL-M25,"Aug 15, 2025",626733677654,254 N BELL ST,WT-RES,1986-WT-000,03
3568988,P-CELL-M25,"Aug 15, 2025",974528870252,250 N BELL ST,WT-RES,1984-WT-000,03
3568963,P-CELL-M25,"Aug 12, 2025",750268581025,231 W SCOTT ST,WT-COM,33004-WT-000,03
3568984,P-CELL-M25,"Jul 16, 2025",244095891384,748 S COUNTRY LN,WT-RES,27722-WT-000,01
3568969,P-CELL-M25,"Jul 15, 2025",646309344555,760 S COUNTRY LN,WT-RES,27724-WT-000,01
3568979,P-CELL-M25,"Jul 15, 2025",470691714967,1385 EASTWIND LN,WT-RES,38228-WT-000,02
3568983,P-CELL-M25,"Jul 8, 2025",233286211606,1367 PRIMROSE LN,WT-RES,13124-WT-000,01
3568985,P-CELL-M25,"Jul 1, 2025",029244793985,738 S COUNTRY LN,WT-RES,41184-WT-000,01
3568970,P-CELL-M25,"Jun 11, 2025",676957203200,590 E 9TH ST,WT-RES,17242-WT-000,01
3568986,P-CELL-M25,"Jun 4, 2025",594313592126,487 SWEETFLAG AVE,WT-RES,13178-WT-000,01
3568989,P-CELL-M25,"Jun 4, 2025",967350318300,106 N LINCOLN AVE,WT-RES,5446-WT-000,02
3568953,P-CELL-M25,"May 20, 2025",526984597600,596 RUGGLES ST,WT-RES,22436-WT-000,02
3568982,P-CELL-M25,"May 20, 2025",575847320700,450 ARLINGTON AVE,WT-IND,23986-WT-000,02
3568996,P-CELL-M70,"May 20, 2025",394773454467,11 HAWKS CT,WT-RES,35962-WT-000,03
3568997,P-CELL-M70,"May 13, 2025",620677319155,MARTIN AVE STAGE RSTRMS,WT-PUB,41180-WT-000,01
3568977,P-CELL-M25,"May 1, 2025",498646435316,1380 LIGHTHOUSE VILLAGE RD,WT-RES,40870-WT-000,01
3568980,P-CELL-M25,"May 1, 2025",783448081854,1382 LIGHTHOUSE VILLAGE RD,WT-RES,40872-WT-000,01
3568990,P-CELL-M25,"Apr 18, 2025",479087374600,600 E 10TH ST,WT-RES,17318-WT-000,01
3568976,P-CELL-M25,"Apr 16, 2025",883039822873,27 WISTERIA CT,WT-RES,41176-WT-000,03
3568981,P-CELL-M25,"Apr 16, 2025",216487258466,29 WISTERIA CT,WT-RES,41178-WT-000,03
3568992,P-CELL-M70,"Mar 26, 2025",964545891491,187 MORNINGSIDE DR FLDS,WT-PUB,39892-WT-000,02
3568974,P-CELL-M25,"Mar 20, 2025",716200881889,803 MUSTANG LN,WT-RES,37176-WT-000,01
3568971,P-CELL-M25,"Mar 12, 2025",607810342874,246 N BELL ST,WT-RES,1982-WT-000,03
3568975,P-CELL-M25,"Mar 12, 2025",490958128412,242 N BELL ST,WT-RES,1980-WT-000,03
3568954,P-CELL-M25,"Mar 4, 2025",622569060118,871 S MAIN ST TRLR 215,WT-RES,41154-WT-000,01
3568955,P-CELL-M25,"Mar 4, 2025",222153756493,871 S MAIN ST TRLR 216,WT-RES,41156-WT-000,01
3568956,P-CELL-M25,"Mar 4, 2025",336550464591,871 S MAIN ST TRLR 217,WT-RES,41158-WT-000,01
3568957,P-CELL-M25,"Mar 4, 2025",991144485251,871 S MAIN ST TRLR 218,WT-RES,41160-WT-000,01
3568958,P-CELL-M25,"Mar 4, 2025",871004387929,871 S MAIN ST TRLR 219,WT-RES,41162-WT-000,01
