MTR Effective DT,Status CNG DT,Current Depo DT,Serial Number,Current Disposition,Business Object Status,Specification,Service Point ID,Legacy Meter Location Id,Premise ID,Address 1,Geographic Value
2003/03/19,2023/10/12,2023/10/02,01088608,NI-INSTORE,INSTORE     ,SM-DISC-B100,323964817700,9438-WT-000,5047048069,102 COTTAGE AVE,FDL1517113110500
2003/09/08,2023/10/12,2023/10/02,19261195,NI-INSTORE,INSTORE     ,SM-DISC-B58,322099392100,8348-WT-000,5275963721,232 BISCHOFF ST,FDL1517112230500
2003/03/13,2023/10/12,2023/10/03,18117689,NI-INSTORE,INSTORE     ,SM-DISC-B58,810485342900,4228-WT-000,4550818428,245 N MILITARY RD,FDL1517101362400
2003/05/29,2023/10/17,2023/10/03,17908251,NI-INSTORE,INSTORE     ,SM-DISC-B75,292901063200,36320-WT-000,5088839811,1755 E JOHNSON ST B,FDL1518082374900
2003/05/29,2023/10/17,2023/10/03,17908248,NI-INSTORE,INSTORE     ,SM-DISC-B75,171956655200,36324-WT-000,9115958079,1755 E JOHNSON ST D,FDL1518082374900
2003/05/29,2023/10/17,2023/10/03,17908236,NI-INSTORE,INSTORE     ,SM-DISC-B75,471893772800,36318-WT-000,4060024365,1755 E JOHNSON ST A,FDL1518082374900
2003/05/29,2023/10/17,2023/10/03,17908289,NI-INSTORE,INSTORE     ,SM-DISC-B75,602795642100,36322-WT-000,5235472407,1755 E JOHNSON ST C,FDL1518082374900
2003/05/29,2023/10/17,2023/10/03,18391895,NI-INSTORE,INSTORE     ,SM-DISC-B75,721404469100,29026-WT-000,8388358997,1755 E JOHNSON ST,FDL1518082374900
2003/08/11,2023/10/12,2023/10/03,19258260,NI-INSTORE,INSTORE     ,SM-DISC-B75,141724109500,23560-WT-000,8079207203,810 GROVE ST,FDL1517163225200
2003/07/15,2023/10/12,2023/10/04,19146055,NI-INSTORE,INSTORE     ,SM-DISC-B100,264982427100,11108-WT-000,9107080466,15 BARRINGTON CT,FDL1517123103200
2003/11/17,2023/10/12,2023/10/04,17893182,NI-INSTORE,INSTORE     ,SM-DISC-B58,255893356500,4158-WT-000,5733300646,118 W ARNDT ST,FDL1517101358900
2003/01/09,2023/10/12,2023/10/05,18117657,NI-INSTORE,INSTORE     ,SM-DISC-B58,817078431200,32460-WT-000,6914958404,524 NORTHGATE ST,FDL1517023479900
2003/04/27,2023/10/06,2023/10/05,01088610,NI-INSTORE,INSTORE     ,SM-DISC-B100,313121812700,34892-WT-000,6156893328,27 WHISPERING SPRINGS CT,FDL1518053475400
2003/05/20,2023/10/12,2023/10/05,18407660,NI-INSTORE,INSTORE     ,SM-DISC-B58,474439813600,5578-WT-000,9373775191,112 WALNUT ST,FDL1517103235600
2003/06/25,2023/10/12,2023/10/05,18914811,NI-INSTORE,INSTORE     ,SM-DISC-B58,772198313900,22892-WT-000,7615390312,527 GROVE ST,FDL1517161479100
2003/11/05,2023/10/06,2023/10/05,19545795,NI-INSTORE,INSTORE     ,SM-DISC-B75,522046129400,35176-WT-000,4556810210,17 HUNTERS CT,FDL1518064353400
2003/03/17,2023/10/12,2023/10/06,18407664,NI-INSTORE,INSTORE     ,SM-DISC-B58,268845697100,3932-WT-000,0841704431,123 W MC WILLIAMS ST,FDL1517101239400
2003/02/23,2023/10/17,2023/10/09,18117683,NI-INSTORE,INSTORE     ,SM-DISC-B58,165843272700,11352-WT-000,1072951714,778 MEADOWBROOK LN,FDL1517123351600
2003/03/18,2023/10/17,2023/10/09,17908317,NI-INSTORE,INSTORE     ,SM-DISC-B75,871848361800,4670-WT-000,2696117690,160 W SCOTT ST,FDL1517102102600
2003/07/14,2023/10/17,2023/10/09,19131222,NI-INSTORE,INSTORE     ,SM-DISC-B58,178079913900,7308-WT-000,2580371208,464 BISCHOFF ST,FDL1517111231500
2003/12/16,2023/10/17,2023/10/09,19544152,NI-INSTORE,INSTORE     ,SM-DISC-B58,614561013900,8944-WT-000,7852601068,269 TAFT ST,FDL1517112475900
2003/12/29,2023/10/17,2023/10/09,19610432,NI-INSTORE,INSTORE     ,SM-DISC-B58,043408366900,2328-WT-000,9934960676,23 N BERGER PKY,FDL1517093476200
2004/04/27,2023/10/17,2023/10/09,19610499,NI-INSTORE,INSTORE     ,SM-DISC-B58,038592498200,9726-WT-000,1247267620,257 LEDGEVIEW AVE,FDL1517113234900
2003/05/12,2023/10/17,2023/10/10,18440396,NI-INSTORE,INSTORE     ,SM-DISC-B100,175741181000,36286-WT-000,2976652112,312 E HARBOR VIEW DR,FDL1517023475502
2003/08/04,2023/10/17,2023/10/10,19131263,NI-INSTORE,INSTORE     ,SM-DISC-B58,594689939600,14712-WT-000,6267496563,211 E 2ND ST,FDL1517142233400
2003/09/11,2023/10/17,2023/10/10,19261192,NI-INSTORE,INSTORE     ,SM-DISC-B58,537420381900,9202-WT-000,8526390304,270 STOW ST,FDL1517112488900
2003/10/21,2023/10/17,2023/10/10,19261238,NI-INSTORE,INSTORE     ,SM-DISC-B58,914204707000,1846-WT-000,9073701383,498 W SCOTT ST,FDL1517091101100
2003/01/07,2023/10/17,2023/10/11,18117665,NI-INSTORE,INSTORE     ,SM-DISC-B58,841130727400,7986-WT-000,4907225948,353 BISCHOFF ST,FDL1517112104100
2003/04/06,2023/10/17,2023/10/11,18407598,NI-INSTORE,INSTORE     ,SM-DISC-B58,614723406300,4764-WT-000,6115445919,426 MILL ST,FDL1517102226800
2003/06/23,2023/10/17,2023/10/11,18914783,NI-INSTORE,INSTORE     ,SM-DISC-B58,732688341300,9350-WT-000,3699648787,145 COTTAGE AVE,FDL1517113106100
2003/06/25,2023/10/17,2023/10/11,18391872,NI-INSTORE,INSTORE     ,SM-DISC-B75,966640089400,19832-WT-000,2327596917,453 MORRIS ST,FDL1517153109700
2003/06/25,2023/10/17,2023/10/11,18391873,NI-INSTORE,INSTORE     ,SM-DISC-B75,133391688000,30656-WT-000,0840384764,455 MORRIS ST,FDL1517153109700
2003/12/15,2023/10/17,2023/10/11,19544138,NI-INSTORE,INSTORE     ,SM-DISC-B58,436382563800,3774-WT-000,5580333360,75 W MC WILLIAMS ST,FDL1517101231500
2003/03/23,2023/10/17,2023/10/12,18407668,NI-INSTORE,INSTORE     ,SM-DISC-B58,271485411600,1106-WT-000,6240405117,482 MADISON ST,FDL1517033358000
2003/03/24,2023/10/17,2023/10/12,18407620,NI-INSTORE,INSTORE     ,SM-DISC-B58,507079699700,4738-WT-000,0415219858,440 SATTERLEE ST,FDL1517102225500
2003/07/10,2023/10/17,2023/10/12,18914844,NI-INSTORE,INSTORE     ,SM-DISC-B58,607363799400,4782-WT-000,8331338671,362 W SCOTT ST,FDL1517102227800
2003/02/12,2023/10/17,2023/10/13,17908206,NI-INSTORE,INSTORE     ,SM-DISC-B75,645491806500,174-WT-000,2954229522,978 WHIPPOORWILL LN,FDL1517014227800
2003/03/25,2023/10/17,2023/10/13,18407599,NI-INSTORE,INSTORE     ,SM-DISC-B58,581895079400,4806-WT-000,0008938347,403 FRANKLIN ST,FDL1517102229000
2003/12/09,2023/10/17,2023/10/13,19544128,NI-INSTORE,INSTORE     ,SM-DISC-B58,599651466700,1054-WT-000,7216455340,482 TEMPERANCE ST,FDL1517033355400
2003/03/06,2023/10/17,2023/10/16,18117701,NI-INSTORE,INSTORE     ,SM-DISC-B58,770176056600,20180-WT-000,9214051512,489 FARWELL AVE,FDL1517153353600
2003/05/13,2023/10/17,2023/10/16,01052797,NI-INSTORE,INSTORE     ,SM-DISC-B100,692047482300,28728-WT-000,8277095794,1880 MORRIS ST,FDL1517272100200
2003/05/20,2023/10/17,2023/10/16,18914765,NI-INSTORE,INSTORE     ,SM-DISC-B58,712713634200,30734-WT-000,7471135892,711 MORRIS CT,FDL1517222103700
2003/06/17,2023/10/17,2023/10/16,18391836,NI-INSTORE,INSTORE     ,SM-DISC-B75,819442806300,35086-WT-000,9978934940,1048 SPRINGS RD,FDL1517131350100
2003/06/24,2023/10/17,2023/10/16,18440401,NI-INSTORE,INSTORE     ,SM-DISC-B100,745380170800,834-WT-000,2784640263,603 E SCOTT ST,FDL1517024475800
2003/06/24,2023/10/17,2023/10/16,18440379,NI-INSTORE,INSTORE     ,SM-DISC-B100,077063202000,836-WT-000,0921277213,601 E SCOTT ST,FDL1517024475900
2003/07/08,2023/10/17,2023/10/16,18914789,NI-INSTORE,INSTORE     ,SM-DISC-B58,846005349500,13536-WT-000,9133022192,450 E 1ST ST,FDL1517141226800
2003/07/14,2023/10/17,2023/10/16,18914836,NI-INSTORE,INSTORE     ,SM-DISC-B58,392123910100,8122-WT-000,6905671264,292 E BANK ST,FDL1517112110900
2003/09/02,2023/10/17,2023/10/16,18391849,NI-INSTORE,INSTORE     ,SM-DISC-B75,540517092300,33528-WT-000,4469461108,180 SOUTHLAKE CIR,FDL1517224355000
2003/01/06,2023/10/18,2023/10/17,17908163,NI-INSTORE,INSTORE     ,SM-DISC-B75,116752118300,12024-WT-000,7486412318,965 SPRINGS RD,FDL1517132479800
2003/06/29,2023/10/17,2023/10/17,18407631,NI-INSTORE,INSTORE     ,SM-DISC-B58,970200013700,9848-WT-000,3391970656,261 E MERRILL AVE,FDL1517113241100
2003/09/14,2023/10/17,2023/10/17,19261196,NI-INSTORE,INSTORE     ,SM-DISC-B58,510564637400,7976-WT-000,2035131768,433 ROOSEVELT ST,FDL1517112103600
2005/05/19,2023/10/17,2023/10/17,29468808,NI-INSTORE,INSTORE     ,SM-DISC-B75,637633878300,31162-WT-000,5593674307,892 BISHOP CT,FDL1517132104100
2003/03/04,2023/10/19,2023/10/18,18117668,NI-INSTORE,INSTORE     ,SM-DISC-B58,484551735400,5594-WT-000,0999187058,73 N HICKORY ST,FDL1517103236401
2003/05/20,2023/10/19,2023/10/18,18407653,NI-INSTORE,INSTORE     ,SM-DISC-B58,195097825200,19094-WT-000,7050989095,129 MARY'S AVE,FDL1517152228000
2003/06/17,2023/10/19,2023/10/18,18407632,NI-INSTORE,INSTORE     ,SM-DISC-B58,742020792800,7772-WT-000,5856920971,259 LAWRENCE AVE,FDL1517111481700
2003/11/10,2023/10/19,2023/10/18,19261222,NI-INSTORE,INSTORE     ,SM-DISC-B58,804963202400,23390-WT-000,6585626414,729 MC ARTHUR ST,FDL1517162476600
2003/12/14,2023/10/19,2023/10/18,19544140,NI-INSTORE,INSTORE     ,SM-DISC-B58,428772852600,10282-WT-000,4370776360,23 CHAMPION AVE,FDL1517113480000
2003/12/17,2023/10/19,2023/10/18,19544139,NI-INSTORE,INSTORE     ,SM-DISC-B58,147493267000,1856-WT-000,7051262216,536 W SCOTT ST,FDL1517091101600
2004/07/25,2023/10/19,2023/10/18,19814831,NI-INSTORE,INSTORE     ,SM-DISC-B58,767794107100,4824-WT-000,9484026481,408 FRANKLIN ST,FDL1517102230100
2021/05/18,2023/10/23,2023/10/18,20210569,NI-INSTORE,INSTORE     ,SM-DISC-B75,878453931100,32026-WT-000,0937703091,166 S MAIN ST,FDL1517151229900
2003/07/21,2023/10/20,2023/10/19,18391886,NI-INSTORE,INSTORE     ,SM-DISC-B75,420750315300,23568-WT-000,1060597370,25 ROBERTS CT,FDL1517163225600
2016/08/21,2023/10/20,2023/10/19,48124899,NI-INSTORE,INSTORE     ,SM-DISC-B75,834321664500,27554-WT-000,6584410062,17 SAMMY JO CIR,FDL1517234481500
