OWNER,TABLE_NAME,TABLE_COMMENT,COLUMN_ID,COLUMN_NAME,COLUMN_COMMENT,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE,CHAR_LENGTH,CHAR_USED
CISADM,C0_INSTALLATION,,1,INSTALL_OPT_ID,,CHAR,20,,,N,5,C
CISADM,C0_INSTALLATION,,2,QTE_RTE_TYPE_CD,,CHAR,48,,,N,12,C
CISADM,C0_INSTALLATION,,3,CAMPAIGN_CD,,CHAR,48,,,N,12,C
CISADM,C0_INSTALLATION,,4,ID_TYPE_CD_BUS,,CHAR,32,,,N,8,C
CISADM,C0_INSTALLATION,,5,ID_TYPE_CD_PER,,CHAR,32,,,N,8,C
CISADM,C0_INSTALLATION,,6,CUST_CL_CD_BUS,,CHAR,32,,,N,8,C
CISADM,C0_INSTALLATION,,7,CUST_CL_CD_PER,,CHAR,32,,,N,8,C
CISADM,C0_INSTALLATION,,8,ACCT_REL_TYPE_CD,,CHAR,32,,,N,8,C
CISADM,C0_INSTALLATION,,9,ROLLOVR_THRSH_FACT,,NUMBER,22,4,3,N,0,
CISADM,C0_INSTALLATION,,10,BILL_RTE_TYPE_CD,,CHAR,32,,,N,8,C
CISADM,C0_INSTALLATION,,11,OVERRIDE_BIL_DT_SW,,CHAR,4,,,N,1,C
CISADM,C0_INSTALLATION,,12,MIN_BILL_PRT_AMT,,NUMBER,22,15,2,N,0,
CISADM,C0_INSTALLATION,,13,START_CASH_ONL_PTS,,NUMBER,22,5,0,N,0,
CISADM,C0_INSTALLATION,,14,START_CR_RAT_PTS,,NUMBER,22,5,0,N,0,
CISADM,C0_INSTALLATION,,15,CASH_ONLY_PTS_THRS,,NUMBER,22,5,0,N,0,
CISADM,C0_INSTALLATION,,16,CR_RAT_THRS,,NUMBER,22,5,0,N,0,
CISADM,C0_INSTALLATION,,17,MAX_DAY_AGE,,NUMBER,22,5,0,N,0,
