OWNER,TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,POSITION,COLUMN_NAME
CISADM,C0_INSTALLATION,SYS_C00401304,C,,INSTALL_OPT_ID
CISADM,C0_INSTALLATION,SYS_C00401305,C,,QTE_RTE_TYPE_CD
CISADM,C0_INSTALLATION,SYS_C00401306,C,,CAMPAIGN_CD
CISADM,C0_INSTALLATION,SYS_C00401307,C,,ID_TYPE_CD_BUS
CISADM,C0_INSTALLATION,SYS_C00401315,C,,ID_TYPE_CD_PER
CISADM,C0_INSTALLATION,SYS_C00401316,C,,CUST_CL_CD_BUS
CISADM,C0_INSTALLATION,SYS_C00401317,C,,CUST_CL_CD_PER
CISADM,C0_INSTALLATION,SYS_C00401318,C,,ACCT_REL_TYPE_CD
CISADM,C0_INSTALLATION,SYS_C00401319,C,,ROLLOVR_THRSH_FACT
CISADM,C0_INSTALLATION,SYS_C00401320,C,,BILL_RTE_TYPE_CD
CISADM,C0_INSTALLATION,SYS_C00401321,C,,OVERRIDE_BIL_DT_SW
CISADM,C0_INSTALLATION,SYS_C00401322,C,,MIN_BILL_PRT_AMT
CISADM,C0_INSTALLATION,SYS_C00401323,C,,START_CASH_ONL_PTS
CISADM,C0_INSTALLATION,SYS_C00401324,C,,START_CR_RAT_PTS
CISADM,C0_INSTALLATION,SYS_C00401325,C,,CASH_ONLY_PTS_THRS
CISADM,C0_INSTALLATION,SYS_C00401326,C,,CR_RAT_THRS
CISADM,C0_INSTALLATION,SYS_C00401327,C,,MAX_DAY_AGE
CISADM,C0_INSTALLATION,SYS_C00401328,C,,HILO_FAILS_SW
CISADM,C0_INSTALLATION,SYS_C00401329,C,,GL_BATCH_CD
CISADM,C0_INSTALLATION,SYS_C00401330,C,,AP_BATCH_CD
CISADM,C0_INSTALLATION,SYS_C00401331,C,,VERSION
CISADM,C0_INSTALLATION,SYS_C00401332,C,,QUK_ADD_TNDR_TYP
CISADM,C0_INSTALLATION,SYS_C00401334,C,,STRT_BAL_TNDR_TYP
CISADM,C0_INSTALLATION,SYS_C00401335,C,,CRE_FA_SS_SW
CISADM,C0_INSTALLATION,SYS_C00401336,C,,IB_BASE_TM_DAY_FLG
CISADM,C0_INSTALLATION,SYS_C00401337,C,,USE_ALT_BILL_ID_SW
CISADM,C0_INSTALLATION,SYS_C00401338,C,,APAY_CRE_OPT_FLG
CISADM,C0_INSTALLATION,SYS_C00401340,C,,BS_FRZ_OPT_FLG
CISADM,C0_INSTALLATION,SYS_C00401341,C,,ALT_PER_ID_REQ_FLG
CISADM,C0_INSTALLATION,SYS_C00401348,C,,ACTGDT_FRZ_OPT_FLG
CISADM,C0_INSTALLATION,SYS_C00401350,C,,PREM_GEOTY_REQ_FLG
CISADM,C0_INSTALLATION,SYS_C00401351,C,,ALT_REP_FLG
CISADM,C0_INSTALLATION,SYS_C00401352,C,,CTI_INTGR_FLG
CISADM,C0_INSTALLATION,SYS_C00401354,C,,START_STOP_DTL_MAX
CISADM,C0_INSTALLATION,SYS_C00401355,C,,FUND_ACTG_FLG
CISADM,C0_INSTALLATION,SYS_C00401357,C,,BILL_CORR_OPT_FLG
CISADM,C0_INSTALLATION,SYS_C00401358,C,,ALT_BILL_ID_OPT_FLG
CISADM,C0_INSTALLATION,SYS_C00401362,C,,ALT_CURRENCY_FLG
CISADM,C0_INSTALLATION,SYS_C00401363,C,,USR_DIV_CTRL_FLG
CISADM,C0_INSTALLATION,SYS_C00401365,C,,USR_DIV_RESTRICT_FLG
CISADM,C0_INSTALLATION,SYS_C00408528,P,1,INSTALL_OPT_ID
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393241,C,,ACCOUNTING_MONTH
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393242,C,,GL_DIVISION
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393243,C,,CIS_DIVISION
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393244,C,,CUST_CL_CD
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393245,C,,SA_TYPE_CD
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393246,C,,RS_CD
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393247,C,,FT_TYPE_FLG
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393248,C,,GL_ACCT
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393249,C,,DST_ID
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393250,C,,FT_GL_DEBIT_AMT
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393251,C,,FT_GL_CREDIT_AMT
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393252,C,,FT_GL_REV_AMT
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393253,C,,FT_GL_TAX_AMT
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393254,C,,FT_GL_AMT
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393255,C,,STATISTIC_AMT
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00393256,C,,FT_GL_CNT
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00397152,P,1,ACCOUNTING_MONTH
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00397152,P,2,GL_DIVISION
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00397152,P,3,CIS_DIVISION
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00397152,P,4,CUST_CL_CD
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00397152,P,5,SA_TYPE_CD
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00397152,P,6,RS_CD
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00397152,P,7,FT_TYPE_FLG
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00397152,P,8,GL_ACCT
CISADM,C1_BI_FTGL_MONTHLY_A,SYS_C00397152,P,9,DST_ID
CISADM,C1_BI_FT_MONTHLY_A,SYS_C00381590,C,,ACCOUNTING_MONTH
CISADM,C1_BI_FT_MONTHLY_A,SYS_C00381591,C,,GL_DIVISION
CISADM,C1_BI_FT_MONTHLY_A,SYS_C00381592,C,,CIS_DIVISION
CISADM,C1_BI_FT_MONTHLY_A,SYS_C00381593,C,,CUST_CL_CD
CISADM,C1_BI_FT_MONTHLY_A,SYS_C00381594,C,,SA_TYPE_CD
CISADM,C1_BI_FT_MONTHLY_A,SYS_C00381595,C,,RS_CD
CISADM,C1_BI_FT_MONTHLY_A,SYS_C00381596,C,,FT_TYPE_FLG
