OWNER,TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,STATUS,VALIDATED,DEFERRABLE,DEFERRED,DELETE_RULE,REFERENCED_OWNER,REFERENCED_TABLE_NAME,SEARCH_CONDITION_VC
CISADM,ACCT_CUSTOMER_RPT_CURR,SYS_C00134074,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""ACCT_ID"" IS NOT NULL"
CISADM,BILLABLE_CHARGE_RPT_CURR,SYS_C00134082,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""BILLABLE_CHG_ID"" IS NOT NULL"
CISADM,BILLABLE_CHARGE_RPT_CURR,SYS_C00134083,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""LINE_SEQ"" IS NOT NULL"
CISADM,BIN$HCk6izbLdQ3gY1YADApDmw==$0,BIN$HCk6izbIdQ3gY1YADApDmw==$0,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""EXT_KEY_RING_CD"" IS NOT NULL"
CISADM,BIN$HCk6izbLdQ3gY1YADApDmw==$0,BIN$HCk6izbJdQ3gY1YADApDmw==$0,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""INT_KEY_RING_CD"" IS NOT NULL"
CISADM,BIN$HCk6izbLdQ3gY1YADApDmw==$0,BIN$HCk6izbKdQ3gY1YADApDmw==$0,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""VERSION"" IS NOT NULL"
CISADM,BSEG_BILLED_USAGE_RPT_CURR,SYS_C00133941,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""BSEG_ID"" IS NOT NULL"
CISADM,BSEG_SQ_USAGE_RPT_CURR,SYS_C00133942,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""BSEG_ID"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107244,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""INSTALL_OPT_ID"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107245,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""QTE_RTE_TYPE_CD"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107246,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""CAMPAIGN_CD"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107247,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""ID_TYPE_CD_BUS"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107248,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""ID_TYPE_CD_PER"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107249,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""CUST_CL_CD_BUS"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107250,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""CUST_CL_CD_PER"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107251,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""ACCT_REL_TYPE_CD"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107252,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""ROLLOVR_THRSH_FACT"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107253,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""BILL_RTE_TYPE_CD"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107254,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""OVERRIDE_BIL_DT_SW"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107255,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""MIN_BILL_PRT_AMT"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107256,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""START_CASH_ONL_PTS"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107257,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""START_CR_RAT_PTS"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107258,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""CASH_ONLY_PTS_THRS"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107259,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""CR_RAT_THRS"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107260,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""MAX_DAY_AGE"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107261,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""HILO_FAILS_SW"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107262,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""GL_BATCH_CD"" IS NOT NULL"
CISADM,C0_INSTALLATION,SYS_C00107263,C,ENABLED,VALIDATED,NOT DEFERRABLE,IMMEDIATE,,,,"""AP_BATCH_CD"" IS NOT NULL"
