child_table,child_column,parent_table,parent_column,join_sql,source,fk_name,workstream,domain_name,join_type
C1_REPRESENTATIVE,BO_STATUS_CD,F1_BUS_OBJ_STATUS_L,BO_STATUS_CD,C1_REPRESENTATIVE.BO_STATUS_CD = F1_BUS_OBJ_STATUS_L.BO_STATUS_CD,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
C1_REPRESENTATIVE,BO_STATUS_REASON_CD,F1_BUS_OBJ_STATUS_RSN_L,BO_STATUS_REASON_CD,C1_REPRESENTATIVE.BO_STATUS_REASON_CD = F1_BUS_OBJ_STATUS_RSN_L.BO_STATUS_REASON_CD,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
C1_REPRESENTATIVE,BUS_OBJ_CD,F1_BUS_OBJ_L,BUS_OBJ_CD,C1_REPRESENTATIVE.BUS_OBJ_CD = F1_BUS_OBJ_L.BUS_OBJ_CD,domain_join_inventory,,Field Operations,Crew___Domain,inner
C1_REPRESENTATIVE,BUS_OBJ_CD,F1_BUS_OBJ_STATUS_L,BUS_OBJ_CD,C1_REPRESENTATIVE.BUS_OBJ_CD = F1_BUS_OBJ_STATUS_L.BUS_OBJ_CD,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
C1_REPRESENTATIVE,C1_REPRESENTATIVE_CD,C1_REPRESENTATIVE_L,C1_REPRESENTATIVE_CD,C1_REPRESENTATIVE.C1_REPRESENTATIVE_CD = C1_REPRESENTATIVE_L.C1_REPRESENTATIVE_CD,domain_join_inventory,,Field Operations,Crew___Domain,inner
C1_REPRESENTATIVE,C1_REPRESENTATIVE_CD,D1_ACTIVITY_CHAR,SRCH_CHAR_VAL,C1_REPRESENTATIVE.C1_REPRESENTATIVE_CD = D1_ACTIVITY_CHAR.SRCH_CHAR_VAL,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
C1_REPRESENTATIVE,C1_REPRESENTATIVE_TYPE_FLG,CI_LOOKUP_VAL_L,FIELD_VALUE,C1_REPRESENTATIVE.C1_REPRESENTATIVE_TYPE_FLG = CI_LOOKUP_VAL_L.FIELD_VALUE,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
C1_REPRESENTATIVE,NT_XID_CD,CI_NT_XID_L,NT_XID_CD,C1_REPRESENTATIVE.NT_XID_CD = CI_NT_XID_L.NT_XID_CD,domain_join_inventory,,Field Operations,Crew___Domain,inner
C1_REPRESENTATIVE,USER_ID,SC_USER,USER_ID,C1_REPRESENTATIVE.USER_ID = SC_USER.USER_ID,domain_join_inventory,,Field Operations,Crew___Domain,leftOuter
C1_USAGE,USAGE_ID,D1_USAGE,USG_EXT_ID,C1_USAGE.USAGE_ID = D1_USAGE.USG_EXT_ID,canonical_chain:meter_ops,usage_chain,meter_ops,,
CI_ACCT,ACCESS_GRP_CD,CI_ACC_GRP_L,ACCESS_GRP_CD,CI_ACCT.ACCESS_GRP_CD = CI_ACC_GRP_L.ACCESS_GRP_CD,domain_join_inventory,,Customer Operations,Premise___Domain,leftOuter
CI_ACCT,ACCT_ID,CI_ACCT_ALERT,ACCT_ID,CI_ACCT.ACCT_ID = CI_ACCT_ALERT.ACCT_ID,domain_join_inventory,,Customer Operations,Account_Alert___Domain,inner
CI_ACCT,ACCT_ID,CI_ACCT_PER,ACCT_ID,CI_ACCT.ACCT_ID = CI_ACCT_PER.ACCT_ID,domain_join_inventory,,Billing and Rates,Bill_Segment___Domain,inner
CI_ACCT,ACCT_ID,CI_SA,ACCT_ID,CI_ACCT.ACCT_ID = CI_SA.ACCT_ID,domain_join_inventory,,Customer Operations,Account_Alert___Domain,leftOuter
CI_ACCT,ACCT_MGMT_GRP_CD,CI_ACCT_MGMT_GR_L,ACCT_MGMT_GRP_CD,CI_ACCT.ACCT_MGMT_GRP_CD = CI_ACCT_MGMT_GR_L.ACCT_MGMT_GRP_CD,domain_join_inventory,,Billing and Rates,Bill_Segment___Domain,leftOuter
CI_ACCT,BILL_CYC_CD,CI_BILL_CYC_L,BILL_CYC_CD,CI_ACCT.BILL_CYC_CD = CI_BILL_CYC_L.BILL_CYC_CD,domain_join_inventory,,Common,Bill_Segment_Exception___Domain,leftOuter
CI_ACCT,BILL_CYC_CD,CI_BILL_CYC_L_1,BILL_CYC_CD,CI_ACCT.BILL_CYC_CD = CI_BILL_CYC_L_1.BILL_CYC_CD,domain_join_inventory,,Billing and Rates,Bill_Segment___Domain,leftOuter
CI_ACCT,BILL_PRT_INTERCEPT,SC_USER,USER_ID,CI_ACCT.BILL_PRT_INTERCEPT = SC_USER.USER_ID,domain_join_inventory,,Customer Operations,Account_Alert___Domain,leftOuter
CI_ACCT,BUD_PLAN_CD,CI_BUD_PLAN_L,BUD_PLAN_CD,CI_ACCT.BUD_PLAN_CD = CI_BUD_PLAN_L.BUD_PLAN_CD,domain_join_inventory,,Billing and Rates,Bill_Segment___Domain,leftOuter
CI_ACCT,CIS_DIVISION,CI_CIS_DIVISION_L,CIS_DIVISION,CI_ACCT.CIS_DIVISION = CI_CIS_DIVISION_L.CIS_DIVISION,domain_join_inventory,,Customer Operations,Account_Alert___Domain,leftOuter
CI_ACCT,COLL_CL_CD,CI_COLL_CL_L,COLL_CL_CD,CI_ACCT.COLL_CL_CD = CI_COLL_CL_L.COLL_CL_CD,domain_join_inventory,,Billing and Rates,Bill_Segment___Domain,inner
CI_ACCT,CUST_CL_CD,CI_CUST_CL_L,CUST_CL_CD,CI_ACCT.CUST_CL_CD = CI_CUST_CL_L.CUST_CL_CD,domain_join_inventory,,Billing and Rates,Bill_Segment___Domain,inner
CI_ACCT_ALERT,ALERT_TYPE_CD,CI_ALERT_TYPE_L,ALERT_TYPE_CD,CI_ACCT_ALERT.ALERT_TYPE_CD = CI_ALERT_TYPE_L.ALERT_TYPE_CD,domain_join_inventory,,Customer Operations,Account_Alert___Domain,inner
CI_ACCT_PER,PER_ID,C1_PER_CONTDET,PER_ID,CI_ACCT_PER.PER_ID = C1_PER_CONTDET.PER_ID,domain_join_inventory,,Customer Operations,Account_Alert___Domain,leftOuter
CI_ACCT_PER,PER_ID,CI_PER,PER_ID,CI_ACCT_PER.PER_ID = CI_PER.PER_ID,domain_join_inventory,,Customer Operations,C_Side___Domain,inner
CI_ACCT_PER,PER_ID,CI_PER_NAME,PER_ID,CI_ACCT_PER.PER_ID = CI_PER_NAME.PER_ID,domain_join_inventory,,Billing and Rates,Bill_Segment___Domain,inner
CI_ADJ,ADJ_STATUS_FLG,CI_LOOKUP_VAL_L_4,FIELD_VALUE,CI_ADJ.ADJ_STATUS_FLG = CI_LOOKUP_VAL_L_4.FIELD_VALUE,domain_join_inventory,,Finance,Financial_Transaction___Domain,inner
CI_ADJ,ADJ_TYPE_CD,CI_ADJ_TYPE_L,ADJ_TYPE_CD,CI_ADJ.ADJ_TYPE_CD = CI_ADJ_TYPE_L.ADJ_TYPE_CD,domain_join_inventory,,Finance,Financial_Transaction___Domain,inner
