INDEX_OWNER,TABLE_NAME,INDEX_NAME,COLUMN_POSITION,COLUMN_NAME,DESCEND
CISADM,C0_INSTALLATION,XC790P0,1,INSTALL_OPT_ID,ASC
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,1,ACCOUNTING_MONTH,ASC
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,2,GL_DIVISION,ASC
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,3,CIS_DIVISION,ASC
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,4,CUST_CL_CD,ASC
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,5,SA_TYPE_CD,ASC
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,6,RS_CD,ASC
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,7,FT_TYPE_FLG,ASC
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,8,GL_ACCT,ASC
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,9,DST_ID,ASC
CISADM,C1_BI_FT_MONTHLY_A,C1T158P0,1,ACCOUNTING_MONTH,ASC
CISADM,C1_BI_FT_MONTHLY_A,C1T158P0,2,GL_DIVISION,ASC
CISADM,C1_BI_FT_MONTHLY_A,C1T158P0,3,CIS_DIVISION,ASC
CISADM,C1_BI_FT_MONTHLY_A,C1T158P0,4,CUST_CL_CD,ASC
CISADM,C1_BI_FT_MONTHLY_A,C1T158P0,5,SA_TYPE_CD,ASC
CISADM,C1_BI_FT_MONTHLY_A,C1T158P0,6,RS_CD,ASC
CISADM,C1_BI_FT_MONTHLY_A,C1T158P0,7,FT_TYPE_FLG,ASC
CISADM,C1_BI_SA_SNAPSHOT,C1M020P0,1,SA_ID,ASC
CISADM,C1_BI_SA_SNAPSHOT,C1M020P0,2,C1_SNAPSHOT_DT,ASC
CISADM,C1_BI_SA_SNAPSHOT,C1M020P0,3,C1_SNAPSHOT_TYPE_FLG,ASC
CISADM,C1_BI_SA_SNAPSHOT,C1M020S1,1,SA_ID,ASC
CISADM,C1_BI_SA_SNAPSHOT,C1M020S2,1,ACCT_ID,ASC
CISADM,C1_BI_SA_SNAPSHOT,C1M020S3,1,PER_ID,ASC
