table_name,column_name,data_type,index_name,column_position,index_type,index_status,index_visibility,index_partitioned,index_uniqueness,is_leading_column,is_valid_visible,is_date_like,in_domain_metadata,workstreams,prefilter_priority,design_guidance
C0_INSTALLATION,INSTALL_OPT_ID,CHAR,XC790P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_FTGL_MONTHLY_A,ACCOUNTING_MONTH,NUMBER,C1T159P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_FTGL_MONTHLY_A,GL_DIVISION,CHAR,C1T159P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FTGL_MONTHLY_A,CIS_DIVISION,CHAR,C1T159P0,3,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FTGL_MONTHLY_A,CUST_CL_CD,CHAR,C1T159P0,4,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FTGL_MONTHLY_A,SA_TYPE_CD,CHAR,C1T159P0,5,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FTGL_MONTHLY_A,RS_CD,CHAR,C1T159P0,6,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FTGL_MONTHLY_A,FT_TYPE_FLG,CHAR,C1T159P0,7,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FTGL_MONTHLY_A,GL_ACCT,VARCHAR2,C1T159P0,8,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FTGL_MONTHLY_A,DST_ID,CHAR,C1T159P0,9,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FT_MONTHLY_A,ACCOUNTING_MONTH,NUMBER,C1T158P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_FT_MONTHLY_A,GL_DIVISION,CHAR,C1T158P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FT_MONTHLY_A,CIS_DIVISION,CHAR,C1T158P0,3,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FT_MONTHLY_A,CUST_CL_CD,CHAR,C1T158P0,4,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FT_MONTHLY_A,SA_TYPE_CD,CHAR,C1T158P0,5,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FT_MONTHLY_A,RS_CD,CHAR,C1T158P0,6,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_FT_MONTHLY_A,FT_TYPE_FLG,CHAR,C1T158P0,7,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_SA_SNAPSHOT,SA_ID,CHAR,C1M020P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,SA_ID,CHAR,C1M020S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,ACCT_ID,CHAR,C1M020S2,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,PER_ID,CHAR,C1M020S3,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,CURRENCY_CD,CHAR,C1M020S4,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,C1_SNAPSHOT_DT,DATE,C1M020P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,Y,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_BI_SA_SNAPSHOT,C1_SNAPSHOT_TYPE_FLG,CHAR,C1M020P0,3,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
C1_CALC_GRP,CALC_GRP_CD,VARCHAR2,C1C012P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_GRP,BUS_OBJ_CD,CHAR,C1C012S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
