OWNER,TABLE_NAME,INDEX_NAME,UNIQUENESS,INDEX_TYPE,STATUS,VISIBILITY,TABLESPACE_NAME,PARTITIONED,LAST_ANALYZED
CISADM,C0_INSTALLATION,XC790P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-27 02:21:53
CISADM,C1_BI_FTGL_MONTHLY_A,C1T159P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:12:54
CISADM,C1_BI_FT_MONTHLY_A,C1T158P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:11:11
CISADM,C1_BI_SA_SNAPSHOT,C1M020P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-22 02:15:36
CISADM,C1_BI_SA_SNAPSHOT,C1M020S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-22 02:15:30
CISADM,C1_BI_SA_SNAPSHOT,C1M020S2,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-22 02:15:40
CISADM,C1_BI_SA_SNAPSHOT,C1M020S3,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-22 02:15:35
CISADM,C1_BI_SA_SNAPSHOT,C1M020S4,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-22 02:15:26
CISADM,C1_CALC_GRP,C1C012P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-11 02:19:09
CISADM,C1_CALC_GRP,C1C012S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-11 02:19:09
CISADM,C1_CALC_GRP_CHAR,C1C011P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:43
CISADM,C1_CALC_GRP_CHAR,C1C011S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:43
CISADM,C1_CALC_GRP_L,C1C013P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-11 02:19:09
CISADM,C1_CALC_RULE,C1C016P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-11 02:19:04
CISADM,C1_CALC_RULE,C1C016S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-11 02:19:04
CISADM,C1_CALC_RULE_CHAR,C1C022P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-11 02:18:57
CISADM,C1_CALC_RULE_CHAR,C1C022S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-11 02:18:57
CISADM,C1_CALC_RULE_CRT,C1C023P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-19 02:25:55
CISADM,C1_CALC_RULE_CRT,C1C023S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-19 02:25:55
CISADM,C1_CALC_RULE_CRT_CHAR,C1C025P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:54
CISADM,C1_CALC_RULE_CRT_CHAR,C1C025S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:54
CISADM,C1_CALC_RULE_CRT_L,C1C024P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-11 02:18:51
