table_name,column_name,data_type,index_name,column_position,index_type,index_status,index_visibility,index_partitioned,index_uniqueness,is_leading_column,is_valid_visible,is_date_like,in_domain_metadata,workstreams,prefilter_priority,design_guidance
C0_INSTALLATION,INSTALL_OPT_ID,CHAR,XC790P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_FTGL_MONTHLY_A,ACCOUNTING_MONTH,NUMBER,C1T159P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_FT_MONTHLY_A,ACCOUNTING_MONTH,NUMBER,C1T158P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,ACCT_ID,CHAR,C1M020S2,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,CURRENCY_CD,CHAR,C1M020S4,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,PER_ID,CHAR,C1M020S3,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,SA_ID,CHAR,C1M020P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_BI_SA_SNAPSHOT,SA_ID,CHAR,C1M020S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_GRP,BUS_OBJ_CD,CHAR,C1C012S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_GRP,CALC_GRP_CD,VARCHAR2,C1C012P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_GRP_CHAR,CALC_GRP_CD,VARCHAR2,C1C011P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_GRP_CHAR,SRCH_CHAR_VAL,VARCHAR2,C1C011S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_GRP_L,CALC_GRP_CD,VARCHAR2,C1C013P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE,BUS_OBJ_CD,CHAR,C1C016S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE,CALC_GRP_CD,VARCHAR2,C1C016P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_CHAR,CALC_GRP_CD,VARCHAR2,C1C022P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_CHAR,SRCH_CHAR_VAL,VARCHAR2,C1C022S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_CRT,BUS_OBJ_CD,CHAR,C1C023S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_CRT,CALC_GRP_CD,VARCHAR2,C1C023P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_CRT_CHAR,CALC_GRP_CD,VARCHAR2,C1C025P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_CRT_CHAR,SRCH_CHAR_VAL,VARCHAR2,C1C025S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_CRT_L,CALC_GRP_CD,VARCHAR2,C1C024P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_L,CALC_GRP_CD,VARCHAR2,C1C021P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_MBR_CAT,CALC_GRP_CD,VARCHAR2,C1C017P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CALC_RULE_TRGT_CAT,CALC_GRP_CD,VARCHAR2,C1C020P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CIS_DIV_RTYP,CIS_DIVISION,CHAR,C1C005P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
C1_CIS_DIV_SEQ_CHAR,CIS_DIVISION,CHAR,C1C006P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
