OWNER,SYNONYM_NAME,TABLE_OWNER,TABLE_NAME,DB_LINK
BATCHUSER,C0_INSTALLATION,CISADM,C0_INSTALLATION,
BATCHUSER,C1ESCAPE,CISADM,C1ESCAPE,
BATCHUSER,C1_BI_BILLED_USAGE_VW,CISADM,C1_BI_BILLED_USAGE_VW,
BATCHUSER,C1_BI_BILL_DAY_IN_WIN_VW,CISADM,C1_BI_BILL_DAY_IN_WIN_VW,
BATCHUSER,C1_BI_BILL_VW,CISADM,C1_BI_BILL_VW,
BATCHUSER,C1_BI_COLLEVTTYPE_VW,CISADM,C1_BI_COLLEVTTYPE_VW,
BATCHUSER,C1_BI_COLLPROC_VW,CISADM,C1_BI_COLLPROC_VW,
BATCHUSER,C1_BI_DAYS_B4_WIN_CLOSES_VW,CISADM,C1_BI_DAYS_B4_WIN_CLOSES_VW,
BATCHUSER,C1_BI_FTGL_MONTHLY_A,CISADM,C1_BI_FTGL_MONTHLY_A,
BATCHUSER,C1_BI_FTGL_MONTHLY_A_PROC,CISADM,C1_BI_FTGL_MONTHLY_A_PROC,
BATCHUSER,C1_BI_FTGL_VW,CISADM,C1_BI_FTGL_VW,
BATCHUSER,C1_BI_FT_MONTHLY_A,CISADM,C1_BI_FT_MONTHLY_A,
BATCHUSER,C1_BI_FT_MONTHLY_A_PROC,CISADM,C1_BI_FT_MONTHLY_A_PROC,
BATCHUSER,C1_BI_FT_VW,CISADM,C1_BI_FT_VW,
BATCHUSER,C1_BI_SA_SNAPSHOT,CISADM,C1_BI_SA_SNAPSHOT,
BATCHUSER,C1_BI_SEVPROC_VW,CISADM,C1_BI_SEVPROC_VW,
BATCHUSER,C1_BI_WOPROC_VW,CISADM,C1_BI_WOPROC_VW,
BATCHUSER,C1_CALC_GRP,CISADM,C1_CALC_GRP,
BATCHUSER,C1_CALC_GRP_CHAR,CISADM,C1_CALC_GRP_CHAR,
BATCHUSER,C1_CALC_GRP_L,CISADM,C1_CALC_GRP_L,
BATCHUSER,C1_CALC_RULE,CISADM,C1_CALC_RULE,
BATCHUSER,C1_CALC_RULE_CHAR,CISADM,C1_CALC_RULE_CHAR,
BATCHUSER,C1_CALC_RULE_CRT,CISADM,C1_CALC_RULE_CRT,
BATCHUSER,C1_CALC_RULE_CRT_CHAR,CISADM,C1_CALC_RULE_CRT_CHAR,
BATCHUSER,C1_CALC_RULE_CRT_L,CISADM,C1_CALC_RULE_CRT_L,
BATCHUSER,C1_CALC_RULE_L,CISADM,C1_CALC_RULE_L,
BATCHUSER,C1_CALC_RULE_MBR_CAT,CISADM,C1_CALC_RULE_MBR_CAT,
BATCHUSER,C1_CALC_RULE_TRGT_CAT,CISADM,C1_CALC_RULE_TRGT_CAT,
BATCHUSER,C1_CC_IDENTIFIER,CISADM,C1_CC_IDENTIFIER,
BATCHUSER,C1_CC_LOG,CISADM,C1_CC_LOG,
BATCHUSER,C1_CC_LOG_PARM,CISADM,C1_CC_LOG_PARM,
BATCHUSER,C1_CIS_DIV_RTYP,CISADM,C1_CIS_DIV_RTYP,
BATCHUSER,C1_CIS_DIV_SEQ_CHAR,CISADM,C1_CIS_DIV_SEQ_CHAR,
BATCHUSER,C1_CL_CAT_TYPE,CISADM,C1_CL_CAT_TYPE,
BATCHUSER,C1_CL_CAT_TYPE_CHAR,CISADM,C1_CL_CAT_TYPE_CHAR,
BATCHUSER,C1_CL_CAT_TYPE_L,CISADM,C1_CL_CAT_TYPE_L,
BATCHUSER,C1_CL_CAT_VAL,CISADM,C1_CL_CAT_VAL,
BATCHUSER,C1_CL_CAT_VAL_L,CISADM,C1_CL_CAT_VAL_L,
BATCHUSER,C1_COMM_RTE_TYPE,CISADM,C1_COMM_RTE_TYPE,
BATCHUSER,C1_COMM_RTE_TYPE_CHAR,CISADM,C1_COMM_RTE_TYPE_CHAR,
BATCHUSER,C1_COMM_RTE_TYPE_DVTYP,CISADM,C1_COMM_RTE_TYPE_DVTYP,
BATCHUSER,C1_COMM_RTE_TYPE_L,CISADM,C1_COMM_RTE_TYPE_L,
BATCHUSER,C1_CONT,CISADM,C1_CONT,
BATCHUSER,C1_CONT_CHAR,CISADM,C1_CONT_CHAR,
BATCHUSER,C1_CONT_ID,CISADM,C1_CONT_ID,
BATCHUSER,C1_CONT_K,CISADM,C1_CONT_K,
BATCHUSER,C1_CONT_LOG,CISADM,C1_CONT_LOG,
BATCHUSER,C1_CONT_LOG_PARM,CISADM,C1_CONT_LOG_PARM,
BATCHUSER,C1_CONT_MS,CISADM,C1_CONT_MS,
