OWNER,TABLE_NAME,PARTITION_NAME,OBJECT_TYPE,NUM_ROWS,BLOCKS,AVG_ROW_LEN,SAMPLE_SIZE,LAST_ANALYZED,STALE_STATS,GLOBAL_STATS,USER_STATS
CISADM,ACCT_CUSTOMER_RPT_CURR,,TABLE,1049,73,448,1049,2026-06-06 05:00:17,NO,YES,NO
CISADM,BILLABLE_CHARGE_RPT_CURR,,TABLE,18127,496,166,18127,2026-06-06 05:00:18,NO,YES,NO
CISADM,BSEG_BILLED_USAGE_RPT_CURR,,TABLE,166078,11117,443,166078,2026-05-23 05:00:35,NO,YES,NO
CISADM,BSEG_SQ_USAGE_RPT_CURR,,TABLE,189885,11117,383,189885,2026-06-07 13:00:24,NO,YES,NO
CISADM,C0_INSTALLATION,,TABLE,1,4,229,1,2026-02-05 05:00:09,NO,YES,NO
CISADM,C1_BI_FTGL_MONTHLY_A,,TABLE,3246,92,113,3246,2026-05-12 05:00:13,NO,YES,NO
CISADM,C1_BI_FT_MONTHLY_A,,TABLE,1658,75,77,1658,2026-05-12 05:00:13,NO,YES,NO
CISADM,C1_BI_SA_SNAPSHOT,,TABLE,4296,65,97,4296,2026-05-12 05:00:13,NO,YES,NO
CISADM,C1_CALC_GRP,,TABLE,203,8,52,203,2026-02-04 05:00:40,NO,YES,NO
CISADM,C1_CALC_GRP_CHAR,,TABLE,0,0,0,0,2026-02-03 17:44:28,NO,YES,NO
CISADM,C1_CALC_GRP_L,,TABLE,406,16,67,406,2026-02-03 17:44:28,NO,YES,NO
CISADM,C1_CALC_RULE,,TABLE,604,256,1970,604,2026-02-03 17:44:28,NO,YES,NO
CISADM,C1_CALC_RULE_CHAR,,TABLE,367,16,76,367,2026-02-03 17:44:28,NO,YES,NO
CISADM,C1_CALC_RULE_CRT,,TABLE,238,20,452,238,2026-02-04 05:00:44,NO,YES,NO
CISADM,C1_CALC_RULE_CRT_CHAR,,TABLE,0,0,0,0,2026-02-03 17:44:28,NO,YES,NO
CISADM,C1_CALC_RULE_CRT_L,,TABLE,476,16,80,476,2026-02-03 17:44:28,NO,YES,NO
CISADM,C1_CALC_RULE_L,,TABLE,1304,31,107,1304,2026-02-03 17:44:28,NO,YES,NO
CISADM,C1_CALC_RULE_MBR_CAT,,TABLE,431,8,49,431,2026-02-03 17:44:28,NO,YES,NO
CISADM,C1_CALC_RULE_TRGT_CAT,,TABLE,1,5,39,1,2026-02-03 17:44:28,NO,YES,NO
CISADM,C1_CC_IDENTIFIER,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CC_LOG,,TABLE,62,5,55,62,2026-05-12 05:00:12,NO,YES,NO
CISADM,C1_CC_LOG_PARM,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CIS_DIV_RTYP,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CIS_DIV_SEQ_CHAR,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CL_CAT_TYPE,,TABLE,5,4,43,5,2026-02-04 05:00:41,NO,YES,NO
CISADM,C1_CL_CAT_TYPE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CL_CAT_TYPE_L,,TABLE,10,8,244,10,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CL_CAT_VAL,,TABLE,24,4,17,24,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CL_CAT_VAL_L,,TABLE,48,8,37,48,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_COMM_RTE_TYPE,,TABLE,7,8,73,7,2026-03-20 05:00:10,NO,YES,NO
CISADM,C1_COMM_RTE_TYPE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_COMM_RTE_TYPE_DVTYP,,TABLE,3,4,21,3,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_COMM_RTE_TYPE_L,,TABLE,14,8,30,14,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_CHAR,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_ID,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_K,,TABLE,0,,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_LOG,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_LOG_PARM,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_MS,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_MS_PROD,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_MS_TYPE,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_MS_TYPE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
CISADM,C1_CONT_MS_TYPE_L,,TABLE,0,0,0,0,2026-02-03 17:44:29,NO,YES,NO
