OWNER,TABLE_NAME,TABLE_COMMENT,TABLESPACE_NAME,TEMPORARY,PARTITIONED,NUM_ROWS,BLOCKS,AVG_ROW_LEN,LAST_ANALYZED
CISADM,C0_INSTALLATION,,CISTS_01,N,NO,1,4,229,2026-01-27 02:21:52
CISADM,C1_BI_FTGL_MONTHLY_A,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:52
CISADM,C1_BI_FT_MONTHLY_A,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:52
CISADM,C1_BI_SA_SNAPSHOT,,CISTS_01,N,NO,1242803,28668,95,2026-01-22 02:15:12
CISADM,C1_CALC_GRP,,CISTS_01,N,NO,218,8,54,2026-02-11 02:19:09
CISADM,C1_CALC_GRP_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:53
CISADM,C1_CALC_GRP_L,,CISTS_01,N,NO,218,8,65,2026-02-11 02:19:09
CISADM,C1_CALC_RULE,,CISTS_01,N,NO,611,256,1978,2026-02-11 02:19:03
CISADM,C1_CALC_RULE_CHAR,,CISTS_01,N,NO,387,16,76,2026-02-11 02:18:57
CISADM,C1_CALC_RULE_CRT,,CISTS_01,N,NO,290,32,454,2026-02-19 02:25:54
CISADM,C1_CALC_RULE_CRT_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:53
CISADM,C1_CALC_RULE_CRT_L,,CISTS_01,N,NO,306,16,83,2026-02-11 02:18:51
CISADM,C1_CALC_RULE_L,,CISTS_01,N,NO,659,23,107,2026-02-11 02:19:40
CISADM,C1_CALC_RULE_MBR_CAT,,CISTS_01,N,NO,440,8,50,2026-02-11 02:19:09
CISADM,C1_CALC_RULE_TRGT_CAT,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CIS_DIV_RTYP,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CIS_DIV_SEQ_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CL_CAT_TYPE,,CISTS_01,N,NO,5,4,43,2026-01-28 02:15:05
CISADM,C1_CL_CAT_TYPE_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CL_CAT_TYPE_L,,CISTS_01,N,NO,5,4,244,2026-01-28 02:15:05
CISADM,C1_CL_CAT_VAL,,CISTS_01,N,NO,24,4,17,2026-01-28 02:15:05
CISADM,C1_CL_CAT_VAL_L,,CISTS_01,N,NO,24,4,37,2026-01-28 02:15:05
CISADM,C1_COMM_RTE_TYPE,,CISTS_01,N,NO,6,4,73,2026-01-16 02:05:29
CISADM,C1_COMM_RTE_TYPE_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_COMM_RTE_TYPE_DVTYP,,CISTS_01,N,NO,3,4,21,2026-01-09 02:12:15
CISADM,C1_COMM_RTE_TYPE_L,,CISTS_01,N,NO,6,4,31,2026-01-09 02:12:16
CISADM,C1_CONT,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_ID,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_K,,,N,NO,0,,0,2026-01-07 21:28:54
CISADM,C1_CONT_LOG,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_LOG_PARM,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_MS,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_MS_PROD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_MS_TYPE,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_MS_TYPE_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_MS_TYPE_L,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_PROD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:54
CISADM,C1_CONT_PROD_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:55
CISADM,C1_CONT_PROD_K,,,N,NO,0,,0,2026-01-07 21:28:55
CISADM,C1_CONT_RULE,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:55
CISADM,C1_CONT_RULE_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:55
CISADM,C1_CONT_RULE_L,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:55
CISADM,C1_CONT_TYPE,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:55
CISADM,C1_CONT_TYPE_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:55
CISADM,C1_CONT_TYPE_L,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:55
CISADM,C1_CONT_TYPE_VALID_PROD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:55
CISADM,C1_CS_REQ,,CISTS_01,N,NO,12277,512,264,2026-01-16 02:05:50
CISADM,C1_CS_REQ_ACCT,,CISTS_01,N,NO,10207,640,359,2026-01-16 02:05:57
CISADM,C1_CS_REQ_ACCT_ALERT,,CISTS_01,N,NO,1920,20,41,2026-01-16 02:05:33
CISADM,C1_CS_REQ_ACCT_APAY,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:55
CISADM,C1_CS_REQ_ACCT_CHAR,,CISTS_01,N,NO,3395,38,57,2026-01-16 02:05:34
CISADM,C1_CS_REQ_ACCT_K,,,N,NO,10204,,20,2026-01-07 21:28:56
CISADM,C1_CS_REQ_ACCT_LOG,,CISTS_01,N,NO,38385,768,66,2026-01-16 02:06:02
CISADM,C1_CS_REQ_ACCT_LOG_PARM,,CISTS_01,N,NO,38385,512,39,2026-01-16 02:05:54
CISADM,C1_CS_REQ_ACCT_MSG,,CISTS_01,N,NO,86,4,29,2026-01-16 02:05:24
CISADM,C1_CS_REQ_ACCT_MSG_PARM,,CISTS_01,N,NO,172,5,31,2026-01-07 21:28:56
CISADM,C1_CS_REQ_ACCT_NCD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:56
CISADM,C1_CS_REQ_ACCT_PER,,CISTS_01,N,NO,10210,256,90,2026-01-16 02:05:41
CISADM,C1_CS_REQ_ACCT_PER_ADDR,,CISTS_01,N,NO,2502,37,79,2026-01-16 02:05:34
CISADM,C1_CS_REQ_ACCT_PER_K,,,N,NO,10207,,20,2026-01-07 21:28:56
CISADM,C1_CS_REQ_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:56
CISADM,C1_CS_REQ_CONT,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:56
CISADM,C1_CS_REQ_CONT_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:56
CISADM,C1_CS_REQ_CONT_ID,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:56
CISADM,C1_CS_REQ_CONT_K,,,N,NO,0,,0,2026-01-07 21:28:56
CISADM,C1_CS_REQ_CONT_LOG,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:56
CISADM,C1_CS_REQ_CONT_LOG_PARM,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:56
CISADM,C1_CS_REQ_CONT_MS,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:57
CISADM,C1_CS_REQ_CONT_MS_PROD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:57
CISADM,C1_CS_REQ_CONT_PROD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:57
CISADM,C1_CS_REQ_CONT_PROD_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:57
CISADM,C1_CS_REQ_CONT_PROD_K,,,N,NO,0,,0,2026-01-07 21:28:57
CISADM,C1_CS_REQ_CONT_PROD_LOG,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:57
CISADM,C1_CS_REQ_CONT_PROD_LOG_PARM,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:57
CISADM,C1_CS_REQ_K,,,N,NO,12274,,20,2026-01-07 21:28:57
CISADM,C1_CS_REQ_LOG,,CISTS_01,N,NO,106674,1792,71,2026-01-16 02:06:27
CISADM,C1_CS_REQ_LOG_PARM,,CISTS_01,N,NO,161791,1792,38,2026-01-16 02:06:26
CISADM,C1_CS_REQ_PER,,CISTS_01,N,NO,9382,640,420,2026-02-13 02:17:06
CISADM,C1_CS_REQ_PER_ADDR_SEAS,,CISTS_01,N,NO,1,4,96,2026-01-16 02:05:25
CISADM,C1_CS_REQ_PER_CHAR,,CISTS_01,N,NO,21927,256,58,2026-01-16 02:05:39
CISADM,C1_CS_REQ_PER_CONTDET,,CISTS_01,N,NO,18797,256,78,2026-02-13 02:16:59
CISADM,C1_CS_REQ_PER_ID,,CISTS_01,N,NO,15185,256,45,2026-01-16 02:05:38
CISADM,C1_CS_REQ_PER_K,,,N,NO,9380,,20,2026-01-07 21:28:58
CISADM,C1_CS_REQ_PER_LOG,,CISTS_01,N,NO,33748,640,66,2026-01-16 02:05:58
CISADM,C1_CS_REQ_PER_LOG_PARM,,CISTS_01,N,NO,33748,384,38,2026-01-16 02:05:48
CISADM,C1_CS_REQ_PER_NAME,,CISTS_01,N,NO,9383,104,63,2026-01-16 02:05:35
CISADM,C1_CS_REQ_PER_PER,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:59
CISADM,C1_CS_REQ_PREM,,CISTS_01,N,NO,8995,512,330,2026-01-16 02:05:54
CISADM,C1_CS_REQ_PREM_ALT_ADDR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:28:59
CISADM,C1_CS_REQ_PREM_CHAR,,CISTS_01,N,NO,46961,512,52,2026-01-16 02:05:55
CISADM,C1_CS_REQ_PREM_GEO,,CISTS_01,N,NO,15934,256,44,2026-01-16 02:05:42
CISADM,C1_CS_REQ_PREM_K,,,N,NO,8993,,20,2026-01-07 21:28:59
CISADM,C1_CS_REQ_PREM_LOG,,CISTS_01,N,NO,9905,256,66,2026-01-16 02:05:41
CISADM,C1_CS_REQ_PREM_LOG_PARM,,CISTS_01,N,NO,9905,112,33,2026-01-16 02:05:36
CISADM,C1_CS_REQ_REL_OBJ,,CISTS_01,N,NO,37354,640,50,2026-01-16 02:05:57
CISADM,C1_CS_REQ_SA,,CISTS_01,N,NO,29607,1536,255,2026-01-16 02:06:24
CISADM,C1_CS_REQ_SA_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:00
CISADM,C1_CS_REQ_SA_CONTERM,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:00
CISADM,C1_CS_REQ_SA_CONT_QTY,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:00
CISADM,C1_CS_REQ_SA_COP,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:00
CISADM,C1_CS_REQ_SA_COP_OVRD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:00
CISADM,C1_CS_REQ_SA_K,,,N,NO,29599,,20,2026-01-07 21:29:00
CISADM,C1_CS_REQ_SA_LOG,,CISTS_01,N,NO,59214,1024,66,2026-01-16 02:06:08
CISADM,C1_CS_REQ_SA_LOG_PARM,,CISTS_01,N,NO,59214,640,33,2026-01-16 02:05:59
CISADM,C1_CS_REQ_SA_MSG,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SA_RCHG,,CISTS_01,N,NO,19902,256,24,2026-01-16 02:05:39
CISADM,C1_CS_REQ_SA_RS,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SA_SP,,CISTS_01,N,NO,14482,256,50,2026-01-16 02:05:42
CISADM,C1_CS_REQ_SA_SP_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SA_SP_FA,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SA_SP_K,,,N,NO,14476,,20,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SA_TOU_CONT_VAL,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SVC_LOC,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SVC_LOC_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SVC_LOC_CONT_PROD,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SVC_LOC_K,,,N,NO,0,,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SVC_LOC_LOG,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_SVC_LOC_LOG_PARM,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_TYPE,,CISTS_01,N,NO,3,4,574,2026-01-16 02:05:27
CISADM,C1_CS_REQ_TYPE_ALG,,CISTS_01,N,NO,4,4,39,2026-01-16 02:05:27
CISADM,C1_CS_REQ_TYPE_ALG_CUST_CL,,CISTS_01,N,NO,8,4,49,2026-01-16 02:05:28
CISADM,C1_CS_REQ_TYPE_ALG_PER_BUS,,CISTS_01,N,NO,2,4,41,2026-01-16 02:05:30
CISADM,C1_CS_REQ_TYPE_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CS_REQ_TYPE_CUST_CL,,CISTS_01,N,NO,4,4,391,2026-01-16 02:05:30
CISADM,C1_CS_REQ_TYPE_L,,CISTS_01,N,NO,3,4,37,2026-01-16 02:05:29
CISADM,C1_CS_REQ_TYPE_PER_BUS,,CISTS_01,N,NO,6,4,403,2026-01-16 02:05:27
CISADM,C1_CS_REQ_TYPE_SVC_LOC_BO,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:01
CISADM,C1_CUST_REL_REQ,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_CUST_REL_REQ_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_CUST_REL_REQ_K,,,N,NO,0,,0,2026-01-07 21:29:02
CISADM,C1_CUST_REL_REQ_LOG,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_CUST_REL_REQ_LOG_PARM,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_CUST_REL_REQ_REL_OBJ,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_CUST_REL_REQ_TYPE,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_CUST_REL_REQ_TYPE_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_CUST_REL_REQ_TYPE_L,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_ENRL_CONTDET,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_ENRL_CONTDET_K,,,N,NO,0,,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE_CRITERIA,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE_CRITERIA_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE_CRITERIA_L,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE_L,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE_LEAD_DEFN,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE_LOG,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE_LOG_PARM,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INITIATIVE_REL_OBJ,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_INTV_DATA_GTT,,,Y,NO,,,,
CISADM,C1_ISS_CTR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_ISS_CTR_CHAR,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_ISS_CTR_DTL,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_ISS_CTR_L,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
CISADM,C1_ISS_CTR_LOG,,CISTS_01,N,NO,0,0,0,2026-01-07 21:29:02
