VIEW_OWNER,VIEW_NAME,REFERENCED_OWNER,REFERENCED_NAME,REFERENCED_TYPE
CISADM,C1_BI_BILLED_USAGE_VW,CISADM,CI_ACCT_PER,TABLE
CISADM,C1_BI_BILLED_USAGE_VW,CISADM,CI_BILL,TABLE
CISADM,C1_BI_BILLED_USAGE_VW,CISADM,CI_BSEG,TABLE
CISADM,C1_BI_BILLED_USAGE_VW,CISADM,CI_BSEG_CALC,TABLE
CISADM,C1_BI_BILLED_USAGE_VW,CISADM,CI_BSEG_CALC_LN,TABLE
CISADM,C1_BI_BILLED_USAGE_VW,CISADM,CI_BSEG_READ,TABLE
CISADM,C1_BI_BILLED_USAGE_VW,CISADM,CI_BSEG_SQ,TABLE
CISADM,C1_BI_BILLED_USAGE_VW,CISADM,CI_FT,TABLE
CISADM,C1_BI_BILLED_USAGE_VW,CISADM,CI_SA,TABLE
CISADM,C1_BI_BILL_DAY_IN_WIN_VW,CISADM,CI_LOOKUP_VAL_L,TABLE
CISADM,C1_BI_BILL_DAY_IN_WIN_VW,CISADM,F1_BKT_CONFIG,TABLE
CISADM,C1_BI_BILL_DAY_IN_WIN_VW,CISADM,F1_BKT_CONFIG_VAL,TABLE
CISADM,C1_BI_BILL_DAY_IN_WIN_VW,CISADM,F1_BKT_CONFIG_VAL_L,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_ACCT_PER,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_ADJ,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_BILL,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_BILL_CYC_SCH,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_BILL_EXCP,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_BSEG,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_BSEG_EXCP,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_CASE,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_CASE_CHAR,TABLE
CISADM,C1_BI_BILL_VW,CISADM,CI_FT,TABLE
CISADM,C1_BI_BILL_VW,CISADM,F1_BKT_CONFIG,TABLE
CISADM,C1_BI_BILL_VW,CISADM,F1_BKT_CONFIG_VAL,TABLE
CISADM,C1_BI_BILL_VW,CISADM,F1_EXT_LOOKUP_VAL_CHAR,TABLE
CISADM,C1_BI_COLLEVTTYPE_VW,CISADM,CI_COLL_EVT_TYP_L,TABLE
CISADM,C1_BI_COLLEVTTYPE_VW,CISADM,CI_SEV_EVT_TYPE_L,TABLE
CISADM,C1_BI_COLLPROC_VW,CISADM,CI_ACCT,TABLE
CISADM,C1_BI_COLLPROC_VW,CISADM,CI_ACCT_PER,TABLE
CISADM,C1_BI_COLLPROC_VW,CISADM,CI_COLL_EVT,TABLE
CISADM,C1_BI_COLLPROC_VW,CISADM,CI_COLL_PROC,TABLE
CISADM,C1_BI_COLLPROC_VW,CISADM,CI_COLL_PROC_SA,TABLE
CISADM,C1_BI_COLLPROC_VW,CISADM,CI_CUST_CL,TABLE
CISADM,C1_BI_COLLPROC_VW,CISADM,CI_FT,TABLE
CISADM,C1_BI_COLLPROC_VW,CISADM,CI_MATCH_EVT,TABLE
CISADM,C1_BI_COLLPROC_VW,CISADM,CI_SEV_EVT,TABLE
