OWNER,VIEW_NAME,TEXT_LENGTH
CISADM,C1_BI_BILLED_USAGE_VW,3189
CISADM,C1_BI_BILL_DAY_IN_WIN_VW,869
CISADM,C1_BI_BILL_VW,14626
CISADM,C1_BI_COLLEVTTYPE_VW,349
CISADM,C1_BI_COLLPROC_VW,17185
CISADM,C1_BI_DAYS_B4_WIN_CLOSES_VW,582
CISADM,C1_BI_FTGL_VW,4850
CISADM,C1_BI_FT_VW,6249
CISADM,C1_BI_SEVPROC_VW,15261
CISADM,C1_BI_WOPROC_VW,7145
CISADM,C1_SA_RCHG_VW,278
CISADM,C1_SA_RS_VW,254
CISADM,C1_SYRQ_PER_ALL_VW,3657
CISADM,C1_SYRQ_PER_NF_VW,6905
CISADM,C1_SYRQ_PREM_ALL_VW,4924
CISADM,C1_SYRQ_PREM_NF_VW,9512
CISADM,CI_ACCTG_DAYS_VW,234
CISADM,CI_ACCT_CR_R_VW,382
CISADM,CI_ACCT_FT_HST_VW,287
CISADM,CI_ACDC_WOSA_VW,554
CISADM,CI_ADJTSAT_S_VW,359
CISADM,CI_ALG_ADHC_VW,259
CISADM,CI_ALG_ADJT_VW,258
CISADM,CI_ALG_BSBF_VW,258
CISADM,CI_ALG_BSBS_VW,258
CISADM,CI_ALG_CCAL_VW,258
CISADM,CI_ALG_CNSMP_VW,258
CISADM,CI_ALG_COCN_VW,259
CISADM,CI_ALG_COEV_VW,258
CISADM,CI_ALG_ERAC_VW,261
CISADM,CI_ALG_FACM_VW,260
CISADM,CI_ALG_GLAC_VW,260
CISADM,CI_ALG_GVFM_VW,261
CISADM,CI_ALG_IDFM_VW,260
CISADM,CI_ALG_LPCC_VW,260
CISADM,CI_ALG_LPCE_VW,260
CISADM,CI_ALG_ODSP_VW,258
CISADM,CI_ALG_PHFM_VW,260
CISADM,CI_ALG_PKCC_VW,234
CISADM,CI_ALG_PKEL_VW,234
CISADM,CI_ALG_PPBR_VW,234
CISADM,CI_ALG_PPOA_VW,258
CISADM,CI_ALG_PSEG_VW,258
CISADM,CI_ALG_PSPR_VW,258
CISADM,CI_ALG_PYDT_VW,259
CISADM,CI_ALG_SATBC_VW,258
CISADM,CI_ALG_SATFT_VW,258
CISADM,CI_ALG_SVCR_VW,259
CISADM,CI_ALG_SVEV_VW,258
CISADM,CI_ALG_XAR_VW,258
CISADM,CI_BAL_CTL_MEM_VW,222
CISADM,CI_BCHG_READ_VW,681
CISADM,CI_BCHG_UP_READ_VW,748
CISADM,CI_BF_ACCT_HST_VW,1500
CISADM,CI_BSEG_READ_VW,709
CISADM,CI_CASE_ST_ALG_VW,272
CISADM,CI_CA_ACCT_HIS_VW,469
CISADM,CI_CC_ACCT_HST_VW,711
CISADM,CI_CEVTD_ACCHST_VW,575
CISADM,CI_CEVT_ACCHST_VW,526
CISADM,CI_CE_ACCT_HST_VW,486
CISADM,CI_CFG_SPMR2_VW,633
CISADM,CI_CFG_SPMR_VW,279
CISADM,CI_CHTY_ACC_VW,261
CISADM,CI_CHTY_ADJT_VW,260
CISADM,CI_CHTY_BCTL_VW,262
CISADM,CI_CHTY_BSCL_VW,260
CISADM,CI_CHTY_DIV_VW,262
CISADM,CI_CHTY_ITMTY_VW,260
CISADM,CI_CHTY_ITM_VW,260
CISADM,CI_CHTY_MTRTY_VW,260
CISADM,CI_CHTY_MTR_VW,260
CISADM,CI_CHTY_PER_VW,260
CISADM,CI_CHTY_PREM_VW,260
CISADM,CI_CHTY_SATY_VW,260
CISADM,CI_CHTY_SA_VW,259
CISADM,CI_CHTY_SCMT_VW,259
CISADM,CI_CHTY_SPTY_VW,260
CISADM,CI_CHTY_SP_VW,258
CISADM,CI_CO_ACCT_HST_VW,395
CISADM,CI_CPROC_ACCHST_VW,398
CISADM,CI_CP_ACCT_HST_VW,376
CISADM,CI_CR_ACCT_HST_VW,387
