table_name,discovered_in_cisadm_dictionary,in_workstream_dictionary,workstreams,in_domain_metadata,num_rows,last_analyzed,stats_population_status,stats_freshness
C0_INSTALLATION,Y,N,,N,1,2026-01-27 02:21:52,populated,stale
C1_BI_FTGL_MONTHLY_A,Y,N,,N,0,2026-01-07 21:28:52,empty,stale
C1_BI_FT_MONTHLY_A,Y,N,,N,0,2026-01-07 21:28:52,empty,stale
C1_BI_SA_SNAPSHOT,Y,N,,N,1242803,2026-01-22 02:15:12,populated,stale
C1_CALC_GRP,Y,N,,N,218,2026-02-11 02:19:09,populated,stale
C1_CALC_GRP_CHAR,Y,N,,N,0,2026-01-07 21:28:53,empty,stale
C1_CALC_GRP_L,Y,N,,N,218,2026-02-11 02:19:09,populated,stale
C1_CALC_RULE,Y,N,,N,611,2026-02-11 02:19:03,populated,stale
C1_CALC_RULE_CHAR,Y,N,,N,387,2026-02-11 02:18:57,populated,stale
C1_CALC_RULE_CRT,Y,N,,N,290,2026-02-19 02:25:54,populated,stale
C1_CALC_RULE_CRT_CHAR,Y,N,,N,0,2026-01-07 21:28:53,empty,stale
C1_CALC_RULE_CRT_L,Y,N,,N,306,2026-02-11 02:18:51,populated,stale
C1_CALC_RULE_L,Y,N,,N,659,2026-02-11 02:19:40,populated,stale
C1_CALC_RULE_MBR_CAT,Y,N,,N,440,2026-02-11 02:19:09,populated,stale
C1_CALC_RULE_TRGT_CAT,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CIS_DIV_RTYP,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CIS_DIV_SEQ_CHAR,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CL_CAT_TYPE,Y,N,,N,5,2026-01-28 02:15:05,populated,stale
C1_CL_CAT_TYPE_CHAR,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CL_CAT_TYPE_L,Y,N,,N,5,2026-01-28 02:15:05,populated,stale
C1_CL_CAT_VAL,Y,N,,N,24,2026-01-28 02:15:05,populated,stale
C1_CL_CAT_VAL_L,Y,N,,N,24,2026-01-28 02:15:05,populated,stale
C1_COMM_RTE_TYPE,Y,N,,N,6,2026-01-16 02:05:29,populated,stale
C1_COMM_RTE_TYPE_CHAR,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_COMM_RTE_TYPE_DVTYP,Y,N,,N,3,2026-01-09 02:12:15,populated,stale
C1_COMM_RTE_TYPE_L,Y,N,,N,6,2026-01-09 02:12:16,populated,stale
C1_CONT,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_CHAR,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_ID,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_K,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_LOG,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_LOG_PARM,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_MS,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_MS_PROD,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_MS_TYPE,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_MS_TYPE_CHAR,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_MS_TYPE_L,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_PROD,Y,N,,N,0,2026-01-07 21:28:54,empty,stale
C1_CONT_PROD_CHAR,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CONT_PROD_K,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CONT_RULE,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CONT_RULE_CHAR,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CONT_RULE_L,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CONT_TYPE,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CONT_TYPE_CHAR,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CONT_TYPE_L,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CONT_TYPE_VALID_PROD,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CS_REQ,Y,N,,N,12277,2026-01-16 02:05:50,populated,stale
C1_CS_REQ_ACCT,Y,N,,N,10207,2026-01-16 02:05:57,populated,stale
C1_CS_REQ_ACCT_ALERT,Y,N,,N,1920,2026-01-16 02:05:33,populated,stale
C1_CS_REQ_ACCT_APAY,Y,N,,N,0,2026-01-07 21:28:55,empty,stale
C1_CS_REQ_ACCT_CHAR,Y,N,,N,3395,2026-01-16 02:05:34,populated,stale
C1_CS_REQ_ACCT_K,Y,N,,N,10204,2026-01-07 21:28:56,populated,stale
C1_CS_REQ_ACCT_LOG,Y,N,,N,38385,2026-01-16 02:06:02,populated,stale
C1_CS_REQ_ACCT_LOG_PARM,Y,N,,N,38385,2026-01-16 02:05:54,populated,stale
C1_CS_REQ_ACCT_MSG,Y,N,,N,86,2026-01-16 02:05:24,populated,stale
C1_CS_REQ_ACCT_MSG_PARM,Y,N,,N,172,2026-01-07 21:28:56,populated,stale
C1_CS_REQ_ACCT_NCD,Y,N,,N,0,2026-01-07 21:28:56,empty,stale
C1_CS_REQ_ACCT_PER,Y,N,,N,10210,2026-01-16 02:05:41,populated,stale
C1_CS_REQ_ACCT_PER_ADDR,Y,N,,N,2502,2026-01-16 02:05:34,populated,stale
C1_CS_REQ_ACCT_PER_K,Y,N,,N,10207,2026-01-07 21:28:56,populated,stale
C1_CS_REQ_CHAR,Y,N,,N,0,2026-01-07 21:28:56,empty,stale
C1_CS_REQ_CONT,Y,N,,N,0,2026-01-07 21:28:56,empty,stale
C1_CS_REQ_CONT_CHAR,Y,N,,N,0,2026-01-07 21:28:56,empty,stale
C1_CS_REQ_CONT_ID,Y,N,,N,0,2026-01-07 21:28:56,empty,stale
C1_CS_REQ_CONT_K,Y,N,,N,0,2026-01-07 21:28:56,empty,stale
C1_CS_REQ_CONT_LOG,Y,N,,N,0,2026-01-07 21:28:56,empty,stale
C1_CS_REQ_CONT_LOG_PARM,Y,N,,N,0,2026-01-07 21:28:56,empty,stale
C1_CS_REQ_CONT_MS,Y,N,,N,0,2026-01-07 21:28:57,empty,stale
C1_CS_REQ_CONT_MS_PROD,Y,N,,N,0,2026-01-07 21:28:57,empty,stale
C1_CS_REQ_CONT_PROD,Y,N,,N,0,2026-01-07 21:28:57,empty,stale
C1_CS_REQ_CONT_PROD_CHAR,Y,N,,N,0,2026-01-07 21:28:57,empty,stale
C1_CS_REQ_CONT_PROD_K,Y,N,,N,0,2026-01-07 21:28:57,empty,stale
C1_CS_REQ_CONT_PROD_LOG,Y,N,,N,0,2026-01-07 21:28:57,empty,stale
C1_CS_REQ_CONT_PROD_LOG_PARM,Y,N,,N,0,2026-01-07 21:28:57,empty,stale
C1_CS_REQ_K,Y,N,,N,12274,2026-01-07 21:28:57,populated,stale
C1_CS_REQ_LOG,Y,N,,N,106674,2026-01-16 02:06:27,populated,stale
C1_CS_REQ_LOG_PARM,Y,N,,N,161791,2026-01-16 02:06:26,populated,stale
C1_CS_REQ_PER,Y,N,,N,9382,2026-02-13 02:17:06,populated,stale
C1_CS_REQ_PER_ADDR_SEAS,Y,N,,N,1,2026-01-16 02:05:25,populated,stale
C1_CS_REQ_PER_CHAR,Y,N,,N,21927,2026-01-16 02:05:39,populated,stale
C1_CS_REQ_PER_CONTDET,Y,N,,N,18797,2026-02-13 02:16:59,populated,stale
C1_CS_REQ_PER_ID,Y,N,,N,15185,2026-01-16 02:05:38,populated,stale
C1_CS_REQ_PER_K,Y,N,,N,9380,2026-01-07 21:28:58,populated,stale
C1_CS_REQ_PER_LOG,Y,N,,N,33748,2026-01-16 02:05:58,populated,stale
C1_CS_REQ_PER_LOG_PARM,Y,N,,N,33748,2026-01-16 02:05:48,populated,stale
C1_CS_REQ_PER_NAME,Y,N,,N,9383,2026-01-16 02:05:35,populated,stale
C1_CS_REQ_PER_PER,Y,N,,N,0,2026-01-07 21:28:59,empty,stale
C1_CS_REQ_PREM,Y,N,,N,8995,2026-01-16 02:05:54,populated,stale
C1_CS_REQ_PREM_ALT_ADDR,Y,N,,N,0,2026-01-07 21:28:59,empty,stale
C1_CS_REQ_PREM_CHAR,Y,N,,N,46961,2026-01-16 02:05:55,populated,stale
C1_CS_REQ_PREM_GEO,Y,N,,N,15934,2026-01-16 02:05:42,populated,stale
C1_CS_REQ_PREM_K,Y,N,,N,8993,2026-01-07 21:28:59,populated,stale
C1_CS_REQ_PREM_LOG,Y,N,,N,9905,2026-01-16 02:05:41,populated,stale
C1_CS_REQ_PREM_LOG_PARM,Y,N,,N,9905,2026-01-16 02:05:36,populated,stale
C1_CS_REQ_REL_OBJ,Y,N,,N,37354,2026-01-16 02:05:57,populated,stale
C1_CS_REQ_SA,Y,N,,N,29607,2026-01-16 02:06:24,populated,stale
C1_CS_REQ_SA_CHAR,Y,N,,N,0,2026-01-07 21:29:00,empty,stale
C1_CS_REQ_SA_CONTERM,Y,N,,N,0,2026-01-07 21:29:00,empty,stale
C1_CS_REQ_SA_CONT_QTY,Y,N,,N,0,2026-01-07 21:29:00,empty,stale
C1_CS_REQ_SA_COP,Y,N,,N,0,2026-01-07 21:29:00,empty,stale
C1_CS_REQ_SA_COP_OVRD,Y,N,,N,0,2026-01-07 21:29:00,empty,stale
C1_CS_REQ_SA_K,Y,N,,N,29599,2026-01-07 21:29:00,populated,stale
C1_CS_REQ_SA_LOG,Y,N,,N,59214,2026-01-16 02:06:08,populated,stale
C1_CS_REQ_SA_LOG_PARM,Y,N,,N,59214,2026-01-16 02:05:59,populated,stale
C1_CS_REQ_SA_MSG,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SA_RCHG,Y,N,,N,19902,2026-01-16 02:05:39,populated,stale
C1_CS_REQ_SA_RS,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SA_SP,Y,N,,N,14482,2026-01-16 02:05:42,populated,stale
C1_CS_REQ_SA_SP_CHAR,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SA_SP_FA,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SA_SP_K,Y,N,,N,14476,2026-01-07 21:29:01,populated,stale
C1_CS_REQ_SA_TOU_CONT_VAL,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SVC_LOC,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SVC_LOC_CHAR,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SVC_LOC_CONT_PROD,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SVC_LOC_K,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SVC_LOC_LOG,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_SVC_LOC_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_TYPE,Y,N,,N,3,2026-01-16 02:05:27,populated,stale
C1_CS_REQ_TYPE_ALG,Y,N,,N,4,2026-01-16 02:05:27,populated,stale
C1_CS_REQ_TYPE_ALG_CUST_CL,Y,N,,N,8,2026-01-16 02:05:28,populated,stale
C1_CS_REQ_TYPE_ALG_PER_BUS,Y,N,,N,2,2026-01-16 02:05:30,populated,stale
C1_CS_REQ_TYPE_CHAR,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CS_REQ_TYPE_CUST_CL,Y,N,,N,4,2026-01-16 02:05:30,populated,stale
C1_CS_REQ_TYPE_L,Y,N,,N,3,2026-01-16 02:05:29,populated,stale
C1_CS_REQ_TYPE_PER_BUS,Y,N,,N,6,2026-01-16 02:05:27,populated,stale
C1_CS_REQ_TYPE_SVC_LOC_BO,Y,N,,N,0,2026-01-07 21:29:01,empty,stale
C1_CUST_REL_REQ,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_CUST_REL_REQ_CHAR,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_CUST_REL_REQ_K,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_CUST_REL_REQ_LOG,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_CUST_REL_REQ_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_CUST_REL_REQ_REL_OBJ,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_CUST_REL_REQ_TYPE,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_CUST_REL_REQ_TYPE_CHAR,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_CUST_REL_REQ_TYPE_L,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_ENRL_CONTDET,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_ENRL_CONTDET_K,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE_CHAR,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE_CRITERIA,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE_CRITERIA_CHAR,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE_CRITERIA_L,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE_L,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE_LEAD_DEFN,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE_LOG,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INITIATIVE_REL_OBJ,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_INTV_DATA_GTT,Y,N,,N,,,unknown,unknown
C1_ISS_CTR,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_ISS_CTR_CHAR,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_ISS_CTR_DTL,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_ISS_CTR_L,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_ISS_CTR_LOG,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_ISS_CTR_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_LEAD,Y,N,,N,0,2026-01-07 21:29:02,empty,stale
C1_LEAD_CHAR,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT_CHAR,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT_K,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT_LOG,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT_STEP,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT_STEP_K,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT_TYPE,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT_TYPE_CHAR,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_EVT_TYPE_L,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_K,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_LOG,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LEAD_REL_OBJ,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LETY_STEP_TYPE,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LETY_STEP_TYPE_L,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_LTR_TMPL_REC,Y,N,,N,152,2026-01-07 21:29:03,populated,stale
C1_LTR_TMPL_REC_L,Y,N,,N,152,2026-01-07 21:29:03,populated,stale
C1_MKT,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_MKTMSG_CHG,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_MKTMSG_CHG_DTL,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_MKTMSG_CHG_K,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_MKTMSG_CHG_LOG,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_MKTMSG_CHG_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:03,empty,stale
C1_MKTMSG_CHG_REL_OBJ,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_PAY,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_PAY_DTL,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_PAY_K,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_PAY_LOG,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_PAY_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_PAY_REL_OBJ,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_USG,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_USG_DTL,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_USG_K,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_USG_LOG,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_USG_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKTMSG_USG_REL_OBJ,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_CHAR,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_FALLBACK_SPR,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_L,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_PROV_CONFIG_OPT,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_PROV_CONFIG_OPT_L,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_RP,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_RP_ATTR,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_RP_CHAR,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_RP_K,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_RP_LOG,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_RP_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_RP_REL,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_RP_REL_OBJ,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_MKT_VALID_SPR,Y,N,,N,0,2026-01-07 21:29:04,empty,stale
C1_NTF_PREF,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_NTF_PREF_CHAR,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_NTF_PREF_ID,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_NTF_PREF_K,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_NTF_PREF_LOG,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_NTF_PREF_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_NTF_TYPE,Y,N,,N,9,2026-01-09 02:12:23,populated,stale
C1_NTF_TYPE_ALG,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_NTF_TYPE_CHAR,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_NTF_TYPE_COMM_RTE_TYPE,Y,N,,N,15,2026-02-27 02:15:23,populated,stale
C1_NTF_TYPE_DVTYP,Y,N,,N,8,2026-02-27 02:15:24,populated,stale
C1_NTF_TYPE_L,Y,N,,N,8,2026-02-27 02:15:23,populated,stale
C1_OFFCYC_BGEN,Y,N,,N,38559,2026-01-09 02:14:08,populated,stale
C1_OFFCYC_BGEN_ADJ,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_OFFCYC_BGEN_BCHG,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_OFFCYC_BGEN_BSEG,Y,N,,N,0,2026-01-07 21:29:05,empty,stale
C1_OFFCYC_BGEN_CHAR,Y,N,,N,39582,2026-01-09 02:13:28,populated,stale
C1_OFFCYC_BGEN_K,Y,N,,N,38559,2026-01-07 21:29:05,populated,stale
C1_OFFCYC_BGEN_LOG,Y,N,,N,44078,2026-01-09 02:13:31,populated,stale
C1_OFFCYC_BGEN_LOG_PARM,Y,N,,N,43057,2026-01-07 21:29:06,populated,stale
C1_OFFCYC_BGEN_SA,Y,N,,N,38559,2026-01-09 02:13:12,populated,stale
C1_PA_RQST,Y,Y,debt_mgmt,Y,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_CHAR,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_ELIG_RSLT,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_K,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_LOG,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
C1_PA_RQST_LOG_PARM,Y,N,,N,0,2026-01-07 21:29:06,empty,stale
