owner,view_name,text_length,ddl_chars,ddl_file,select_file,status
CISADM,C1_BI_BILLED_USAGE_VW,3189,3600,ddl/C1_BI_BILLED_USAGE_VW.sql,view_select_logic/C1_BI_BILLED_USAGE_VW.sql,ok
CISADM,C1_BI_BILL_DAY_IN_WIN_VW,869,1117,ddl/C1_BI_BILL_DAY_IN_WIN_VW.sql,view_select_logic/C1_BI_BILL_DAY_IN_WIN_VW.sql,ok
CISADM,C1_BI_BILL_VW,14626,15770,ddl/C1_BI_BILL_VW.sql,view_select_logic/C1_BI_BILL_VW.sql,ok
CISADM,C1_BI_COLLEVTTYPE_VW,349,502,ddl/C1_BI_COLLEVTTYPE_VW.sql,view_select_logic/C1_BI_COLLEVTTYPE_VW.sql,ok
CISADM,C1_BI_COLLPROC_VW,17185,18236,ddl/C1_BI_COLLPROC_VW.sql,view_select_logic/C1_BI_COLLPROC_VW.sql,ok
CISADM,C1_BI_DAYS_B4_WIN_CLOSES_VW,582,785,ddl/C1_BI_DAYS_B4_WIN_CLOSES_VW.sql,view_select_logic/C1_BI_DAYS_B4_WIN_CLOSES_VW.sql,ok
CISADM,C1_BI_FTGL_VW,4850,5372,ddl/C1_BI_FTGL_VW.sql,view_select_logic/C1_BI_FTGL_VW.sql,ok
CISADM,C1_BI_FT_VW,6249,6679,ddl/C1_BI_FT_VW.sql,view_select_logic/C1_BI_FT_VW.sql,ok
CISADM,C1_BI_SEVPROC_VW,15261,16001,ddl/C1_BI_SEVPROC_VW.sql,view_select_logic/C1_BI_SEVPROC_VW.sql,ok
CISADM,C1_BI_WOPROC_VW,7145,7819,ddl/C1_BI_WOPROC_VW.sql,view_select_logic/C1_BI_WOPROC_VW.sql,ok
CISADM,C1_SA_RCHG_VW,278,436,ddl/C1_SA_RCHG_VW.sql,view_select_logic/C1_SA_RCHG_VW.sql,ok
CISADM,C1_SA_RS_VW,254,389,ddl/C1_SA_RS_VW.sql,view_select_logic/C1_SA_RS_VW.sql,ok
CISADM,C1_SYRQ_PER_ALL_VW,3657,3823,ddl/C1_SYRQ_PER_ALL_VW.sql,view_select_logic/C1_SYRQ_PER_ALL_VW.sql,ok
CISADM,C1_SYRQ_PER_NF_VW,6905,7070,ddl/C1_SYRQ_PER_NF_VW.sql,view_select_logic/C1_SYRQ_PER_NF_VW.sql,ok
CISADM,C1_SYRQ_PREM_ALL_VW,4924,5081,ddl/C1_SYRQ_PREM_ALL_VW.sql,view_select_logic/C1_SYRQ_PREM_ALL_VW.sql,ok
CISADM,C1_SYRQ_PREM_NF_VW,9512,9668,ddl/C1_SYRQ_PREM_NF_VW.sql,view_select_logic/C1_SYRQ_PREM_NF_VW.sql,ok
CISADM,CI_ACCTG_DAYS_VW,234,465,ddl/CI_ACCTG_DAYS_VW.sql,view_select_logic/CI_ACCTG_DAYS_VW.sql,ok
CISADM,CI_ACCT_CR_R_VW,382,561,ddl/CI_ACCT_CR_R_VW.sql,view_select_logic/CI_ACCT_CR_R_VW.sql,ok
CISADM,CI_ACCT_FT_HST_VW,287,487,ddl/CI_ACCT_FT_HST_VW.sql,view_select_logic/CI_ACCT_FT_HST_VW.sql,ok
CISADM,CI_ACDC_WOSA_VW,554,813,ddl/CI_ACDC_WOSA_VW.sql,view_select_logic/CI_ACDC_WOSA_VW.sql,ok
CISADM,CI_ADJTSAT_S_VW,359,540,ddl/CI_ADJTSAT_S_VW.sql,view_select_logic/CI_ADJTSAT_S_VW.sql,ok
CISADM,CI_ALG_ADHC_VW,259,421,ddl/CI_ALG_ADHC_VW.sql,view_select_logic/CI_ALG_ADHC_VW.sql,ok
CISADM,CI_ALG_ADJT_VW,258,420,ddl/CI_ALG_ADJT_VW.sql,view_select_logic/CI_ALG_ADJT_VW.sql,ok
CISADM,CI_ALG_BSBF_VW,258,420,ddl/CI_ALG_BSBF_VW.sql,view_select_logic/CI_ALG_BSBF_VW.sql,ok
CISADM,CI_ALG_BSBS_VW,258,420,ddl/CI_ALG_BSBS_VW.sql,view_select_logic/CI_ALG_BSBS_VW.sql,ok
CISADM,CI_ALG_CCAL_VW,258,420,ddl/CI_ALG_CCAL_VW.sql,view_select_logic/CI_ALG_CCAL_VW.sql,ok
CISADM,CI_ALG_CNSMP_VW,258,421,ddl/CI_ALG_CNSMP_VW.sql,view_select_logic/CI_ALG_CNSMP_VW.sql,ok
CISADM,CI_ALG_COCN_VW,259,421,ddl/CI_ALG_COCN_VW.sql,view_select_logic/CI_ALG_COCN_VW.sql,ok
CISADM,CI_ALG_COEV_VW,258,420,ddl/CI_ALG_COEV_VW.sql,view_select_logic/CI_ALG_COEV_VW.sql,ok
CISADM,CI_ALG_ERAC_VW,261,423,ddl/CI_ALG_ERAC_VW.sql,view_select_logic/CI_ALG_ERAC_VW.sql,ok
CISADM,CI_ALG_FACM_VW,260,422,ddl/CI_ALG_FACM_VW.sql,view_select_logic/CI_ALG_FACM_VW.sql,ok
CISADM,CI_ALG_GLAC_VW,260,422,ddl/CI_ALG_GLAC_VW.sql,view_select_logic/CI_ALG_GLAC_VW.sql,ok
CISADM,CI_ALG_GVFM_VW,261,423,ddl/CI_ALG_GVFM_VW.sql,view_select_logic/CI_ALG_GVFM_VW.sql,ok
CISADM,CI_ALG_IDFM_VW,260,422,ddl/CI_ALG_IDFM_VW.sql,view_select_logic/CI_ALG_IDFM_VW.sql,ok
CISADM,CI_ALG_LPCC_VW,260,422,ddl/CI_ALG_LPCC_VW.sql,view_select_logic/CI_ALG_LPCC_VW.sql,ok
CISADM,CI_ALG_LPCE_VW,260,422,ddl/CI_ALG_LPCE_VW.sql,view_select_logic/CI_ALG_LPCE_VW.sql,ok
CISADM,CI_ALG_ODSP_VW,258,420,ddl/CI_ALG_ODSP_VW.sql,view_select_logic/CI_ALG_ODSP_VW.sql,ok
CISADM,CI_ALG_PHFM_VW,260,422,ddl/CI_ALG_PHFM_VW.sql,view_select_logic/CI_ALG_PHFM_VW.sql,ok
CISADM,CI_ALG_PKCC_VW,234,396,ddl/CI_ALG_PKCC_VW.sql,view_select_logic/CI_ALG_PKCC_VW.sql,ok
CISADM,CI_ALG_PKEL_VW,234,396,ddl/CI_ALG_PKEL_VW.sql,view_select_logic/CI_ALG_PKEL_VW.sql,ok
CISADM,CI_ALG_PPBR_VW,234,396,ddl/CI_ALG_PPBR_VW.sql,view_select_logic/CI_ALG_PPBR_VW.sql,ok
CISADM,CI_ALG_PPOA_VW,258,420,ddl/CI_ALG_PPOA_VW.sql,view_select_logic/CI_ALG_PPOA_VW.sql,ok
CISADM,CI_ALG_PSEG_VW,258,420,ddl/CI_ALG_PSEG_VW.sql,view_select_logic/CI_ALG_PSEG_VW.sql,ok
CISADM,CI_ALG_PSPR_VW,258,420,ddl/CI_ALG_PSPR_VW.sql,view_select_logic/CI_ALG_PSPR_VW.sql,ok
CISADM,CI_ALG_PYDT_VW,259,421,ddl/CI_ALG_PYDT_VW.sql,view_select_logic/CI_ALG_PYDT_VW.sql,ok
CISADM,CI_ALG_SATBC_VW,258,421,ddl/CI_ALG_SATBC_VW.sql,view_select_logic/CI_ALG_SATBC_VW.sql,ok
CISADM,CI_ALG_SATFT_VW,258,421,ddl/CI_ALG_SATFT_VW.sql,view_select_logic/CI_ALG_SATFT_VW.sql,ok
CISADM,CI_ALG_SVCR_VW,259,421,ddl/CI_ALG_SVCR_VW.sql,view_select_logic/CI_ALG_SVCR_VW.sql,ok
CISADM,CI_ALG_SVEV_VW,258,420,ddl/CI_ALG_SVEV_VW.sql,view_select_logic/CI_ALG_SVEV_VW.sql,ok
CISADM,CI_ALG_XAR_VW,258,419,ddl/CI_ALG_XAR_VW.sql,view_select_logic/CI_ALG_XAR_VW.sql,ok
CISADM,CI_BAL_CTL_MEM_VW,222,435,ddl/CI_BAL_CTL_MEM_VW.sql,view_select_logic/CI_BAL_CTL_MEM_VW.sql,ok
CISADM,CI_BCHG_READ_VW,681,1151,ddl/CI_BCHG_READ_VW.sql,view_select_logic/CI_BCHG_READ_VW.sql,ok
CISADM,CI_BCHG_UP_READ_VW,748,1216,ddl/CI_BCHG_UP_READ_VW.sql,view_select_logic/CI_BCHG_UP_READ_VW.sql,ok
CISADM,CI_BF_ACCT_HST_VW,1500,1730,ddl/CI_BF_ACCT_HST_VW.sql,view_select_logic/CI_BF_ACCT_HST_VW.sql,ok
CISADM,CI_BSEG_READ_VW,709,1174,ddl/CI_BSEG_READ_VW.sql,view_select_logic/CI_BSEG_READ_VW.sql,ok
CISADM,CI_CASE_ST_ALG_VW,272,473,ddl/CI_CASE_ST_ALG_VW.sql,view_select_logic/CI_CASE_ST_ALG_VW.sql,ok
CISADM,CI_CA_ACCT_HIS_VW,469,699,ddl/CI_CA_ACCT_HIS_VW.sql,view_select_logic/CI_CA_ACCT_HIS_VW.sql,ok
CISADM,CI_CC_ACCT_HST_VW,711,941,ddl/CI_CC_ACCT_HST_VW.sql,view_select_logic/CI_CC_ACCT_HST_VW.sql,ok
CISADM,CI_CEVTD_ACCHST_VW,575,806,ddl/CI_CEVTD_ACCHST_VW.sql,view_select_logic/CI_CEVTD_ACCHST_VW.sql,ok
CISADM,CI_CEVT_ACCHST_VW,526,756,ddl/CI_CEVT_ACCHST_VW.sql,view_select_logic/CI_CEVT_ACCHST_VW.sql,ok
CISADM,CI_CE_ACCT_HST_VW,486,716,ddl/CI_CE_ACCT_HST_VW.sql,view_select_logic/CI_CE_ACCT_HST_VW.sql,ok
CISADM,CI_CFG_SPMR2_VW,633,896,ddl/CI_CFG_SPMR2_VW.sql,view_select_logic/CI_CFG_SPMR2_VW.sql,ok
CISADM,CI_CFG_SPMR_VW,279,517,ddl/CI_CFG_SPMR_VW.sql,view_select_logic/CI_CFG_SPMR_VW.sql,ok
CISADM,CI_CHTY_ACC_VW,261,449,ddl/CI_CHTY_ACC_VW.sql,view_select_logic/CI_CHTY_ACC_VW.sql,ok
CISADM,CI_CHTY_ADJT_VW,260,449,ddl/CI_CHTY_ADJT_VW.sql,view_select_logic/CI_CHTY_ADJT_VW.sql,ok
CISADM,CI_CHTY_BCTL_VW,262,451,ddl/CI_CHTY_BCTL_VW.sql,view_select_logic/CI_CHTY_BCTL_VW.sql,ok
CISADM,CI_CHTY_BSCL_VW,260,449,ddl/CI_CHTY_BSCL_VW.sql,view_select_logic/CI_CHTY_BSCL_VW.sql,ok
CISADM,CI_CHTY_DIV_VW,262,450,ddl/CI_CHTY_DIV_VW.sql,view_select_logic/CI_CHTY_DIV_VW.sql,ok
CISADM,CI_CHTY_ITMTY_VW,260,450,ddl/CI_CHTY_ITMTY_VW.sql,view_select_logic/CI_CHTY_ITMTY_VW.sql,ok
CISADM,CI_CHTY_ITM_VW,260,448,ddl/CI_CHTY_ITM_VW.sql,view_select_logic/CI_CHTY_ITM_VW.sql,ok
CISADM,CI_CHTY_MTRTY_VW,260,450,ddl/CI_CHTY_MTRTY_VW.sql,view_select_logic/CI_CHTY_MTRTY_VW.sql,ok
CISADM,CI_CHTY_MTR_VW,260,448,ddl/CI_CHTY_MTR_VW.sql,view_select_logic/CI_CHTY_MTR_VW.sql,ok
CISADM,CI_CHTY_PER_VW,260,448,ddl/CI_CHTY_PER_VW.sql,view_select_logic/CI_CHTY_PER_VW.sql,ok
CISADM,CI_CHTY_PREM_VW,260,449,ddl/CI_CHTY_PREM_VW.sql,view_select_logic/CI_CHTY_PREM_VW.sql,ok
CISADM,CI_CHTY_SATY_VW,260,449,ddl/CI_CHTY_SATY_VW.sql,view_select_logic/CI_CHTY_SATY_VW.sql,ok
CISADM,CI_CHTY_SA_VW,259,446,ddl/CI_CHTY_SA_VW.sql,view_select_logic/CI_CHTY_SA_VW.sql,ok
CISADM,CI_CHTY_SCMT_VW,259,448,ddl/CI_CHTY_SCMT_VW.sql,view_select_logic/CI_CHTY_SCMT_VW.sql,ok
CISADM,CI_CHTY_SPTY_VW,260,449,ddl/CI_CHTY_SPTY_VW.sql,view_select_logic/CI_CHTY_SPTY_VW.sql,ok
CISADM,CI_CHTY_SP_VW,258,445,ddl/CI_CHTY_SP_VW.sql,view_select_logic/CI_CHTY_SP_VW.sql,ok
CISADM,CI_CO_ACCT_HST_VW,395,625,ddl/CI_CO_ACCT_HST_VW.sql,view_select_logic/CI_CO_ACCT_HST_VW.sql,ok
CISADM,CI_CPROC_ACCHST_VW,398,629,ddl/CI_CPROC_ACCHST_VW.sql,view_select_logic/CI_CPROC_ACCHST_VW.sql,ok
CISADM,CI_CP_ACCT_HST_VW,376,606,ddl/CI_CP_ACCT_HST_VW.sql,view_select_logic/CI_CP_ACCT_HST_VW.sql,ok
CISADM,CI_CR_ACCT_HST_VW,387,617,ddl/CI_CR_ACCT_HST_VW.sql,view_select_logic/CI_CR_ACCT_HST_VW.sql,ok
CISADM,CI_CURRENCY_VW,89,229,ddl/CI_CURRENCY_VW.sql,view_select_logic/CI_CURRENCY_VW.sql,ok
CISADM,CI_CURR_CUST_VW,944,1242,ddl/CI_CURR_CUST_VW.sql,view_select_logic/CI_CURR_CUST_VW.sql,ok
CISADM,CI_DEG_MONTH_VW,239,411,ddl/CI_DEG_MONTH_VW.sql,view_select_logic/CI_DEG_MONTH_VW.sql,ok
CISADM,CI_DVTY_CHTY_VW,195,380,ddl/CI_DVTY_CHTY_VW.sql,view_select_logic/CI_DVTY_CHTY_VW.sql,ok
CISADM,CI_FA_ACCT_HST_VW,490,720,ddl/CI_FA_ACCT_HST_VW.sql,view_select_logic/CI_FA_ACCT_HST_VW.sql,ok
CISADM,CI_FT_GL_XTR_VW,416,558,ddl/CI_FT_GL_XTR_VW.sql,view_select_logic/CI_FT_GL_XTR_VW.sql,ok
