section,domain_name,Billed_Usage_Snapshot___Domain
section,workstream,Billing and Rates

PHYSICAL_TABLES
domain_table_alias,physical_table
BSEG_BILLED_USAGE_RPT_CURR,BSEG_BILLED_USAGE_RPT_CURR

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
BSEG_BILLED_USAGE_RPT_CURR,1,single_table,BSEG_BILLED_USAGE_RPT_CURR,,Single-table domain on BSEG_BILLED_USAGE_RPT_CURR

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
Customer And Service,Customer Name,BSEG_BILLED_USAGE_RPT_CURR,CUSTOMER_NAME,,
Customer And Service,Account ID,BSEG_BILLED_USAGE_RPT_CURR,ACCT_ID,,
Customer And Service,Service Agreement ID,BSEG_BILLED_USAGE_RPT_CURR,SA_ID,,
Customer And Service,Service Type,BSEG_BILLED_USAGE_RPT_CURR,SA_TYPE_DESC,,
Customer And Service,Service Type Code,BSEG_BILLED_USAGE_RPT_CURR,SA_TYPE_CD,,
Customer And Service,Utility / Service Category Code,BSEG_BILLED_USAGE_RPT_CURR,UTILITY_TYPE_CD,,
Customer And Service,Premise ID,BSEG_BILLED_USAGE_RPT_CURR,PREM_ID,,
Billing Context,Bill ID,BSEG_BILLED_USAGE_RPT_CURR,BILL_ID,,
Billing Context,Bill Segment ID,BSEG_BILLED_USAGE_RPT_CURR,BSEG_ID,,
Billing Context,Bill Date,BSEG_BILLED_USAGE_RPT_CURR,BILL_DT,,
Billing Context,Due Date,BSEG_BILLED_USAGE_RPT_CURR,DUE_DT,,
Billing Context,Bill Segment Start Date,BSEG_BILLED_USAGE_RPT_CURR,BSEG_START_DT,,
Billing Context,Bill Segment End Date,BSEG_BILLED_USAGE_RPT_CURR,BSEG_END_DT,,
Billing Context,Window Start Date,BSEG_BILLED_USAGE_RPT_CURR,WIN_START_DT,,
Billing Context,Bill Status,BSEG_BILLED_USAGE_RPT_CURR,BILL_STAT_DESC,,
Billing Context,Bill Status Code,BSEG_BILLED_USAGE_RPT_CURR,BILL_STAT_FLG,,
Billing Context,Bill Segment Status,BSEG_BILLED_USAGE_RPT_CURR,BSEG_STAT_DESC,,
Billing Context,Bill Segment Status Code,BSEG_BILLED_USAGE_RPT_CURR,BSEG_STAT_FLG,,
Billing Context,Bill Cycle,BSEG_BILLED_USAGE_RPT_CURR,BILL_BILL_CYC_DESC,,
Billing Context,Bill Cycle Code,BSEG_BILLED_USAGE_RPT_CURR,BILL_BILL_CYC_CD,,
Billing Context,Bill Segment Cycle,BSEG_BILLED_USAGE_RPT_CURR,BSEG_BILL_CYC_DESC,,
Billing Context,Bill Segment Cycle Code,BSEG_BILLED_USAGE_RPT_CURR,BSEG_BILL_CYC_CD,,
Usage And Billed Amount,Total Billed Usage,BSEG_BILLED_USAGE_RPT_CURR,TOTAL_BILL_SQ,,
Usage And Billed Amount,Total Billed Amount,BSEG_BILLED_USAGE_RPT_CURR,TOTAL_CALC_AMT,,
Usage And Billed Amount,Total Initial Usage,BSEG_BILLED_USAGE_RPT_CURR,TOTAL_INIT_SQ,,
Usage And Billed Amount,Total Measured Quantity,BSEG_BILLED_USAGE_RPT_CURR,TOTAL_MSR_QTY,,
Usage And Billed Amount,Total Final Register Quantity,BSEG_BILLED_USAGE_RPT_CURR,TOTAL_FINAL_REG_QTY,,
Usage And Billed Amount,Service Quantity Line Count,BSEG_BILLED_USAGE_RPT_CURR,SQ_LINE_COUNT,,
