section,domain_name,Billed_Usage_SQ_Snapshot___Domain
section,workstream,Billing and Rates

PHYSICAL_TABLES
domain_table_alias,physical_table
BSEG_SQ_USAGE_RPT_CURR,BSEG_SQ_USAGE_RPT_CURR

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
BSEG_SQ_USAGE_RPT_CURR,1,single_table,BSEG_SQ_USAGE_RPT_CURR,,Single-table domain on BSEG_SQ_USAGE_RPT_CURR

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
Snapshot Audit,Snapshot Load Date Time,BSEG_SQ_USAGE_RPT_CURR,LOAD_DTTM,,
Determinant Output,Bill Segment ID,BSEG_SQ_USAGE_RPT_CURR,BSEG_ID,,
Determinant Output,Unit Of Measure,BSEG_SQ_USAGE_RPT_CURR,UOM_DESC,,
Determinant Output,Unit Of Measure Code,BSEG_SQ_USAGE_RPT_CURR,UOM_CD,,
Determinant Output,Time Of Use,BSEG_SQ_USAGE_RPT_CURR,TOU_DESC,,
Determinant Output,Time Of Use Code,BSEG_SQ_USAGE_RPT_CURR,TOU_CD,,
Determinant Output,Service Quantity Identifier,BSEG_SQ_USAGE_RPT_CURR,SQI_DESC,,
Determinant Output,Service Quantity Identifier Code,BSEG_SQ_USAGE_RPT_CURR,SQI_CD,,
Determinant Output,Total Billed Usage,BSEG_SQ_USAGE_RPT_CURR,TOTAL_BILL_SQ,,
Determinant Output,Total Initial Usage,BSEG_SQ_USAGE_RPT_CURR,TOTAL_INIT_SQ,,
Determinant Output,Service Quantity Line Count,BSEG_SQ_USAGE_RPT_CURR,SQ_LINE_COUNT,,
Determinant Output,Bill Segment Determinant Count,BSEG_SQ_USAGE_RPT_CURR,BSEG_DETERMINANT_COUNT,,
Billing Context,Bill ID,BSEG_SQ_USAGE_RPT_CURR,BILL_ID,,
Billing Context,Bill Date,BSEG_SQ_USAGE_RPT_CURR,BILL_DT,,
Billing Context,Due Date,BSEG_SQ_USAGE_RPT_CURR,DUE_DT,,
Billing Context,Bill Segment Start Date,BSEG_SQ_USAGE_RPT_CURR,BSEG_START_DT,,
Billing Context,Bill Segment End Date,BSEG_SQ_USAGE_RPT_CURR,BSEG_END_DT,,
Billing Context,Window Start Date,BSEG_SQ_USAGE_RPT_CURR,WIN_START_DT,,
Billing Context,Bill Status,BSEG_SQ_USAGE_RPT_CURR,BILL_STAT_DESC,,
Billing Context,Bill Status Code,BSEG_SQ_USAGE_RPT_CURR,BILL_STAT_FLG,,
Billing Context,Bill Segment Status,BSEG_SQ_USAGE_RPT_CURR,BSEG_STAT_DESC,,
Billing Context,Bill Segment Status Code,BSEG_SQ_USAGE_RPT_CURR,BSEG_STAT_FLG,,
Billing Context,Bill Cycle,BSEG_SQ_USAGE_RPT_CURR,BILL_BILL_CYC_DESC,,
Billing Context,Bill Cycle Code,BSEG_SQ_USAGE_RPT_CURR,BILL_BILL_CYC_CD,,
Billing Context,Bill Segment Cycle,BSEG_SQ_USAGE_RPT_CURR,BSEG_BILL_CYC_DESC,,
Billing Context,Bill Segment Cycle Code,BSEG_SQ_USAGE_RPT_CURR,BSEG_BILL_CYC_CD,,
Customer And Service,Customer Name,BSEG_SQ_USAGE_RPT_CURR,CUSTOMER_NAME,,
Customer And Service,Account ID,BSEG_SQ_USAGE_RPT_CURR,ACCT_ID,,
Customer And Service,Service Agreement ID,BSEG_SQ_USAGE_RPT_CURR,SA_ID,,
Customer And Service,Service Type,BSEG_SQ_USAGE_RPT_CURR,SA_TYPE_DESC,,
Customer And Service,Service Type Code,BSEG_SQ_USAGE_RPT_CURR,SA_TYPE_CD,,
Customer And Service,Utility / Service Category Code,BSEG_SQ_USAGE_RPT_CURR,UTILITY_TYPE_CD,,
Customer And Service,Premise ID,BSEG_SQ_USAGE_RPT_CURR,PREM_ID,,
Account Segmentation,Customer Class,BSEG_SQ_USAGE_RPT_CURR,CUST_CL_DESC,,
Account Segmentation,Customer Class Code,BSEG_SQ_USAGE_RPT_CURR,CUST_CL_CD,,
Account Segmentation,Collection Class,BSEG_SQ_USAGE_RPT_CURR,COLL_CL_DESC,,
Account Segmentation,Collection Class Code,BSEG_SQ_USAGE_RPT_CURR,COLL_CL_CD,,
Account Segmentation,Account Management Group,BSEG_SQ_USAGE_RPT_CURR,ACCT_MGMT_GRP_DESC,,
Account Segmentation,Account Management Group Code,BSEG_SQ_USAGE_RPT_CURR,ACCT_MGMT_GRP_CD,,
Account Segmentation,Budget Plan,BSEG_SQ_USAGE_RPT_CURR,BUD_PLAN_DESC,,
Account Segmentation,Budget Plan Code,BSEG_SQ_USAGE_RPT_CURR,BUD_PLAN_CD,,
Flags And Exceptions,Estimated Segment,BSEG_SQ_USAGE_RPT_CURR,EST_SW,,
Flags And Exceptions,Closing Bill Segment,BSEG_SQ_USAGE_RPT_CURR,CLOSING_BSEG_SW,,
Flags And Exceptions,Service Quantity Override,BSEG_SQ_USAGE_RPT_CURR,SQ_OVERRIDE_SW,,
Flags And Exceptions,Item Override,BSEG_SQ_USAGE_RPT_CURR,ITEM_OVERRIDE_SW,,
Flags And Exceptions,Cancel Reason,BSEG_SQ_USAGE_RPT_CURR,CAN_RSN_DESC,,
Flags And Exceptions,Cancel Reason Code,BSEG_SQ_USAGE_RPT_CURR,CAN_RSN_CD,,
Flags And Exceptions,Rebill Segment ID,BSEG_SQ_USAGE_RPT_CURR,REBILL_SEG_ID,,
Flags And Exceptions,Cancelled Bill Segment ID,BSEG_SQ_USAGE_RPT_CURR,CAN_BSEG_ID,,
Flags And Exceptions,Master Bill Segment ID,BSEG_SQ_USAGE_RPT_CURR,MASTER_BSEG_ID,,
