section,domain_name,Deposit_Control___Domain
section,workstream,Cashiering

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_DEP_CTL,CI_DEP_CTL
CI_DEP_CTL_1,CI_DEP_CTL
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_TNDR_CTL,CI_TNDR_CTL
CI_TNDR_DEP,CI_TNDR_DEP
CI_TNDR_SRCE_L,CI_TNDR_SRCE_L
CI_TNDR_END_BAL,CI_TNDR_END_BAL
SC_USER,SC_USER
SC_USER_1,SC_USER
SC_USER_2,SC_USER
SC_USER_3,SC_USER
SC_USER_4,SC_USER
SC_USER_5,SC_USER
CI_BATCH_CTRL_L,CI_BATCH_CTRL_L
CI_TENDER_TYPE_L,CI_TENDER_TYPE_L
CI_BANK_L,CI_BANK_L
CI_BANK_ACCOUNT_L,CI_BANK_ACCOUNT_L
JoinTree_1,CI_TNDR_CTL
JoinTree_2,CI_DEP_CTL

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_TNDR_CTL,CI_DEP_CTL,CI_TNDR_CTL.DEP_CTL_ID == CI_DEP_CTL.DEP_CTL_ID
JoinTree_1,2,inner,CI_TNDR_CTL,CI_TNDR_SRCE_L,CI_TNDR_CTL.TNDR_SOURCE_CD == CI_TNDR_SRCE_L.TNDR_SOURCE_CD and CI_TNDR_SRCE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,3,inner,CI_TNDR_CTL,CI_LOOKUP_VAL_L,CI_TNDR_CTL.TNDR_CTL_ST_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'TNDR_CTL_ST_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,4,leftOuter,CI_TNDR_CTL,SC_USER,CI_TNDR_CTL.USER_ID == SC_USER.USER_ID
JoinTree_1,5,leftOuter,CI_TNDR_CTL,SC_USER_1,CI_TNDR_CTL.BALANCED_USER_ID == SC_USER_1.USER_ID
JoinTree_1,6,leftOuter,CI_TNDR_CTL,CI_BATCH_CTRL_L,CI_TNDR_CTL.BATCH_CD == CI_BATCH_CTRL_L.BATCH_CD and CI_BATCH_CTRL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,leftOuter,CI_DEP_CTL,SC_USER_2,CI_DEP_CTL.USER_ID == SC_USER_2.USER_ID
JoinTree_1,8,leftOuter,CI_DEP_CTL,SC_USER_3,CI_DEP_CTL.BALANCED_USER_ID == SC_USER_3.USER_ID
JoinTree_1,9,inner,CI_DEP_CTL,CI_LOOKUP_VAL_L_1,CI_DEP_CTL.TNDR_SRCE_TYPE_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'TNDR_SRCE_TYPE_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,10,inner,CI_DEP_CTL,CI_LOOKUP_VAL_L_2,CI_DEP_CTL.DEP_CTL_STATUS_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'DEP_CTL_STATUS_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
