section,domain_name,Batch_Process___Domain
section,workstream,Common

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_BATCH_CTRL,CI_BATCH_CTRL
CI_BATCH_CTRL_L,CI_BATCH_CTRL_L
CI_BATCH_INST,CI_BATCH_INST
CI_BATCH_RUN,CI_BATCH_RUN
CI_BATCH_THD,CI_BATCH_THD
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
SC_USER,SC_USER
JoinTree_1,CI_BATCH_INST

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_BATCH_INST,CI_BATCH_RUN,CI_BATCH_INST.BATCH_CD == CI_BATCH_RUN.BATCH_CD and CI_BATCH_INST.BATCH_NBR == CI_BATCH_RUN.BATCH_NBR and CI_BATCH_INST.BATCH_RERUN_NBR == CI_BATCH_RUN.BATCH_RERUN_NBR
JoinTree_1,2,inner,CI_BATCH_INST,CI_BATCH_CTRL,CI_BATCH_INST.BATCH_CD == CI_BATCH_CTRL.BATCH_CD
JoinTree_1,3,inner,CI_BATCH_INST,CI_BATCH_CTRL_L,CI_BATCH_INST.BATCH_CD == CI_BATCH_CTRL_L.BATCH_CD and CI_BATCH_CTRL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,4,inner,CI_BATCH_INST,CI_BATCH_THD,CI_BATCH_INST.BATCH_CD == CI_BATCH_THD.BATCH_CD and CI_BATCH_INST.BATCH_NBR == CI_BATCH_THD.BATCH_NBR and CI_BATCH_INST.BATCH_RERUN_NBR == CI_BATCH_THD.BATCH_RERUN_NBR
JoinTree_1,5,inner,CI_BATCH_RUN,CI_LOOKUP_VAL_L,CI_BATCH_RUN.RUN_STATUS == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'RUN_STATUS' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,6,inner,CI_BATCH_THD,CI_LOOKUP_VAL_L_1,CI_BATCH_THD.THREAD_STATUS == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'THREAD_STATUS' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
1.) Batch Thread Instance,Batch Control,JoinTree_1.CI_BATCH_INST,BATCH_CD,,
1.) Batch Thread Instance,Batch Number,JoinTree_1.CI_BATCH_INST,BATCH_NBR,Dimension,CountAll
1.) Batch Thread Instance,Batch Rerun Number,JoinTree_1.CI_BATCH_INST,BATCH_RERUN_NBR,Dimension,CountAll
1.) Batch Thread Instance,Thread Nbr,JoinTree_1.CI_BATCH_INST,BATCH_THREAD_NBR,Dimension,CountAll
1.) Batch Thread Instance,End Date/Time,JoinTree_1.CI_BATCH_INST,END_DTTM,,
1.) Batch Thread Instance,File Details,JoinTree_1.CI_BATCH_INST,FILE_DETAILS,,
1.) Batch Thread Instance,Records in Error,JoinTree_1.CI_BATCH_INST,REC_ERR_CNT,,
1.) Batch Thread Instance,Records Processed,JoinTree_1.CI_BATCH_INST,REC_PROC_CNT,,
1.) Batch Thread Instance,Restart Data,JoinTree_1.CI_BATCH_INST,RESTART_DATA,,
1.) Batch Thread Instance,Batch Instance,JoinTree_1.CI_BATCH_INST,SCHEDULER_ID,Dimension,CountAll
1.) Batch Thread Instance,Start Date/Time,JoinTree_1.CI_BATCH_INST,START_DTTM,,
1.) Batch Run,Batch Business Date,JoinTree_1.CI_BATCH_RUN,BATCH_BUS_DT,,
1.) Batch Run,Batch Control,JoinTree_1.CI_BATCH_RUN,BATCH_CD,,
1.) Batch Run,Batch Number,JoinTree_1.CI_BATCH_RUN,BATCH_NBR,Dimension,CountAll
1.) Batch Run,Batch Rerun Number,JoinTree_1.CI_BATCH_RUN,BATCH_RERUN_NBR,Dimension,CountAll
1.) Batch Run,Do Not Attempt Restart,JoinTree_1.CI_BATCH_RUN,DO_NOT_RESTART_SW,,
1.) Batch Run,End Date/Time,JoinTree_1.CI_BATCH_RUN,END_DTTM,,
1.) Batch Run,Run Status,JoinTree_1.CI_BATCH_RUN,RUN_STATUS,,
1.) Batch Run,Start Date/Time,JoinTree_1.CI_BATCH_RUN,START_DTTM,,
1.) Batch Thread,Batch Control,JoinTree_1.CI_BATCH_THD,BATCH_CD,,
1.) Batch Thread,Batch Number,JoinTree_1.CI_BATCH_THD,BATCH_NBR,Dimension,CountAll
1.) Batch Thread,Batch Rerun Number,JoinTree_1.CI_BATCH_THD,BATCH_RERUN_NBR,Dimension,CountAll
1.) Batch Thread,Thread Nbr,JoinTree_1.CI_BATCH_THD,BATCH_THREAD_NBR,Dimension,CountAll
1.) Batch Thread,Log File Name,JoinTree_1.CI_BATCH_THD,LOG_FILE_NAME,,
1.) Batch Thread,Thread Retries Count,JoinTree_1.CI_BATCH_THD,THD_RETRY_CNT,,
1.) Batch Thread,Thread Status,JoinTree_1.CI_BATCH_THD,THREAD_STATUS,,
1.) Formulas,Distinct Batch Instance,JoinTree_1,SCHEDULER_ID_DISTINCT,,
1.) Formulas,Distinct Batch Run,JoinTree_1,BATCH_RUN_DISTINCT,,
1.) Formulas,Distinct Batch Thread,JoinTree_1,BATCH_THREAD_DISTINCT,,
1.) Formulas,Duration (in Hours),JoinTree_1,SCHEDULER_ID_DURATION_HOURS,,
1.) Formulas,Duration (in Minutes),JoinTree_1,SCHEDULER_ID_DURATION_MINS,,
1.) Descriptions,Batch Control (with Description),JoinTree_1,BATCH_CD_DESCR,,
1.) Descriptions,Run Status Description,JoinTree_1.CI_LOOKUP_VAL_L,DESCR,,
1.) Descriptions,Thread Status Description,JoinTree_1.CI_LOOKUP_VAL_L_1,DESCR,,
