section,domain_name,Bill_Segment_Exception___Domain
section,workstream,Common

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_BSEG_EXCP,CI_BSEG_EXCP
CI_SA,CI_SA
CI_ACCT_PER,CI_ACCT_PER
CI_PER_NAME,CI_PER_NAME
CI_TD_DRLKEY,CI_TD_DRLKEY
CI_TD_ENTRY,CI_TD_ENTRY
SC_USER,SC_USER
SC_USER_1,SC_USER
SC_USER_2,SC_USER
SC_USER_3,SC_USER
SC_USER_4,SC_USER
CI_TD_TYPE_L,CI_TD_TYPE_L
CI_ROLE_L,CI_ROLE_L
CI_TD_DRLKEY_TY,CI_TD_DRLKEY_TY
CI_BSEG,CI_BSEG
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_ACCT_MGMT_GR_L,CI_ACCT_MGMT_GR_L
CI_ACCT,CI_ACCT
CI_CUST_CL_L,CI_CUST_CL_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
CI_SA_TYPE_L,CI_SA_TYPE_L
JoinTree_1,CI_BSEG_EXCP

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_BSEG_EXCP,CI_TD_DRLKEY,CI_BSEG_EXCP.BSEG_ID == CI_TD_DRLKEY.KEY_VALUE
JoinTree_1,2,inner,CI_TD_DRLKEY,CI_TD_DRLKEY_TY,CI_TD_DRLKEY.SEQ_NUM == CI_TD_DRLKEY_TY.SEQ_NUM
JoinTree_1,3,inner,CI_TD_DRLKEY_TY,CI_TD_ENTRY,CI_TD_DRLKEY_TY.TD_TYPE_CD == CI_TD_ENTRY.TD_TYPE_CD and CI_TD_DRLKEY_TY.TBL_NAME == 'CI_BSEG' and CI_TD_DRLKEY_TY.FLD_NAME == 'BSEG_ID'
JoinTree_1,4,inner,CI_TD_DRLKEY,CI_TD_ENTRY,CI_TD_DRLKEY.TD_ENTRY_ID == CI_TD_ENTRY.TD_ENTRY_ID
JoinTree_1,5,inner,CI_BSEG_EXCP,CI_BSEG,CI_BSEG_EXCP.BSEG_ID == CI_BSEG.BSEG_ID
JoinTree_1,6,inner,CI_BSEG,CI_SA,CI_BSEG.SA_ID == CI_SA.SA_ID
JoinTree_1,7,inner,CI_SA,CI_ACCT_PER,CI_SA.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
JoinTree_1,8,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,9,inner,CI_BSEG_EXCP,CI_LOOKUP_VAL_L,CI_BSEG_EXCP.BSEG_EXCP_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'BSEG_EXCP_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,10,inner,CI_BSEG_EXCP,SC_USER,CI_BSEG_EXCP.USER_ID == SC_USER.USER_ID
JoinTree_1,11,leftOuter,CI_BSEG_EXCP,SC_USER_1,CI_BSEG_EXCP.REVIEW_USER_ID == SC_USER_1.USER_ID
JoinTree_1,12,leftOuter,CI_TD_ENTRY,SC_USER_2,CI_TD_ENTRY.ASSIGNED_USER_ID == SC_USER_2.USER_ID
JoinTree_1,13,inner,CI_TD_ENTRY,CI_TD_TYPE_L,CI_TD_ENTRY.TD_TYPE_CD == CI_TD_TYPE_L.TD_TYPE_CD and CI_TD_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,14,inner,CI_TD_ENTRY,CI_ROLE_L,CI_TD_ENTRY.ROLE_ID == CI_ROLE_L.ROLE_ID
JoinTree_1,15,inner,CI_TD_ENTRY,CI_LOOKUP_VAL_L_1,CI_TD_ENTRY.ENTRY_STATUS_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'ENTRY_STATUS_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,16,leftOuter,CI_TD_ENTRY,SC_USER_3,CI_TD_ENTRY.COMPLETE_USER_ID == SC_USER_3.USER_ID
JoinTree_1,17,inner,CI_TD_ENTRY,CI_LOOKUP_VAL_L_2,CI_TD_ENTRY.TD_PRIORITY_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'TD_PRIORITY_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
JoinTree_1,18,leftOuter,CI_TD_ENTRY,SC_USER_4,CI_TD_ENTRY.ASSIGNED_TO == SC_USER_4.USER_ID
JoinTree_1,19,inner,CI_SA,CI_ACCT,CI_SA.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,20,leftOuter,CI_ACCT,CI_BILL_CYC_L,CI_ACCT.BILL_CYC_CD == CI_BILL_CYC_L.BILL_CYC_CD and CI_BILL_CYC_L.LANGUAGE_CD == 'ENG'
