section,domain_name,Usage_Transaction_Exception___Domain
section,workstream,Common

PHYSICAL_TABLES
domain_table_alias,physical_table
D1_USAGE_EXCP,D1_USAGE_EXCP
CI_TD_DRLKEY,CI_TD_DRLKEY
CI_TD_DRLKEY_TY,CI_TD_DRLKEY_TY
CI_TD_ENTRY,CI_TD_ENTRY
D1_USAGE,D1_USAGE
D1_US_CONTACT,D1_US_CONTACT
D1_CONTACT_IDENTIFIER,D1_CONTACT_IDENTIFIER
CI_PER_NAME,CI_PER_NAME
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_5,CI_LOOKUP_VAL_L
F1_BUS_OBJ_L,F1_BUS_OBJ_L
F1_BUS_OBJ_L_1,F1_BUS_OBJ_L
D1_USAGE_EXCP_TYPE_L,D1_USAGE_EXCP_TYPE_L
D1_USG_GRP_L,D1_USG_GRP_L
D1_USG_RULE_L,D1_USG_RULE_L
CI_TD_TYPE_L,CI_TD_TYPE_L
CI_ROLE_L,CI_ROLE_L
SC_USER,SC_USER
SC_USER_1,SC_USER
SC_USER_2,SC_USER
D1_US_SP,D1_US_SP
D1_SP,D1_SP
CI_ACC_GRP_L,CI_ACC_GRP_L
F1_BUS_OBJ_STATUS_L,F1_BUS_OBJ_STATUS_L
D1_SP_TYPE_L,D1_SP_TYPE_L
D1_DIVISION_L,D1_DIVISION_L
D1_MKT_L,D1_MKT_L
D1_MSRMT_CYC_L,D1_MSRMT_CYC_L
D1_MSRMT_CYC_RTE_L,D1_MSRMT_CYC_RTE_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
JoinTree_1,D1_USAGE_EXCP

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,D1_USAGE_EXCP,CI_TD_DRLKEY,D1_USAGE_EXCP.D1_USAGE_ID == CI_TD_DRLKEY.KEY_VALUE
JoinTree_1,2,inner,CI_TD_DRLKEY,CI_TD_DRLKEY_TY,CI_TD_DRLKEY.SEQ_NUM == CI_TD_DRLKEY_TY.SEQ_NUM
JoinTree_1,3,inner,CI_TD_DRLKEY_TY,CI_TD_ENTRY,CI_TD_DRLKEY_TY.TD_TYPE_CD == CI_TD_ENTRY.TD_TYPE_CD and CI_TD_DRLKEY_TY.TBL_NAME == 'D1_USAGE' and CI_TD_DRLKEY_TY.FLD_NAME == 'D1_USAGE_ID'
JoinTree_1,4,inner,CI_TD_DRLKEY,CI_TD_ENTRY,CI_TD_DRLKEY.TD_ENTRY_ID == CI_TD_ENTRY.TD_ENTRY_ID
JoinTree_1,5,inner,D1_USAGE_EXCP,D1_USAGE,D1_USAGE_EXCP.D1_USAGE_ID == D1_USAGE.D1_USAGE_ID
JoinTree_1,6,inner,D1_USAGE,D1_US_CONTACT,D1_USAGE.US_ID == D1_US_CONTACT.US_ID
JoinTree_1,7,inner,D1_US_CONTACT,D1_CONTACT_IDENTIFIER,D1_US_CONTACT.CONTACT_ID == D1_CONTACT_IDENTIFIER.CONTACT_ID and D1_CONTACT_IDENTIFIER.CONTACT_ID_TYPE_FLG == 'D1EI'
JoinTree_1,8,inner,D1_CONTACT_IDENTIFIER,CI_PER_NAME,D1_CONTACT_IDENTIFIER.ID_VALUE == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,9,inner,D1_USAGE_EXCP,CI_LOOKUP_VAL_L,D1_USAGE_EXCP.EXCP_SEVERITY_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'EXCP_SEVERITY_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,10,inner,CI_TD_ENTRY,CI_LOOKUP_VAL_L_2,CI_TD_ENTRY.ENTRY_STATUS_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'ENTRY_STATUS_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
