section,domain_name,VEE_Exception___Domain
section,workstream,Common

PHYSICAL_TABLES
domain_table_alias,physical_table
D1_VEE_EXCP,D1_VEE_EXCP
CI_TD_DRLKEY,CI_TD_DRLKEY
CI_TD_DRLKEY_TY,CI_TD_DRLKEY_TY
CI_TD_ENTRY,CI_TD_ENTRY
D1_INIT_MSRMT_DATA,D1_INIT_MSRMT_DATA
D1_MEASR_COMP,D1_MEASR_COMP
D1_DVC_CFG,D1_DVC_CFG
D1_INSTALL_EVT,D1_INSTALL_EVT
D1_SP,D1_SP
F1_BUS_OBJ_L,F1_BUS_OBJ_L
F1_BUS_OBJ_L_1,F1_BUS_OBJ_L
F1_BUS_OBJ_STATUS_L,F1_BUS_OBJ_STATUS_L
F1_BUS_OBJ_STATUS_L_1,F1_BUS_OBJ_STATUS_L
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_5,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_6,CI_LOOKUP_VAL_L
D1_EXCP_TYPE_L,D1_EXCP_TYPE_L
D1_VEE_GRP_L,D1_VEE_GRP_L
D1_VEE_RULE_L,D1_VEE_RULE_L
D1_DIVISION_L,D1_DIVISION_L
D1_MKT_L,D1_MKT_L
D1_MSRMT_CYC_L,D1_MSRMT_CYC_L
D1_MSRMT_CYC_RTE_L,D1_MSRMT_CYC_RTE_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
SC_USER,SC_USER
SC_USER_1,SC_USER
SC_USER_2,SC_USER
SC_USER_3,SC_USER
SC_USER_4,SC_USER
CI_ROLE_L,CI_ROLE_L
CI_TD_TYPE_L,CI_TD_TYPE_L
CI_SP_TYPE_L,CI_SP_TYPE_L
D1_SP_TYPE_L,D1_SP_TYPE_L
JoinTree_1,D1_VEE_EXCP

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,D1_VEE_EXCP,D1_INIT_MSRMT_DATA,D1_VEE_EXCP.INIT_MSRMT_DATA_ID == D1_INIT_MSRMT_DATA.INIT_MSRMT_DATA_ID
JoinTree_1,2,inner,D1_INIT_MSRMT_DATA,CI_TD_DRLKEY,D1_INIT_MSRMT_DATA.INIT_MSRMT_DATA_ID == CI_TD_DRLKEY.KEY_VALUE
JoinTree_1,3,inner,CI_TD_DRLKEY,CI_TD_DRLKEY_TY,CI_TD_DRLKEY.SEQ_NUM == CI_TD_DRLKEY_TY.SEQ_NUM
JoinTree_1,4,inner,CI_TD_DRLKEY_TY,CI_TD_ENTRY,CI_TD_DRLKEY_TY.TD_TYPE_CD == CI_TD_ENTRY.TD_TYPE_CD and CI_TD_DRLKEY_TY.TBL_NAME == 'D1_INIT_MSRMT_DATA' and CI_TD_DRLKEY_TY.FLD_NAME == 'INIT_MSRMT_DATA_ID'
JoinTree_1,5,inner,CI_TD_DRLKEY,CI_TD_ENTRY,CI_TD_DRLKEY.TD_ENTRY_ID == CI_TD_ENTRY.TD_ENTRY_ID
JoinTree_1,6,inner,D1_INIT_MSRMT_DATA,CMS_PER_NAME,D1_INIT_MSRMT_DATA.INIT_MSRMT_DATA_ID == CMS_PER_NAME.INIT_MSRMT_DATA_ID
JoinTree_1,7,inner,D1_INIT_MSRMT_DATA,D1_MEASR_COMP,D1_INIT_MSRMT_DATA.MEASR_COMP_ID == D1_MEASR_COMP.MEASR_COMP_ID
JoinTree_1,8,inner,D1_MEASR_COMP,D1_DVC_CFG,D1_MEASR_COMP.DEVICE_CONFIG_ID == D1_DVC_CFG.DEVICE_CONFIG_ID
JoinTree_1,9,inner,D1_DVC_CFG,D1_INSTALL_EVT,D1_DVC_CFG.DEVICE_CONFIG_ID == D1_INSTALL_EVT.DEVICE_CONFIG_ID
JoinTree_1,10,inner,D1_INSTALL_EVT,D1_SP,D1_INSTALL_EVT.D1_SP_ID == D1_SP.D1_SP_ID
JoinTree_1,11,leftOuter,D1_VEE_EXCP,F1_BUS_OBJ_STATUS_L,D1_VEE_EXCP.BO_STATUS_CD == F1_BUS_OBJ_STATUS_L.BO_STATUS_CD and D1_VEE_EXCP.BUS_OBJ_CD == F1_BUS_OBJ_STATUS_L.BUS_OBJ_CD and F1_BUS_OBJ_STATUS_L.LANGUAGE_CD == 'ENG'
JoinTree_1,12,inner,D1_VEE_EXCP,F1_BUS_OBJ_L,D1_VEE_EXCP.BUS_OBJ_CD == F1_BUS_OBJ_L.BUS_OBJ_CD and F1_BUS_OBJ_L.LANGUAGE_CD == 'ENG'
JoinTree_1,13,inner,D1_VEE_EXCP,CI_LOOKUP_VAL_L,D1_VEE_EXCP.EXCP_SEVERITY_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'EXCP_SEVERITY_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,14,inner,D1_VEE_EXCP,D1_EXCP_TYPE_L,D1_VEE_EXCP.EXCP_TYPE_CD == D1_EXCP_TYPE_L.EXCP_TYPE_CD and D1_EXCP_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,15,inner,D1_VEE_EXCP,CI_LOOKUP_VAL_L_1,D1_VEE_EXCP.OPEN_CLOSE_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'OPEN_CLOSE_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,16,inner,D1_VEE_EXCP,D1_VEE_GRP_L,D1_VEE_EXCP.VEE_GRP_CD == D1_VEE_GRP_L.VEE_GRP_CD and D1_VEE_GRP_L.LANGUAGE_CD == 'ENG'
JoinTree_1,17,inner,D1_VEE_EXCP,D1_VEE_RULE_L,D1_VEE_EXCP.VEE_RULE_CD == D1_VEE_RULE_L.VEE_RULE_CD and D1_VEE_EXCP.VEE_GRP_CD == D1_VEE_RULE_L.VEE_GRP_CD and D1_VEE_RULE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,18,inner,D1_SP,F1_BUS_OBJ_L_1,D1_SP.BUS_OBJ_CD == F1_BUS_OBJ_L_1.BUS_OBJ_CD and F1_BUS_OBJ_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,19,inner,D1_SP,F1_BUS_OBJ_STATUS_L_1,D1_SP.BO_STATUS_CD == F1_BUS_OBJ_STATUS_L_1.BO_STATUS_CD and D1_SP.BUS_OBJ_CD == F1_BUS_OBJ_STATUS_L_1.BUS_OBJ_CD and F1_BUS_OBJ_STATUS_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,20,leftOuter,D1_SP,CI_LOOKUP_VAL_L_3,D1_SP.DISCONN_LOC_FLG == CI_LOOKUP_VAL_L_3.FIELD_VALUE and CI_LOOKUP_VAL_L_3.FIELD_NAME == 'DISCONN_LOC_FLG' and CI_LOOKUP_VAL_L_3.LANGUAGE_CD == 'ENG'
