section,domain_name,To_Do___Domain
section,workstream,Common

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_TD_ENTRY,CI_TD_ENTRY
CI_TD_TYPE_L,CI_TD_TYPE_L
CI_ROLE_L,CI_ROLE_L
SC_USER,SC_USER
SC_USER_1,SC_USER
SC_USER_2,SC_USER
CI_PREM,CI_PREM
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_MSG_L,CI_MSG_L
CI_PER_NAME,CI_PER_NAME
CI_PREM_TYPE_L,CI_PREM_TYPE_L
CI_MR_INSTR_L,CI_MR_INSTR_L
CI_MR_WARN_L,CI_MR_WARN_L
CI_TREND_AREA_L,CI_TREND_AREA_L
CI_STATE_L,CI_STATE_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
JoinTree_1,CI_TD_ENTRY

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_TD_ENTRY,CI_TD_TYPE_L,CI_TD_ENTRY.TD_TYPE_CD == CI_TD_TYPE_L.TD_TYPE_CD and CI_TD_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,2,inner,CI_TD_ENTRY,CMS_TD_ENTRY_FKREF,CI_TD_ENTRY.TD_ENTRY_ID == CMS_TD_ENTRY_FKREF.TD_ENTRY_ID
JoinTree_1,3,leftOuter,CMS_TD_ENTRY_FKREF,CI_PER_NAME,CMS_TD_ENTRY_FKREF.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,4,leftOuter,CMS_TD_ENTRY_FKREF,CI_PREM,CMS_TD_ENTRY_FKREF.PREM_ID == CI_PREM.PREM_ID
JoinTree_1,5,leftOuter,CI_TD_ENTRY,CMS_TD_ENTRY_TIMES,CI_TD_ENTRY.TD_ENTRY_ID == CMS_TD_ENTRY_TIMES.TD_ENTRY_ID
JoinTree_1,6,leftOuter,CI_TD_ENTRY,SC_USER,CI_TD_ENTRY.ASSIGNED_TO == SC_USER.USER_ID
JoinTree_1,7,leftOuter,CI_TD_ENTRY,SC_USER_1,CI_TD_ENTRY.ASSIGNED_USER_ID == SC_USER_1.USER_ID
JoinTree_1,8,leftOuter,CI_TD_ENTRY,SC_USER_2,CI_TD_ENTRY.COMPLETE_USER_ID == SC_USER_2.USER_ID
JoinTree_1,9,inner,CI_TD_ENTRY,CI_LOOKUP_VAL_L,CI_TD_ENTRY.ENTRY_STATUS_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'ENTRY_STATUS_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,10,inner,CI_TD_ENTRY,CI_ROLE_L,CI_TD_ENTRY.ROLE_ID == CI_ROLE_L.ROLE_ID and CI_ROLE_L.LANGUAGE_CD == 'ENG'
