section,domain_name,Account_Alert___Domain
section,workstream,Customer Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_ACCT,CI_ACCT
CI_ACCT_PER,CI_ACCT_PER
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_CIS_DIVISION_L,CI_CIS_DIVISION_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
SC_USER,SC_USER
CI_ACCT_ALERT,CI_ACCT_ALERT
CI_ALERT_TYPE_L,CI_ALERT_TYPE_L
CI_PER_NAME,CI_PER_NAME
CI_SA,CI_SA
CI_BSEG,CI_BSEG
CI_BSEG_CALC,CI_BSEG_CALC
C1_PER_CONTDET,C1_PER_CONTDET
JoinTree_1,CI_ACCT

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_ACCT,CI_ACCT_ALERT,CI_ACCT.ACCT_ID == CI_ACCT_ALERT.ACCT_ID
JoinTree_1,2,inner,CI_ACCT,CI_ACCT_PER,CI_ACCT.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
JoinTree_1,3,inner,CI_ACCT_ALERT,CI_ALERT_TYPE_L,CI_ACCT_ALERT.ALERT_TYPE_CD == CI_ALERT_TYPE_L.ALERT_TYPE_CD and CI_ALERT_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,4,leftOuter,CI_ACCT,CI_BILL_CYC_L,CI_ACCT.BILL_CYC_CD == CI_BILL_CYC_L.BILL_CYC_CD and CI_BILL_CYC_L.LANGUAGE_CD == 'ENG'
JoinTree_1,5,leftOuter,CI_ACCT,CI_CIS_DIVISION_L,CI_ACCT.CIS_DIVISION == CI_CIS_DIVISION_L.CIS_DIVISION and CI_CIS_DIVISION_L.LANGUAGE_CD == 'ENG'
JoinTree_1,6,inner,CI_ACCT,CI_COLL_CL_L,CI_ACCT.COLL_CL_CD == CI_COLL_CL_L.COLL_CL_CD and CI_COLL_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,inner,CI_ACCT,CI_CUST_CL_L,CI_ACCT.CUST_CL_CD == CI_CUST_CL_L.CUST_CL_CD and CI_CUST_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,leftOuter,CI_ACCT,CI_BUD_PLAN_L,CI_ACCT.BUD_PLAN_CD == CI_BUD_PLAN_L.BUD_PLAN_CD and CI_BUD_PLAN_L.LANGUAGE_CD == 'ENG'
JoinTree_1,9,leftOuter,CI_ACCT,SC_USER,CI_ACCT.BILL_PRT_INTERCEPT == SC_USER.USER_ID
JoinTree_1,10,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM' and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
