section,domain_name,Case___Domain
section,workstream,Customer Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_CASE,CI_CASE
CI_CASE_STATUS_L,CI_CASE_STATUS_L
CI_CASE_STATUS_L_1,CI_CASE_STATUS_L
CI_CASE_STATUS_L_2,CI_CASE_STATUS_L
CI_CASE_TYPE_L,CI_CASE_TYPE_L
CI_CASE_TYPE_L_1,CI_CASE_TYPE_L
CI_PREM,CI_PREM
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
SC_USER,SC_USER
SC_USER_1,SC_USER
CI_PHONE_TYPE_L,CI_PHONE_TYPE_L
CI_PER_NAME,CI_PER_NAME
CI_PER_NAME_1,CI_PER_NAME
CI_ACCT,CI_ACCT
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
CI_ACCT_MGMT_GR_L,CI_ACCT_MGMT_GR_L
CI_PREM_TYPE_L,CI_PREM_TYPE_L
CI_MR_INSTR_L,CI_MR_INSTR_L
CI_MR_WARN_L,CI_MR_WARN_L
CI_TREND_AREA_L,CI_TREND_AREA_L
CI_STATE_L,CI_STATE_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
CMS_CI_CASE_LOG_VW,CMS_CI_CASE_LOG_VW
CMS_CI_CASE_VW,CMS_CI_CASE_VW
JoinTree_1,CI_CASE
JoinTree_4,CMS_CI_CASE_LOG_VW

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,leftOuter,CI_CASE,CI_PREM,CI_CASE.PREM_ID == CI_PREM.PREM_ID
JoinTree_1,2,leftOuter,CI_CASE,CI_ACCT,CI_CASE.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,3,leftOuter,CI_CASE,CI_PER_NAME,CI_CASE.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,4,inner,CI_CASE,CMS_CI_CASE_VW,CI_CASE.CASE_ID == CMS_CI_CASE_VW.CASE_ID
JoinTree_1,5,inner,CI_CASE,CI_CASE_TYPE_L,CI_CASE.CASE_TYPE_CD == CI_CASE_TYPE_L.CASE_TYPE_CD and CI_CASE_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,6,inner,CI_CASE,CI_CASE_STATUS_L,CI_CASE.CASE_TYPE_CD == CI_CASE_STATUS_L.CASE_TYPE_CD and CI_CASE.CASE_STATUS_CD == CI_CASE_STATUS_L.CASE_STATUS_CD and CI_CASE_STATUS_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,inner,CI_CASE,CI_LOOKUP_VAL_L,CI_CASE.CASE_COND_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'CASE_COND_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,inner,CI_CASE,SC_USER,CI_CASE.USER_ID == SC_USER.USER_ID
JoinTree_1,9,leftOuter,CI_CASE,CI_PHONE_TYPE_L,CI_CASE.PHONE_TYPE_CD == CI_PHONE_TYPE_L.PHONE_TYPE_CD and CI_PHONE_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,10,leftOuter,CI_ACCT,CI_BILL_CYC_L,CI_ACCT.BILL_CYC_CD == CI_BILL_CYC_L.BILL_CYC_CD and CI_BILL_CYC_L.LANGUAGE_CD == 'ENG'
JoinTree_1,11,leftOuter,CI_ACCT,CI_ACCT_MGMT_GR_L,CI_ACCT.ACCT_MGMT_GRP_CD == CI_ACCT_MGMT_GR_L.ACCT_MGMT_GRP_CD and CI_ACCT_MGMT_GR_L.LANGUAGE_CD == 'ENG'
