section,domain_name,Customer_Contact___Domain
section,workstream,Customer Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_CC,CI_CC
CI_CC_TYPE_L,CI_CC_TYPE_L
CI_CC_CL_L,CI_CC_CL_L
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LETTER_TMPL_L,CI_LETTER_TMPL_L
CI_PREM,CI_PREM
SC_USER,SC_USER
CI_PER_NAME,CI_PER_NAME
CI_ACCT,CI_ACCT
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
CI_ACCT_MGMT_GR_L,CI_ACCT_MGMT_GR_L
CI_PREM_TYPE_L,CI_PREM_TYPE_L
CI_MR_INSTR_L,CI_MR_INSTR_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_MR_WARN_L,CI_MR_WARN_L
JoinTree_1,CI_CC

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_CC,CI_PER_NAME,CI_CC.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,2,leftOuter,CI_CC,CI_ACCT,CI_CC.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,3,leftOuter,CI_CC,CI_PREM,CI_CC.PREM_ID == CI_PREM.PREM_ID
JoinTree_1,4,inner,CI_CC,SC_USER,CI_CC.USER_ID == SC_USER.USER_ID
JoinTree_1,5,inner,CI_CC,CI_CC_CL_L,CI_CC.CC_CL_CD == CI_CC_CL_L.CC_CL_CD and CI_CC_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,6,inner,CI_CC,CI_CC_TYPE_L,CI_CC.CC_CL_CD == CI_CC_TYPE_L.CC_CL_CD and CI_CC.CC_TYPE_CD == CI_CC_TYPE_L.CC_TYPE_CD and CI_CC_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,leftOuter,CI_CC,CI_LOOKUP_VAL_L,CI_CC.CC_ENTITY_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'CC_ENTITY_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,leftOuter,CI_CC,CI_LETTER_TMPL_L,CI_CC.LTR_TMPL_CD == CI_LETTER_TMPL_L.LTR_TMPL_CD and CI_LETTER_TMPL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,9,leftOuter,CI_CC,CI_LOOKUP_VAL_L_1,CI_CC.CC_STATUS_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'CC_STATUS_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,10,leftOuter,CI_CC,CI_LOOKUP_VAL_L_2,CI_CC.CONTACT_METH_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'CONTACT_METH_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
