section,domain_name,Landlord_Agreement___Domain
section,workstream,Customer Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_ACCT,CI_ACCT
CI_ACCT_PER,CI_ACCT_PER
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_CIS_DIVISION_L,CI_CIS_DIVISION_L
CI_PREM,CI_PREM
CI_LL_DETAIL,CI_LL_DETAIL
CI_LANDLORD,CI_LANDLORD
CI_PREM_TYPE_L,CI_PREM_TYPE_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
CI_STATE_L,CI_STATE_L
CI_PER_NAME,CI_PER_NAME
JoinTree_1,CI_LANDLORD

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_LANDLORD,CI_PREM,CI_LANDLORD.LL_ID == CI_PREM.LL_ID
JoinTree_1,2,inner,CI_LANDLORD,CI_ACCT,CI_LANDLORD.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,3,inner,CI_LANDLORD,CI_ACCT_PER,CI_LANDLORD.ACCT_ID == CI_ACCT_PER.ACCT_ID
JoinTree_1,4,inner,CI_PREM,CI_PREM_TYPE_L,CI_PREM.PREM_TYPE_CD == CI_PREM_TYPE_L.PREM_TYPE_CD and CI_PREM_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,5,leftOuter,CI_PREM,CI_CIS_DIVISION_L,CI_PREM.CIS_DIVISION == CI_CIS_DIVISION_L.CIS_DIVISION and CI_CIS_DIVISION_L.CIS_DIVISION == 'ENG'
JoinTree_1,6,inner,CI_PREM,CI_STATE_L,CI_PREM.COUNTRY == CI_STATE_L.COUNTRY and CI_PREM.STATE == CI_STATE_L.STATE and CI_STATE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,leftOuter,CI_PREM,CI_TIME_ZONE_L,CI_PREM.TIME_ZONE_CD == CI_TIME_ZONE_L.TIME_ZONE_CD and CI_TIME_ZONE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y' and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,9,leftOuter,CI_LANDLORD,CMS_LL_COVERAGE,CI_LANDLORD.LL_ID == CMS_LL_COVERAGE.LL_ID

