section,domain_name,Service_Agreement___Domain
section,workstream,Customer Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_SA_CONTERM,CI_SA_CONTERM
CI_TOU_CONT_VAL,CI_TOU_CONT_VAL
CI_SA,CI_SA
CI_ACCT,CI_ACCT
CI_ACCT_PER,CI_ACCT_PER
CI_PER_NAME,CI_PER_NAME
CI_PREM,CI_PREM
CI_SA_TYPE,CI_SA_TYPE
CI_BF_L,CI_BF_L
CI_TAX_EX_TYPE_L,CI_TAX_EX_TYPE_L
CI_TOU_GRP_L,CI_TOU_GRP_L
CI_TOU_L,CI_TOU_L
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_CIS_DIVISION_L,CI_CIS_DIVISION_L
CI_PREM_TYPE_L,CI_PREM_TYPE_L
CI_SA_TYPE_L,CI_SA_TYPE_L
JoinTree_1,CI_SA_CONTERM

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,leftOuter,CI_SA_CONTERM,CI_SA,CI_SA_CONTERM.SA_ID == CI_SA.SA_ID
JoinTree_1,2,leftOuter,CI_SA_CONTERM,CI_TOU_CONT_VAL,CI_SA_CONTERM.SA_ID == CI_TOU_CONT_VAL.SA_ID and CI_SA_CONTERM.CONTERM_TYPE_FLG == CI_TOU_CONT_VAL.CONTERM_TYPE_FLG and CI_SA_CONTERM.START_DT == CI_TOU_CONT_VAL.START_DT and CI_SA_CONTERM.BF_CD == CI_TOU_CONT_VAL.BF_CD and CI_SA_CONTERM.TOU_GRP_CD == CI_TOU_CONT_VAL.TOU_GRP_CD
JoinTree_1,3,leftOuter,CI_SA,CI_ACCT,CI_SA.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,4,leftOuter,CI_ACCT,CI_ACCT_PER,CI_ACCT.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
JoinTree_1,5,leftOuter,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,6,leftOuter,CI_SA,CI_PREM,CI_SA.CHAR_PREM_ID == CI_PREM.PREM_ID
JoinTree_1,7,leftOuter,CI_SA,CI_SA_TYPE,CI_SA.CIS_DIVISION == CI_SA_TYPE.CIS_DIVISION and CI_SA.SA_TYPE_CD == CI_SA_TYPE.SA_TYPE_CD
JoinTree_1,8,leftOuter,CI_SA_CONTERM,CI_LOOKUP_VAL_L,CI_SA_CONTERM.CONTERM_TYPE_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'CONTERM_TYPE_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,9,leftOuter,CI_SA_CONTERM,CI_BF_L,CI_SA_CONTERM.BF_CD == CI_BF_L.BF_CD and CI_BF_L.LANGUAGE_CD == 'ENG'
JoinTree_1,10,leftOuter,CI_SA_CONTERM,CI_TAX_EX_TYPE_L,CI_SA_CONTERM.TAX_EX_TYPE_CD == CI_TAX_EX_TYPE_L.TAX_EX_TYPE_CD and CI_TAX_EX_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,11,leftOuter,CI_SA_CONTERM,CI_TOU_GRP_L,CI_SA_CONTERM.TOU_GRP_CD == CI_TOU_GRP_L.TOU_GRP_CD and CI_TOU_GRP_L.LANGUAGE_CD == 'ENG'
JoinTree_1,12,leftOuter,CI_TOU_CONT_VAL,CI_TOU_L,CI_TOU_CONT_VAL.TOU_CD == CI_TOU_L.TOU_CD and CI_TOU_L.LANGUAGE_CD == 'ENG'
JoinTree_1,13,leftOuter,CI_SA,CI_LOOKUP_VAL_L_1,CI_SA.SA_STATUS_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'SA_STATUS_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,14,leftOuter,CI_SA_TYPE,CI_SA_TYPE_L,CI_SA_TYPE.CIS_DIVISION == CI_SA_TYPE_L.CIS_DIVISION and CI_SA_TYPE.SA_TYPE_CD == CI_SA_TYPE_L.SA_TYPE_CD and CI_SA_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,15,leftOuter,CI_ACCT,CI_BILL_CYC_L,CI_ACCT.BILL_CYC_CD == CI_BILL_CYC_L.BILL_CYC_CD and CI_BILL_CYC_L.LANGUAGE_CD == 'ENG'
JoinTree_1,16,leftOuter,CI_ACCT,CI_CUST_CL_L,CI_ACCT.CUST_CL_CD == CI_CUST_CL_L.CUST_CL_CD and CI_CUST_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,17,leftOuter,CI_ACCT,CI_COLL_CL_L,CI_ACCT.COLL_CL_CD == CI_COLL_CL_L.COLL_CL_CD and CI_COLL_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,18,leftOuter,CI_ACCT,CI_CIS_DIVISION_L,CI_ACCT.CIS_DIVISION == CI_CIS_DIVISION_L.CIS_DIVISION and CI_CIS_DIVISION_L.LANGUAGE_CD == 'ENG'
JoinTree_1,19,leftOuter,CI_PREM,CI_PREM_TYPE_L,CI_PREM.PREM_TYPE_CD == CI_PREM_TYPE_L.PREM_TYPE_CD and CI_PREM_TYPE_L.LANGUAGE_CD == 'ENG'

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
1.) Service Agreement Contract Terms,Service Agreement ID,JoinTree_1.CI_SA_CONTERM,SA_ID,,
1.) Service Agreement Contract Terms,Contract Term Type,JoinTree_1.CI_SA_CONTERM,CONTERM_TYPE_FLG,,
1.) Service Agreement Contract Terms,Bill Factor,JoinTree_1.CI_SA_CONTERM,BF_CD,,
1.) Service Agreement Contract Terms,Contract Term Start Date,JoinTree_1.CI_SA_CONTERM,START_DT,,
1.) Service Agreement Contract Terms,Contract Term End Date,JoinTree_1.CI_SA_CONTERM,END_DT,,
1.) Service Agreement Contract Terms,Percent Exempt,JoinTree_1.CI_SA_CONTERM,PCT_EXEMPT,,
1.) Service Agreement Contract Terms,Tax Certificate,JoinTree_1.CI_SA_CONTERM,TAX_CERT,,
