section,domain_name,Collection_Process_Domain
section,workstream,Debt Management

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_COLL_PROC,CI_COLL_PROC
CI_COLL_EVT,CI_COLL_EVT
CI_ACCT_1,CI_ACCT
CI_COLL_PROC_TM_L,CI_COLL_PROC_TM_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_5,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_6,CI_LOOKUP_VAL_L
CI_COLL_CL_L_1,CI_COLL_CL_L
CI_COLL_EVT_TYP_L,CI_COLL_EVT_TYP_L
CI_ACCT_PER_1,CI_ACCT_PER
CI_PER_NAME_1,CI_PER_NAME
CI_COLL_CL_CNTL_L,CI_COLL_CL_CNTL_L
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_ACCT_MGMT_GR_L,CI_ACCT_MGMT_GR_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
JoinTree_3,CI_COLL_PROC

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_3,1,inner,CI_COLL_PROC,CI_COLL_EVT,CI_COLL_PROC.COLL_PROC_ID == CI_COLL_EVT.COLL_PROC_ID
JoinTree_3,2,inner,CI_COLL_PROC,CI_ACCT_1,CI_COLL_PROC.ACCT_ID == CI_ACCT_1.ACCT_ID
JoinTree_3,3,inner,CI_COLL_PROC,CI_COLL_PROC_TM_L,CI_COLL_PROC.COLL_PROC_TMPL_CD == CI_COLL_PROC_TM_L.COLL_PROC_TMPL_CD and CI_COLL_PROC_TM_L.LANGUAGE_CD == 'ENG'
JoinTree_3,4,inner,CI_COLL_PROC,CI_LOOKUP_VAL_L_1,CI_COLL_PROC.COLL_STATUS_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'COLL_STATUS_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_3,5,inner,CI_COLL_PROC,CI_LOOKUP_VAL_L_3,CI_COLL_PROC.COLL_STAT_RSN_FLG == CI_LOOKUP_VAL_L_3.FIELD_VALUE and CI_LOOKUP_VAL_L_3.FIELD_NAME == 'COLL_STAT_RSN_FLG' and CI_LOOKUP_VAL_L_3.LANGUAGE_CD == 'ENG'
JoinTree_3,6,inner,CI_COLL_EVT,CI_COLL_EVT_TYP_L,CI_COLL_EVT.COLL_EVT_TYP_CD == CI_COLL_EVT_TYP_L.COLL_EVT_TYP_CD and CI_COLL_EVT_TYP_L.LANGUAGE_CD == 'ENG'
JoinTree_3,7,inner,CI_COLL_PROC,CI_ACCT_PER_1,CI_COLL_PROC.ACCT_ID == CI_ACCT_PER_1.ACCT_ID and CI_ACCT_PER_1.MAIN_CUST_SW == 'Y'
JoinTree_3,8,inner,CI_ACCT_PER_1,CI_PER_NAME_1,CI_ACCT_PER_1.PER_ID == CI_PER_NAME_1.PER_ID and CI_PER_NAME_1.NAME_TYPE_FLG == 'PRIM'
JoinTree_3,9,inner,CI_COLL_PROC,CI_COLL_CL_CNTL_L,CI_COLL_PROC.COLL_CL_CNTL_CD == CI_COLL_CL_CNTL_L.COLL_CL_CNTL_CD and CI_COLL_CL_CNTL_L.LANGUAGE_CD == 'ENG'
JoinTree_3,10,leftOuter,CI_COLL_PROC,CI_LOOKUP_VAL_L_4,CI_COLL_PROC.COLL_CAT_PRIO_FLG == CI_LOOKUP_VAL_L_4.FIELD_VALUE and CI_LOOKUP_VAL_L_4.FIELD_NAME == 'COLL_CAT_PRIO_FLG' and CI_LOOKUP_VAL_L_4.LANGUAGE_CD == 'ENG'
JoinTree_3,11,leftOuter,CI_COLL_PROC,CI_LOOKUP_VAL_L_5,CI_COLL_PROC.CRIT_PRIO_FLG == CI_LOOKUP_VAL_L_5.FIELD_VALUE and CI_LOOKUP_VAL_L_5.FIELD_NAME == 'CRIT_PRIO_FLG' and CI_LOOKUP_VAL_L_5.LANGUAGE_CD == 'ENG'
JoinTree_3,12,inner,CI_COLL_EVT,CI_LOOKUP_VAL_L_6,CI_COLL_EVT.COLL_EVT_STAT_FLG == CI_LOOKUP_VAL_L_6.FIELD_VALUE and CI_LOOKUP_VAL_L_6.FIELD_NAME == 'COLL_EVT_STAT_FLG' and CI_LOOKUP_VAL_L_6.LANGUAGE_CD == 'ENG'
JoinTree_3,13,leftOuter,CI_COLL_EVT,CMS_IS_NEXT_COLL_EVT,CI_COLL_EVT.COLL_PROC_ID == CMS_IS_NEXT_COLL_EVT.COLL_PROC_ID and CI_COLL_EVT.EVT_SEQ == CMS_IS_NEXT_COLL_EVT.EVT_SEQ
JoinTree_3,14,leftOuter,CI_ACCT_1,CI_BILL_CYC_L,CI_ACCT_1.BILL_CYC_CD == CI_BILL_CYC_L.BILL_CYC_CD and CI_BILL_CYC_L.LANGUAGE_CD == 'ENG'
JoinTree_3,15,leftOuter,CI_ACCT_1,CI_ACCT_MGMT_GR_L,CI_ACCT_1.ACCT_MGMT_GRP_CD == CI_ACCT_MGMT_GR_L.ACCT_MGMT_GRP_CD and CI_ACCT_MGMT_GR_L.LANGUAGE_CD == 'ENG'
JoinTree_3,16,inner,CI_ACCT_1,CI_CUST_CL_L,CI_ACCT_1.CUST_CL_CD == CI_CUST_CL_L.CUST_CL_CD and CI_CUST_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_3,17,inner,CI_ACCT_1,CI_COLL_CL_L_1,CI_ACCT_1.COLL_CL_CD == CI_COLL_CL_L_1.COLL_CL_CD and CI_COLL_CL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_3,18,leftOuter,CI_ACCT_1,CI_BUD_PLAN_L,CI_ACCT_1.BUD_PLAN_CD == CI_BUD_PLAN_L.BUD_PLAN_CD and CI_BUD_PLAN_L.LANGUAGE_CD == 'ENG'

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
1.) Collection Process,Account ID,JoinTree_3.CI_COLL_PROC,ACCT_ID,,
1.) Collection Process,Arrears Amount,JoinTree_3.CI_COLL_PROC,ARS_AMT,,
1.) Collection Process,Arrears Date,JoinTree_3.CI_COLL_PROC,COLL_ARS_DT,,
1.) Collection Process,Collection Condition Priority,JoinTree_3.CI_COLL_PROC,COLL_CAT_PRIO_FLG,,
1.) Collection Process,Collection Class Control,JoinTree_3.CI_COLL_PROC,COLL_CL_CNTL_CD,,
1.) Collection Process,Collection Process ID,JoinTree_3.CI_COLL_PROC,COLL_PROC_ID,,
1.) Collection Process,Collection Process Template,JoinTree_3.CI_COLL_PROC,COLL_PROC_TMPL_CD,,
1.) Collection Process,Collection Status Reason,JoinTree_3.CI_COLL_PROC,COLL_STAT_RSN_FLG,,
1.) Collection Process,Collection Status,JoinTree_3.CI_COLL_PROC,COLL_STATUS_FLG,,
1.) Collection Process,Comments,JoinTree_3.CI_COLL_PROC,COMMENTS,,
1.) Collection Process,Create Date/Time,JoinTree_3.CI_COLL_PROC,CRE_DTTM,,
1.) Collection Process,Priority,JoinTree_3.CI_COLL_PROC,CRIT_PRIO_FLG,,
