section,domain_name,SA_Snapshot___Aged_Balance___Domain
section,workstream,Debt Management

PHYSICAL_TABLES
domain_table_alias,physical_table
CMS_SA_SNAPSHOT,CMS_SA_SNAPSHOT
CI_SA,CI_SA
CI_SA_TYPE_L,CI_SA_TYPE_L
CI_PER_NAME,CI_PER_NAME
CI_PER_NAME_1,CI_PER_NAME
CI_PREM,CI_PREM
CI_ACCT,CI_ACCT
CI_ACCT_1,CI_ACCT
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_BILL_CYC_L_1,CI_BILL_CYC_L
CI_ACCT_MGMT_GR_L,CI_ACCT_MGMT_GR_L
CI_ACCT_MGMT_GR_L_1,CI_ACCT_MGMT_GR_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_COLL_CL_L_1,CI_COLL_CL_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_CUST_CL_L_1,CI_CUST_CL_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
CI_BUD_PLAN_L_1,CI_BUD_PLAN_L
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_PREM_TYPE_L,CI_PREM_TYPE_L
CI_MR_INSTR_L,CI_MR_INSTR_L
CI_MR_WARN_L,CI_MR_WARN_L
CI_TREND_AREA_L,CI_TREND_AREA_L
CI_STATE_L,CI_STATE_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
JoinTree_1,CMS_SA_SNAPSHOT

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CMS_SA_SNAPSHOT,CI_SA,CMS_SA_SNAPSHOT.SA_ID == CI_SA.SA_ID
JoinTree_1,2,inner,CI_SA,CI_ACCT,CI_SA.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,3,inner,CMS_SA_SNAPSHOT,CI_PER_NAME,CMS_SA_SNAPSHOT.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,4,leftOuter,CI_ACCT,CI_BILL_CYC_L,CI_ACCT.BILL_CYC_CD == CI_BILL_CYC_L.BILL_CYC_CD and CI_BILL_CYC_L.LANGUAGE_CD == 'ENG'
JoinTree_1,5,leftOuter,CI_ACCT,CI_ACCT_MGMT_GR_L,CI_ACCT.ACCT_MGMT_GRP_CD == CI_ACCT_MGMT_GR_L.ACCT_MGMT_GRP_CD and CI_ACCT_MGMT_GR_L.LANGUAGE_CD == 'ENG'
JoinTree_1,6,inner,CI_ACCT,CI_COLL_CL_L,CI_ACCT.COLL_CL_CD == CI_COLL_CL_L.COLL_CL_CD and CI_COLL_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,inner,CI_ACCT,CI_CUST_CL_L,CI_ACCT.CUST_CL_CD == CI_CUST_CL_L.CUST_CL_CD and CI_CUST_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,leftOuter,CI_ACCT,CI_BUD_PLAN_L,CI_ACCT.BUD_PLAN_CD == CI_BUD_PLAN_L.BUD_PLAN_CD and CI_BUD_PLAN_L.LANGUAGE_CD == 'ENG'
JoinTree_1,9,inner,CI_SA,CI_SA_TYPE_L,CI_SA.SA_TYPE_CD == CI_SA_TYPE_L.SA_TYPE_CD and CI_SA_TYPE_L.LANGUAGE_CD == 'ENG' and CI_SA.CIS_DIVISION == CI_SA_TYPE_L.CIS_DIVISION
JoinTree_1,10,inner,CI_SA,CI_LOOKUP_VAL_L,CI_SA.SA_STATUS_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'SA_STATUS_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
