section,domain_name,Severance_Process___Domain
section,workstream,Debt Management

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_5,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_6,CI_LOOKUP_VAL_L
CI_SA,CI_SA
CI_SEV_PROC,CI_SEV_PROC
CI_SEV_EVT,CI_SEV_EVT
CI_SEV_EVT_TYPE_L,CI_SEV_EVT_TYPE_L
CI_SEV_PROC_TMP_L,CI_SEV_PROC_TMP_L
CI_PREM,CI_PREM
CI_PER_NAME,CI_PER_NAME
CI_ACCT,CI_ACCT
CI_ACCT_PER,CI_ACCT_PER
CI_SA_TYPE_L,CI_SA_TYPE_L
CI_ACCT_MGMT_GR_L,CI_ACCT_MGMT_GR_L
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
CI_PREM_TYPE_L,CI_PREM_TYPE_L
CI_MR_WARN_L,CI_MR_WARN_L
CI_MR_INSTR_L,CI_MR_INSTR_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
JoinTree_1,CI_SEV_PROC

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_SEV_PROC,CI_SA,CI_SEV_PROC.SA_ID == CI_SA.SA_ID
JoinTree_1,2,inner,CI_SEV_PROC,CI_SEV_EVT,CI_SEV_PROC.SEV_PROC_ID == CI_SEV_EVT.SEV_PROC_ID
JoinTree_1,3,inner,CI_SA,CI_ACCT,CI_SA.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,4,inner,CI_ACCT,CI_ACCT_PER,CI_ACCT.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
JoinTree_1,5,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,6,leftOuter,CI_SEV_EVT,CMS_IS_NEXT_SEV_EVT,CI_SEV_EVT.SEV_PROC_ID == CMS_IS_NEXT_SEV_EVT.SEV_PROC_ID and CI_SEV_EVT.EVT_SEQ == CMS_IS_NEXT_SEV_EVT.EVT_SEQ
JoinTree_1,7,inner,CI_SEV_PROC,CI_LOOKUP_VAL_L,CI_SEV_PROC.SEV_STATUS_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'SEV_STATUS_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,inner,CI_SEV_PROC,CI_LOOKUP_VAL_L_1,CI_SEV_PROC.SEV_STAT_RSN_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'SEV_STAT_RSN_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,9,leftOuter,CI_SEV_PROC,CI_LOOKUP_VAL_L_2,CI_SEV_PROC.CRIT_PRIO_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'CRIT_PRIO_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
JoinTree_1,10,inner,CI_SEV_PROC,CI_SEV_PROC_TMP_L,CI_SEV_PROC.SEV_PROC_TMPL_CD == CI_SEV_PROC_TMP_L.SEV_PROC_TMPL_CD and CI_SEV_PROC_TMP_L.LANGUAGE_CD == 'ENG'
JoinTree_1,11,inner,CI_SEV_EVT,CI_LOOKUP_VAL_L_3,CI_SEV_EVT.SEV_EVT_STAT_FLG == CI_LOOKUP_VAL_L_3.FIELD_VALUE and CI_LOOKUP_VAL_L_3.FIELD_NAME == 'SEV_EVT_STAT_FLG' and CI_LOOKUP_VAL_L_3.LANGUAGE_CD == 'ENG'
JoinTree_1,12,inner,CI_SEV_EVT,CI_SEV_EVT_TYPE_L,CI_SEV_EVT.SEV_EVT_TYPE_CD == CI_SEV_EVT_TYPE_L.SEV_EVT_TYPE_CD and CI_SEV_EVT_TYPE_L.LANGUAGE_CD == 'ENG'
