section,domain_name,Write_Off_Process___Domain
section,workstream,Debt Management

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_WO_CNTL_L,CI_WO_CNTL_L
CI_WO_PROC_TMPL_L,CI_WO_PROC_TMPL_L
CI_WO_EVT,CI_WO_EVT
CI_WO_EVT_TYP_L,CI_WO_EVT_TYP_L
CI_WO_PROC,CI_WO_PROC
CI_WO_PROC_SA,CI_WO_PROC_SA
CI_WO_DEBT_CL_L,CI_WO_DEBT_CL_L
CI_ACCT,CI_ACCT
CI_ACCT_PER,CI_ACCT_PER
CI_PER_NAME,CI_PER_NAME
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_ACCT_MGMT_GR_L,CI_ACCT_MGMT_GR_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
JoinTree_1,CI_WO_PROC

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_WO_PROC,CI_WO_EVT,CI_WO_PROC.WO_PROC_ID == CI_WO_EVT.WO_PROC_ID
JoinTree_1,2,inner,CI_WO_PROC,CI_ACCT,CI_WO_PROC.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,3,inner,CI_ACCT,CI_ACCT_PER,CI_ACCT.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
JoinTree_1,4,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,5,inner,CI_WO_PROC,CI_WO_PROC_TMPL_L,CI_WO_PROC.WO_PROC_TMPL_CD == CI_WO_PROC_TMPL_L.WO_PROC_TMPL_CD and CI_WO_PROC_TMPL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,6,inner,CI_WO_PROC,CI_LOOKUP_VAL_L,CI_WO_PROC.WO_STATUS_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'WO_STATUS_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,inner,CI_WO_PROC,CI_WO_CNTL_L,CI_WO_PROC.WO_CNTL_CD == CI_WO_CNTL_L.WO_CNTL_CD and CI_WO_CNTL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,inner,CI_WO_PROC,CI_LOOKUP_VAL_L_1,CI_WO_PROC.WO_STAT_RSN_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'WO_STAT_RSN_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,9,leftOuter,CI_WO_PROC,CI_LOOKUP_VAL_L_2,CI_WO_PROC.CRIT_PRIO_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'CRIT_PRIO_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
JoinTree_1,10,inner,CI_WO_EVT,CI_LOOKUP_VAL_L_3,CI_WO_EVT.WO_EVT_STAT_FLG == CI_LOOKUP_VAL_L_3.FIELD_VALUE and CI_LOOKUP_VAL_L_3.FIELD_NAME == 'WO_EVT_STAT_FLG' and CI_LOOKUP_VAL_L_3.LANGUAGE_CD == 'ENG'
