section,domain_name,Write_Offs___Domain
section,workstream,Debt Management

PHYSICAL_TABLES
domain_table_alias,physical_table
C1_BI_WOPROC_VW,C1_BI_WOPROC_VW
CI_PER_NAME,CI_PER_NAME
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_WO_CNTL_L,CI_WO_CNTL_L
CI_WO_PROC_TMPL_L,CI_WO_PROC_TMPL_L
CI_WO_EVT_TYP_L,CI_WO_EVT_TYP_L
CI_WO_EVT_TYP_L_1,CI_WO_EVT_TYP_L
JoinTree_1,C1_BI_WOPROC_VW

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,leftOuter,C1_BI_WOPROC_VW,CI_PER_NAME,C1_BI_WOPROC_VW.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,2,leftOuter,C1_BI_WOPROC_VW,CI_LOOKUP_VAL_L,C1_BI_WOPROC_VW.WO_STATUS_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'WO_STATUS_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,3,leftOuter,C1_BI_WOPROC_VW,CI_LOOKUP_VAL_L_1,C1_BI_WOPROC_VW.UNCOLL_PROC_STAT_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'UNCOLL_PROC_STAT_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,4,leftOuter,C1_BI_WOPROC_VW,CI_LOOKUP_VAL_L_2,C1_BI_WOPROC_VW.WO_STAT_RSN_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'WO_STAT_RSN_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
JoinTree_1,5,leftOuter,C1_BI_WOPROC_VW,CI_WO_CNTL_L,C1_BI_WOPROC_VW.WO_CNTL_CD == CI_WO_CNTL_L.WO_CNTL_CD and CI_WO_CNTL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,6,leftOuter,C1_BI_WOPROC_VW,CI_WO_PROC_TMPL_L,C1_BI_WOPROC_VW.WO_PROC_TMPL_CD == CI_WO_PROC_TMPL_L.WO_PROC_TMPL_CD and CI_WO_PROC_TMPL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,leftOuter,C1_BI_WOPROC_VW,CI_WO_EVT_TYP_L,C1_BI_WOPROC_VW.EFF_WO_EVT_TYP_CD == CI_WO_EVT_TYP_L.WO_EVT_TYP_CD and CI_WO_EVT_TYP_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,leftOuter,C1_BI_WOPROC_VW,CI_WO_EVT_TYP_L_1,C1_BI_WOPROC_VW.NEXT_WO_EVT_TYP_CD == CI_WO_EVT_TYP_L_1.WO_EVT_TYP_CD and CI_WO_EVT_TYP_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,9,leftOuter,C1_BI_WOPROC_VW,WO_PAY_AGG,C1_BI_WOPROC_VW.UNCOLL_PROC_ID == WO_PAY_AGG.UNCOLL_PROC_ID

