section,domain_name,Crew___Domain
section,workstream,Field Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
C1_REPRESENTATIVE,C1_REPRESENTATIVE
D1_ACTIVITY_CHAR,D1_ACTIVITY_CHAR
D1_ACTIVITY,D1_ACTIVITY
CMS_D1_ACTIVITY_CHAR_VW,CMS_D1_ACTIVITY_CHAR_VW
C1_REPRESENTATIVE_L,C1_REPRESENTATIVE_L
F1_BUS_OBJ_L,F1_BUS_OBJ_L
F1_BUS_OBJ_L_1,F1_BUS_OBJ_L
F1_BUS_OBJ_STATUS_L,F1_BUS_OBJ_STATUS_L
F1_BUS_OBJ_STATUS_L_1,F1_BUS_OBJ_STATUS_L
F1_BUS_OBJ_STATUS_RSN_L,F1_BUS_OBJ_STATUS_RSN_L
F1_BUS_OBJ_STATUS_RSN_L_1,F1_BUS_OBJ_STATUS_RSN_L
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
SC_USER,SC_USER
SC_USER_1,SC_USER
CI_NT_XID_L,CI_NT_XID_L
D1_ACTIVITY_TYPE_L,D1_ACTIVITY_TYPE_L
F1_EXT_LOOKUP_VAL_L,F1_EXT_LOOKUP_VAL_L
F1_EXT_LOOKUP_VAL_L_1,F1_EXT_LOOKUP_VAL_L
F1_EXT_LOOKUP_VAL_L_2,F1_EXT_LOOKUP_VAL_L
D1_ACTIVITY_TYPE,D1_ACTIVITY_TYPE
CMS_D1_ACTIVITY_D1FA_BODA_VW,CMS_D1_ACTIVITY_D1FA_BODA_VW
CMS_C1_REPRESENTATIVE_BODA_VW,CMS_C1_REPRESENTATIVE_BODA_VW
JoinTree_1,C1_REPRESENTATIVE

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,leftOuter,C1_REPRESENTATIVE,D1_ACTIVITY_CHAR,C1_REPRESENTATIVE.C1_REPRESENTATIVE_CD == D1_ACTIVITY_CHAR.SRCH_CHAR_VAL and D1_ACTIVITY_CHAR.CHAR_TYPE_CD == 'CMFAREP'
JoinTree_1,2,inner,D1_ACTIVITY_CHAR,D1_ACTIVITY,D1_ACTIVITY_CHAR.D1_ACTIVITY_ID == D1_ACTIVITY.D1_ACTIVITY_ID
JoinTree_1,3,inner,D1_ACTIVITY,D1_ACTIVITY_TYPE,D1_ACTIVITY.ACTIVITY_TYPE_CD == D1_ACTIVITY_TYPE.ACTIVITY_TYPE_CD and D1_ACTIVITY_TYPE.ACTIVITY_TYPE_CAT_FLG == 'D1FA'
JoinTree_1,4,inner,C1_REPRESENTATIVE,CMS_C1_REPRESENTATIVE_BODA_VW,C1_REPRESENTATIVE.C1_REPRESENTATIVE_CD == CMS_C1_REPRESENTATIVE_BODA_VW.C1_REPRESENTATIVE_CD
JoinTree_1,5,inner,D1_ACTIVITY,CMS_COMPLETED_ACTIVITY_ID,D1_ACTIVITY.D1_ACTIVITY_ID == CMS_COMPLETED_ACTIVITY_ID.D1_ACTIVITY_ID
JoinTree_1,6,inner,D1_ACTIVITY,CMS_D1_ACTIVITY_D1FA_BODA_VW,D1_ACTIVITY.D1_ACTIVITY_ID == CMS_D1_ACTIVITY_D1FA_BODA_VW.D1_ACTIVITY_ID
JoinTree_1,7,leftOuter,D1_ACTIVITY,CMS_D1_ACTIVITY_CHAR_VW,D1_ACTIVITY.D1_ACTIVITY_ID == CMS_D1_ACTIVITY_CHAR_VW.D1_ACTIVITY_ID
JoinTree_1,8,inner,C1_REPRESENTATIVE,C1_REPRESENTATIVE_L,C1_REPRESENTATIVE.C1_REPRESENTATIVE_CD == C1_REPRESENTATIVE_L.C1_REPRESENTATIVE_CD and C1_REPRESENTATIVE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,9,inner,C1_REPRESENTATIVE,F1_BUS_OBJ_L,C1_REPRESENTATIVE.BUS_OBJ_CD == F1_BUS_OBJ_L.BUS_OBJ_CD and F1_BUS_OBJ_L.LANGUAGE_CD == 'ENG'
JoinTree_1,10,leftOuter,C1_REPRESENTATIVE,F1_BUS_OBJ_STATUS_L,C1_REPRESENTATIVE.BUS_OBJ_CD == F1_BUS_OBJ_STATUS_L.BUS_OBJ_CD and C1_REPRESENTATIVE.BO_STATUS_CD == F1_BUS_OBJ_STATUS_L.BO_STATUS_CD and F1_BUS_OBJ_STATUS_L.LANGUAGE_CD == 'ENG'
JoinTree_1,11,leftOuter,C1_REPRESENTATIVE,F1_BUS_OBJ_STATUS_RSN_L,C1_REPRESENTATIVE.BO_STATUS_REASON_CD == F1_BUS_OBJ_STATUS_RSN_L.BO_STATUS_REASON_CD and F1_BUS_OBJ_STATUS_RSN_L.LANGUAGE_CD == 'ENG'
JoinTree_1,12,leftOuter,C1_REPRESENTATIVE,CI_LOOKUP_VAL_L,C1_REPRESENTATIVE.C1_REPRESENTATIVE_TYPE_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'C1_REPRESENTATIVE_TYPE_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,13,leftOuter,C1_REPRESENTATIVE,SC_USER,C1_REPRESENTATIVE.USER_ID == SC_USER.USER_ID
JoinTree_1,14,inner,C1_REPRESENTATIVE,CI_NT_XID_L,C1_REPRESENTATIVE.NT_XID_CD == CI_NT_XID_L.NT_XID_CD
JoinTree_1,15,inner,D1_ACTIVITY,F1_BUS_OBJ_L_1,D1_ACTIVITY.BUS_OBJ_CD == F1_BUS_OBJ_L_1.BUS_OBJ_CD and F1_BUS_OBJ_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,16,inner,D1_ACTIVITY,F1_BUS_OBJ_STATUS_L_1,D1_ACTIVITY.BUS_OBJ_CD == F1_BUS_OBJ_STATUS_L_1.BUS_OBJ_CD and D1_ACTIVITY.BO_STATUS_CD == F1_BUS_OBJ_STATUS_L_1.BO_STATUS_CD and F1_BUS_OBJ_STATUS_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,17,leftOuter,D1_ACTIVITY,F1_BUS_OBJ_STATUS_RSN_L_1,D1_ACTIVITY.BO_STATUS_REASON_CD == F1_BUS_OBJ_STATUS_RSN_L_1.BO_STATUS_REASON_CD and F1_BUS_OBJ_STATUS_RSN_L_1.LANGUAGE_CD == 'ENG'
