section,domain_name,Financial_Transaction___Domain
section,workstream,Finance

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_FT,CI_FT
CI_SA,CI_SA
CI_ACCT_PER,CI_ACCT_PER
CI_PER_NAME,CI_PER_NAME
CI_SA_TYPE_L,CI_SA_TYPE_L
CI_PREM,CI_PREM
CI_BSEG,CI_BSEG
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_5,CI_LOOKUP_VAL_L
CI_GL_DIVISION_L,CI_GL_DIVISION_L
SC_USER,SC_USER
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_BILL_CYC_L_1,CI_BILL_CYC_L
CI_BILL_CAN_RSN_L,CI_BILL_CAN_RSN_L
CI_PAY_SEG,CI_PAY_SEG
CI_ADJ,CI_ADJ
CI_PREM_TYPE_L,CI_PREM_TYPE_L
CI_MR_INSTR_L,CI_MR_INSTR_L
CI_MR_WARN_L,CI_MR_WARN_L
CI_TREND_AREA_L,CI_TREND_AREA_L
CI_STATE_L,CI_STATE_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
CI_ACCT,CI_ACCT
CI_ACCT_MGMT_GR_L,CI_ACCT_MGMT_GR_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
CI_ADJ_TYPE_L,CI_ADJ_TYPE_L
CI_ADJ_CAN_RSN_L,CI_ADJ_CAN_RSN_L
CI_BAL_CTL_GRP,CI_BAL_CTL_GRP
JoinTree_1,CI_FT

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_FT,CI_BSEG,"CI_FT.SIBLING_ID == CI_BSEG.BSEG_ID and CI_FT.BILL_ID == CI_BSEG.BILL_ID and CI_FT.REDUNDANT_SW == 'N' and CI_FT.FT_TYPE_FLG in ('BS', 'BX')"
JoinTree_1,2,inner,CI_FT,CI_PAY_SEG,"CI_FT.SIBLING_ID == CI_PAY_SEG.PAY_SEG_ID and CI_FT.PARENT_ID == CI_PAY_SEG.PAY_ID and CI_FT.REDUNDANT_SW == 'N' and CI_FT.FT_TYPE_FLG in ('PS', 'PX')"
JoinTree_1,3,inner,CI_FT,CI_ADJ,"CI_FT.SIBLING_ID == CI_ADJ.ADJ_ID and CI_FT.PARENT_ID == CI_ADJ.ADJ_TYPE_CD and CI_FT.REDUNDANT_SW == 'N' and CI_FT.FT_TYPE_FLG in ('AD', 'AX')"
JoinTree_1,4,inner,CI_FT,CI_SA,CI_FT.SA_ID == CI_SA.SA_ID and CI_FT.REDUNDANT_SW == 'N'
JoinTree_1,5,inner,CI_SA,CI_ACCT,CI_SA.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,6,inner,CI_ACCT,CI_ACCT_PER,CI_ACCT.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
JoinTree_1,7,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
JoinTree_1,8,inner,CI_SA,CI_SA_TYPE_L,CI_SA.CIS_DIVISION == CI_SA_TYPE_L.CIS_DIVISION and CI_SA.SA_TYPE_CD == CI_SA_TYPE_L.SA_TYPE_CD and CI_SA_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,9,leftOuter,CI_SA,CI_PREM,CI_SA.CHAR_PREM_ID == CI_PREM.PREM_ID
JoinTree_1,10,inner,CI_FT,CI_GL_DIVISION_L,CI_FT.GL_DIVISION == CI_GL_DIVISION_L.GL_DIVISION and CI_FT.REDUNDANT_SW == 'N' and CI_GL_DIVISION_L.LANGUAGE_CD == 'ENG'
