section,domain_name,Financial_Transaction_Snapshot___Domain
section,workstream,Finance

PHYSICAL_TABLES
domain_table_alias,physical_table
FT_RPT_CURR,FT_RPT_CURR

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
FT_RPT_CURR,1,single_table,FT_RPT_CURR,,Single-table domain on FT_RPT_CURR

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
Financial Transaction Core,Financial Transaction ID,FT_RPT_CURR,FT_ID,,
Financial Transaction Core,Financial Transaction Type,FT_RPT_CURR,FT_TYPE_FLG_DESC,,
Financial Transaction Core,Financial Transaction Type Code,FT_RPT_CURR,FT_TYPE_FLG,,
Financial Transaction Core,Current Amount,FT_RPT_CURR,CUR_AMT,,
Financial Transaction Core,Payoff Amount,FT_RPT_CURR,TOT_AMT,,
Financial Transaction Core,Currency Code,FT_RPT_CURR,CURRENCY_CD,,
Financial Transaction Core,Accounting Date,FT_RPT_CURR,ACCOUNTING_DT,,
Financial Transaction Core,Created Date Time,FT_RPT_CURR,CRE_DTTM,,
Financial Transaction Core,Freeze Date Time,FT_RPT_CURR,FREEZE_DTTM,,
Financial Transaction Core,Freeze User Name,FT_RPT_CURR,FREEZE_USER_NAME,,
Financial Transaction Core,Freeze User ID,FT_RPT_CURR,FREEZE_USER_ID,,
Financial Transaction Core,GL Distribution Status,FT_RPT_CURR,GL_DISTRIB_STATUS_DESC,,
Financial Transaction Core,GL Distribution Status Code,FT_RPT_CURR,GL_DISTRIB_STATUS,,
Financial Transaction Core,Bill ID,FT_RPT_CURR,BILL_ID,,
Financial Transaction Core,Parent ID,FT_RPT_CURR,PARENT_ID,,
Financial Transaction Core,Sibling ID,FT_RPT_CURR,SIBLING_ID,,
Financial Transaction Core,Snapshot Load Date Time,FT_RPT_CURR,LOAD_DTTM,,
Service Agreement And Account,Account ID,FT_RPT_CURR,ACCT_ID,,
Service Agreement And Account,Service Agreement ID,FT_RPT_CURR,SA_ID,,
Service Agreement And Account,Service Agreement Status,FT_RPT_CURR,SA_STATUS_DESC,,
Service Agreement And Account,Service Agreement Status Code,FT_RPT_CURR,SA_STATUS_FLG,,
Service Agreement And Account,Service Type,FT_RPT_CURR,SA_TYPE_DESC,,
Service Agreement And Account,Service Type Code,FT_RPT_CURR,SA_TYPE_CD,,
Service Agreement And Account,Customer Class,FT_RPT_CURR,CUST_CL_DESC,,
Service Agreement And Account,Customer Class Code,FT_RPT_CURR,CUST_CL_CD,,
Service Agreement And Account,Collection Class,FT_RPT_CURR,COLL_CL_DESC,,
Service Agreement And Account,Collection Class Code,FT_RPT_CURR,COLL_CL_CD,,
Service Agreement And Account,Bill Cycle,FT_RPT_CURR,BILL_CYC_DESC,,
Service Agreement And Account,Bill Cycle Code,FT_RPT_CURR,BILL_CYC_CD,,
Service Agreement And Account,Account Management Group,FT_RPT_CURR,ACCT_MGMT_GRP_DESC,,
Service Agreement And Account,Account Management Group Code,FT_RPT_CURR,ACCT_MGMT_GRP_CD,,
Bill Segment,Bill Segment ID,FT_RPT_CURR,BSEG_ID,,
Bill Segment,Bill Segment Status,FT_RPT_CURR,BSEG_STAT_DESC,,
Bill Segment,Bill Segment Status Code,FT_RPT_CURR,BSEG_STAT_FLG,,
Bill Segment,Bill Segment Start Date,FT_RPT_CURR,START_DT,,
Bill Segment,Bill Segment End Date,FT_RPT_CURR,END_DT,,
Adjustment Details,Adjustment ID,FT_RPT_CURR,ADJ_ID,,
Adjustment Details,Adjustment Type,FT_RPT_CURR,ADJ_TYPE_DESC,,
Adjustment Details,Adjustment Type Code,FT_RPT_CURR,ADJ_TYPE_CD,,
Adjustment Details,Adjustment Status,FT_RPT_CURR,ADJ_STATUS_DESC,,
Adjustment Details,Adjustment Status Code,FT_RPT_CURR,ADJ_STATUS_FLG,,
Adjustment Details,Adjustment Amount,FT_RPT_CURR,ADJ_AMT,,
Payment Segment Details,Payment Segment ID,FT_RPT_CURR,PAY_SEG_ID,,
Payment Segment Details,Payment ID,FT_RPT_CURR,PAY_ID,,
Payment Segment Details,Payment Segment Amount,FT_RPT_CURR,PAY_SEG_AMT,,
