section,domain_name,FT_and_GL_Snapshot___Domain
section,workstream,Finance

PHYSICAL_TABLES
domain_table_alias,physical_table
FT_GL_DISTRIBUTION_RPT_CURR,FT_GL_DISTRIBUTION_RPT_CURR

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
FT_GL_DISTRIBUTION_RPT_CURR,1,single_table,FT_GL_DISTRIBUTION_RPT_CURR,,Single-table domain on FT_GL_DISTRIBUTION_RPT_CURR

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
GL Line,Financial Transaction ID,FT_GL_DISTRIBUTION_RPT_CURR,FT_ID,,
GL Line,GL Sequence Number,FT_GL_DISTRIBUTION_RPT_CURR,GL_SEQ_NBR,,
GL Line,GL Account,FT_GL_DISTRIBUTION_RPT_CURR,GL_ACCT,,
GL Line,Distribution Code,FT_GL_DISTRIBUTION_RPT_CURR,DST_DESC,,
GL Line,Distribution Code ID,FT_GL_DISTRIBUTION_RPT_CURR,DST_ID,,
GL Line,GL Amount,FT_GL_DISTRIBUTION_RPT_CURR,GL_AMOUNT,,
GL Line,Statistic Amount,FT_GL_DISTRIBUTION_RPT_CURR,STATISTIC_AMOUNT,,
GL Line,Total Amount Switch,FT_GL_DISTRIBUTION_RPT_CURR,TOT_AMT_SW,,
GL Line,Characteristic Type Code,FT_GL_DISTRIBUTION_RPT_CURR,CHAR_TYPE_CD,,
GL Line,Characteristic Value,FT_GL_DISTRIBUTION_RPT_CURR,CHAR_VAL,,
Financial Transaction,Financial Transaction Type,FT_GL_DISTRIBUTION_RPT_CURR,FT_TYPE_FLG_DESC,,
Financial Transaction,Financial Transaction Type Code,FT_GL_DISTRIBUTION_RPT_CURR,FT_TYPE_FLG,,
Financial Transaction,Accounting Date,FT_GL_DISTRIBUTION_RPT_CURR,ACCOUNTING_DT,,
Financial Transaction,Arrears Date,FT_GL_DISTRIBUTION_RPT_CURR,ARS_DT,,
Financial Transaction,Created Date Time,FT_GL_DISTRIBUTION_RPT_CURR,FT_CRE_DTTM,,
Financial Transaction,Current Amount,FT_GL_DISTRIBUTION_RPT_CURR,CUR_AMT,,
Financial Transaction,Payoff Amount,FT_GL_DISTRIBUTION_RPT_CURR,TOT_AMT,,
Financial Transaction,Currency Code,FT_GL_DISTRIBUTION_RPT_CURR,CURRENCY_CD,,
Financial Transaction,Bill ID,FT_GL_DISTRIBUTION_RPT_CURR,BILL_ID,,
Financial Transaction,Parent ID,FT_GL_DISTRIBUTION_RPT_CURR,PARENT_ID,,
Financial Transaction,Sibling ID,FT_GL_DISTRIBUTION_RPT_CURR,SIBLING_ID,,
Financial Transaction,GL Distribution Status,FT_GL_DISTRIBUTION_RPT_CURR,GL_DISTRIB_STATUS_DESC,,
Financial Transaction,GL Distribution Status Code,FT_GL_DISTRIBUTION_RPT_CURR,GL_DISTRIB_STATUS,,
