section,domain_name,Asset___Domain
section,workstream,Meter Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
W1_ASSET,W1_ASSET
W1_ASSET_CHAR,W1_ASSET_CHAR
W1_ASSET_IDENTIFIER,W1_ASSET_IDENTIFIER
W1_ASSET_NODE,W1_ASSET_NODE
W1_NODE,W1_NODE
W1_NODE_1,W1_NODE
W1_ASSET_TYPE_L,W1_ASSET_TYPE_L
F1_BUS_OBJ_L,F1_BUS_OBJ_L
F1_BUS_OBJ_L_1,F1_BUS_OBJ_L
F1_BUS_OBJ_STATUS_L,F1_BUS_OBJ_STATUS_L
F1_BUS_OBJ_STATUS_RSN_L,F1_BUS_OBJ_STATUS_RSN_L
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_5,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_6,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_7,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_8,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_9,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_10,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_11,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_12,CI_LOOKUP_VAL_L
W1_SPECIFICATION_L,W1_SPECIFICATION_L
W1_SPECIFICATION_L_1,W1_SPECIFICATION_L
CI_ACC_GRP_L,CI_ACC_GRP_L
CI_ACC_GRP_L_1,CI_ACC_GRP_L
CI_STATE_L,CI_STATE_L
CI_TIME_ZONE_L,CI_TIME_ZONE_L
W1_SERVICE_AREA_L,W1_SERVICE_AREA_L
W1_APPROVAL_PROF_L,W1_APPROVAL_PROF_L
W1_COST_CENTER_L,W1_COST_CENTER_L
W1_COST_CENTER_L_1,W1_COST_CENTER_L
W1_COST_CENTER_L_2,W1_COST_CENTER_L
W1_COST_CENTER_L_3,W1_COST_CENTER_L
W1_COST_CENTER_L_4,W1_COST_CENTER_L
W1_COST_CENTER_L_5,W1_COST_CENTER_L
W1_EXPENSE_CD_L,W1_EXPENSE_CD_L
W1_EXPENSE_CD_L_1,W1_EXPENSE_CD_L
W1_EXPENSE_CD_L_2,W1_EXPENSE_CD_L
W1_EXPENSE_CD_L_3,W1_EXPENSE_CD_L
W1_BUYER_L,W1_BUYER_L
W1_PLANNER_L,W1_PLANNER_L
W1_MAINTMGR_L,W1_MAINTMGR_L
CMS_W1_ASSET_IDENTIFIER_VW,CMS_W1_ASSET_IDENTIFIER_VW
F1_EXT_LOOKUP_VAL_L,F1_EXT_LOOKUP_VAL_L
F1_EXT_LOOKUP_VAL_L_1,F1_EXT_LOOKUP_VAL_L
W1_NODE_TYPE_L,W1_NODE_TYPE_L
W1_BOM_PART,W1_BOM_PART
W1_VENDOR_LOC,W1_VENDOR_LOC
W1_PROPERTY_UNIT_L,W1_PROPERTY_UNIT_L
JoinTree_1,W1_ASSET

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,W1_ASSET,W1_ASSET_NODE,W1_ASSET.ASSET_ID == W1_ASSET_NODE.ASSET_ID
JoinTree_1,2,inner,W1_ASSET,CMS_W1_ASSET_IDENTIFIER_VW,W1_ASSET.ASSET_ID == CMS_W1_ASSET_IDENTIFIER_VW.ASSET_ID
JoinTree_1,3,inner,W1_ASSET_NODE,W1_NODE,W1_ASSET_NODE.NODE_ID == W1_NODE.NODE_ID
JoinTree_1,4,inner,W1_ASSET,W1_ASSET_TYPE_L,W1_ASSET.ASSET_TYPE_CD == W1_ASSET_TYPE_L.ASSET_TYPE_CD and W1_ASSET_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,5,inner,W1_ASSET,F1_BUS_OBJ_L,W1_ASSET.BUS_OBJ_CD == F1_BUS_OBJ_L.BUS_OBJ_CD and F1_BUS_OBJ_L.LANGUAGE_CD == 'ENG'
JoinTree_1,6,leftOuter,W1_ASSET,F1_BUS_OBJ_STATUS_RSN_L,W1_ASSET.BO_STATUS_REASON_CD == F1_BUS_OBJ_STATUS_RSN_L.BO_STATUS_REASON_CD and F1_BUS_OBJ_STATUS_RSN_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,leftOuter,W1_ASSET,CI_LOOKUP_VAL_L,W1_ASSET.ASSET_COND_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'ASSET_COND_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,leftOuter,W1_ASSET,W1_SPECIFICATION_L,W1_ASSET.SPECIFICATION_CD == W1_SPECIFICATION_L.SPECIFICATION_CD and W1_SPECIFICATION_L.LANGUAGE_CD == 'ENG'
JoinTree_1,9,leftOuter,W1_ASSET,CI_ACC_GRP_L,W1_ASSET.OWNING_ACCESS_GRP_CD == CI_ACC_GRP_L.ACCESS_GRP_CD and CI_ACC_GRP_L.LANGUAGE_CD == 'ENG'
JoinTree_1,10,leftOuter,W1_ASSET,W1_SPECIFICATION_L_1,W1_ASSET.MAINT_SPEC_CD == W1_SPECIFICATION_L_1.SPECIFICATION_CD and W1_SPECIFICATION_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,11,leftOuter,W1_ASSET,CI_LOOKUP_VAL_L_1,W1_ASSET.ASSET_OWNERSHIP_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'ASSET_OWNERSHIP_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
JoinTree_1,12,leftOuter,W1_ASSET,CI_LOOKUP_VAL_L_2,W1_ASSET.CONTRIBUTED_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'CONTRIBUTED_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
JoinTree_1,13,leftOuter,W1_ASSET_NODE,CI_LOOKUP_VAL_L_4,W1_ASSET_NODE.FAILURE_FLG == CI_LOOKUP_VAL_L_4.FIELD_VALUE and CI_LOOKUP_VAL_L_4.FIELD_NAME == 'FAILURE_FLG' and CI_LOOKUP_VAL_L_4.LANGUAGE_CD == 'ENG'
