section,domain_name,Measurement_Snapshot___Domain
section,workstream,Meter Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
D1_MSRMT_RPT_CURR,D1_MSRMT_RPT_CURR

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
D1_MSRMT_RPT_CURR,1,single_table,D1_MSRMT_RPT_CURR,,Single-table domain on D1_MSRMT_RPT_CURR

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
Snapshot Audit,Measuring Component ID,D1_MSRMT_RPT_CURR,MEASR_COMP_ID,,
Snapshot Audit,Measurement Date Time,D1_MSRMT_RPT_CURR,MSRMT_DTTM,,
Snapshot Audit,Measurement Local Date Time,D1_MSRMT_RPT_CURR,MSRMT_LOCAL_DTTM,,
Snapshot Audit,Snapshot Load Date Time,D1_MSRMT_RPT_CURR,LOAD_DTTM,,
Measurement Core,Measurement Business Object Code,D1_MSRMT_RPT_CURR,MSRMT_BUS_OBJ_CD,,
Measurement Core,Measurement Business Object,D1_MSRMT_RPT_CURR,MSRMT_BUS_OBJ_DESC,,
Measurement Core,Measurement Status Code,D1_MSRMT_RPT_CURR,MSRMT_BO_STATUS_CD,,
Measurement Core,Measurement Status,D1_MSRMT_RPT_CURR,MSRMT_BO_STATUS_DESC,,
Measurement Core,Measurement Condition Code,D1_MSRMT_RPT_CURR,MSRMT_COND_FLG,,
Measurement Core,Measurement Condition,D1_MSRMT_RPT_CURR,MSRMT_COND_DESC,,
Measurement Core,Measurement Use Code,D1_MSRMT_RPT_CURR,MSRMT_USE_FLG,,
Measurement Core,Measurement Use,D1_MSRMT_RPT_CURR,MSRMT_USE_DESC,,
Measurement Core,User Edited Code,D1_MSRMT_RPT_CURR,USER_EDITED_FLG,,
Measurement Core,User Edited,D1_MSRMT_RPT_CURR,USER_EDITED_DESC,,
Measurement Core,Original Initial Measurement Data ID,D1_MSRMT_RPT_CURR,ORIG_INIT_MSRMT_ID,,
Measurement Core,Previous Measurement Date Time,D1_MSRMT_RPT_CURR,PREV_MSRMT_DTTM,,
Measurement Core,Measurement Created Date Time,D1_MSRMT_RPT_CURR,MSRMT_CRE_DTTM,,
Measurement Core,Measurement Status Updated Date Time,D1_MSRMT_RPT_CURR,MSRMT_STATUS_UPD_DTTM,,
Measurement Core,Measurement Last Updated Date Time,D1_MSRMT_RPT_CURR,MSRMT_LAST_UPDATE_DTTM,,
Measurement Values,Reading Condition Code,D1_MSRMT_RPT_CURR,READING_COND_FLG,,
Measurement Values,Reading Condition,D1_MSRMT_RPT_CURR,READING_COND_DESC,,
Measurement Values,Reading Value,D1_MSRMT_RPT_CURR,READING_VAL,,
Measurement Values,Combined Multiplier,D1_MSRMT_RPT_CURR,COMBINED_MULTIPLIER,,
Measurement Values,Measurement Value,D1_MSRMT_RPT_CURR,MSRMT_VAL,,
Measurement Values,Measurement Value 1,D1_MSRMT_RPT_CURR,MSRMT_VAL1,,
Measurement Values,Measurement Value 2,D1_MSRMT_RPT_CURR,MSRMT_VAL2,,
Measurement Values,Measurement Value 3,D1_MSRMT_RPT_CURR,MSRMT_VAL3,,
Measurement Values,Measurement Value 4,D1_MSRMT_RPT_CURR,MSRMT_VAL4,,
Measurement Values,Measurement Value 5,D1_MSRMT_RPT_CURR,MSRMT_VAL5,,
Measurement Values,Measurement Value 6,D1_MSRMT_RPT_CURR,MSRMT_VAL6,,
Measurement Values,Measurement Value 7,D1_MSRMT_RPT_CURR,MSRMT_VAL7,,
Measurement Values,Measurement Value 8,D1_MSRMT_RPT_CURR,MSRMT_VAL8,,
Measurement Values,Measurement Value 9,D1_MSRMT_RPT_CURR,MSRMT_VAL9,,
Measurement Values,Measurement Value 10,D1_MSRMT_RPT_CURR,MSRMT_VAL10,,
Source IMD,Initial Measurement Data ID,D1_MSRMT_RPT_CURR,INIT_MSRMT_DATA_ID,,
Source IMD,IMD External ID,D1_MSRMT_RPT_CURR,IMD_EXT_ID,,
Source IMD,IMD From Date Time,D1_MSRMT_RPT_CURR,IMD_FROM_DTTM,,
Source IMD,IMD To Date Time,D1_MSRMT_RPT_CURR,IMD_TO_DTTM,,
Source IMD,Data Source Code,D1_MSRMT_RPT_CURR,DATA_SRC_FLG,,
Source IMD,Data Source,D1_MSRMT_RPT_CURR,DATA_SRC_DESC,,
Source IMD,IMD Time Zone Code,D1_MSRMT_RPT_CURR,IMD_TIME_ZONE_CD,,
Source IMD,IMD Time Zone,D1_MSRMT_RPT_CURR,IMD_TIME_ZONE_DESC,,
Source IMD,IMD Business Object Code,D1_MSRMT_RPT_CURR,IMD_BUS_OBJ_CD,,
Source IMD,IMD Business Object,D1_MSRMT_RPT_CURR,IMD_BUS_OBJ_DESC,,
Source IMD,IMD Status Code,D1_MSRMT_RPT_CURR,IMD_BO_STATUS_CD,,
Source IMD,IMD Status,D1_MSRMT_RPT_CURR,IMD_BO_STATUS_DESC,,
Source IMD,IMD Status Reason Code,D1_MSRMT_RPT_CURR,IMD_BO_STATUS_REASON_CD,,
Source IMD,IMD Created Date Time,D1_MSRMT_RPT_CURR,IMD_CRE_DTTM,,
Source IMD,IMD Status Updated Date Time,D1_MSRMT_RPT_CURR,IMD_STATUS_UPD_DTTM,,
Source IMD,IMD Last Updated Date Time,D1_MSRMT_RPT_CURR,IMD_LAST_UPDATE_DTTM,,
Source IMD,Retention Period,D1_MSRMT_RPT_CURR,RETENTION_PERIOD,,
Measuring Component,Device Configuration ID,D1_MSRMT_RPT_CURR,DEVICE_CONFIG_ID,,
Measuring Component,Measuring Component Type Code,D1_MSRMT_RPT_CURR,MEASR_COMP_TYPE_CD,,
Measuring Component,Measuring Component Type,D1_MSRMT_RPT_CURR,MEASR_COMP_TYPE_DESC,,
Measuring Component,Measuring Component Usage Code,D1_MSRMT_RPT_CURR,MEASR_COMP_USAGE_FLG,,
Measuring Component,Measuring Component Usage,D1_MSRMT_RPT_CURR,MEASR_COMP_USAGE_DESC,,
Measuring Component,Measuring Component Business Object Code,D1_MSRMT_RPT_CURR,MC_BUS_OBJ_CD,,
Measuring Component,Measuring Component Business Object,D1_MSRMT_RPT_CURR,MC_BUS_OBJ_DESC,,
Measuring Component,Measuring Component Status Code,D1_MSRMT_RPT_CURR,MC_BO_STATUS_CD,,
Measuring Component,Measuring Component Status,D1_MSRMT_RPT_CURR,MC_BO_STATUS_DESC,,
Measuring Component,Measuring Component Status Reason Code,D1_MSRMT_RPT_CURR,MC_BO_STATUS_REASON_CD,,
Measuring Component,Digits Left Of Decimal,D1_MSRMT_RPT_CURR,D1_NBR_OF_DGTS_LFT,,
Measuring Component,Digits Right Of Decimal,D1_MSRMT_RPT_CURR,D1_NBR_OF_DGTS_RGT,,
Measuring Component,Measuring Component Multiplier,D1_MSRMT_RPT_CURR,MEASR_COMP_MULTIPLIER,,
Measuring Component,Full Scale,D1_MSRMT_RPT_CURR,D1_FULL_SCALE,,
Measuring Component,Read Sequence,D1_MSRMT_RPT_CURR,D1_READ_SEQ,,
Measuring Component,Measuring Component Time Zone Code,D1_MSRMT_RPT_CURR,MC_TIME_ZONE_CD,,
Measuring Component,Measuring Component Time Zone,D1_MSRMT_RPT_CURR,MC_TIME_ZONE_DESC,,
Measuring Component,Latest Measurement Date Time,D1_MSRMT_RPT_CURR,LATEST_MSRMT_DTTM,,
Measuring Component,Most Recent Measurement Date Time,D1_MSRMT_RPT_CURR,MOST_RECENT_MSRMT_DTTM,,
Measuring Component,Most Recent Non Estimated Measurement Date Time,D1_MSRMT_RPT_CURR,MOST_RECENT_NON_EST_MSRMT_DTTM,,
Measuring Component,Adjusted Latest Measurement Date Time,D1_MSRMT_RPT_CURR,ADJ_LATEST_MSRMT_DTTM,,
Measuring Component,Most Recent Reading Value,D1_MSRMT_RPT_CURR,MOST_RECENT_MSRMT_READING_VAL,,
Measuring Component,Most Recent Reading Condition Code,D1_MSRMT_RPT_CURR,MOST_RECENT_MSRMT_READING_COND,,
Measuring Component,Most Recent Reading Condition,D1_MSRMT_RPT_CURR,MOST_RECENT_MSRMT_READING_COND_DESC,,
