section,domain_name,Usage_Transactions_Snapshot___Domain
section,workstream,Meter Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
D1_USAGE_RPT_CURR,D1_USAGE_RPT_CURR

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
D1_USAGE_RPT_CURR,1,single_table,D1_USAGE_RPT_CURR,,Single-table domain on D1_USAGE_RPT_CURR

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
Usage Core,Usage Transaction ID,D1_USAGE_RPT_CURR,D1_USAGE_ID,,
Usage Core,Usage Subscription ID,D1_USAGE_RPT_CURR,US_ID,,
Usage Core,Usage External ID,D1_USAGE_RPT_CURR,USG_EXT_ID,,
Usage Core,Original Usage ID,D1_USAGE_RPT_CURR,ORG_USAGE_ID,,
Usage Core,Usage Business Object Code,D1_USAGE_RPT_CURR,BUS_OBJ_CD,,
Usage Core,Usage Business Object,D1_USAGE_RPT_CURR,BUS_OBJ_DESC,,
Usage Core,Usage Status Code,D1_USAGE_RPT_CURR,BO_STATUS_CD,,
Usage Core,Usage Status,D1_USAGE_RPT_CURR,BO_STATUS_DESC,,
Usage Core,Usage Status Reason Code,D1_USAGE_RPT_CURR,BO_STATUS_REASON_CD,,
Usage Core,Usage Start Date Time,D1_USAGE_RPT_CURR,START_DTTM,,
Usage Core,Usage End Date Time,D1_USAGE_RPT_CURR,END_DTTM,,
Usage Core,Usage Status Updated Date Time,D1_USAGE_RPT_CURR,STATUS_UPD_DTTM,,
Usage Core,Scheduled Selection Date Time,D1_USAGE_RPT_CURR,SCH_SELECTION_DT,,
Usage Core,Usage Calculation Group Code,D1_USAGE_RPT_CURR,USG_GRP_CD,,
Usage Core,Usage Calculation Group,D1_USAGE_RPT_CURR,USG_GRP_DESC,,
Usage Core,Usage Calculation Type Code,D1_USAGE_RPT_CURR,D1_USG_CAL_TYPE_CD,,
Usage Core,Usage Calculation Type,D1_USAGE_RPT_CURR,D1_USG_CAL_TYPE_DESC,,
Usage Core,Usage Source Code,D1_USAGE_RPT_CURR,USG_SRC_FLG,,
Usage Core,Usage Source,D1_USAGE_RPT_CURR,USG_SRC_DESC,,
Usage Core,Service Provider Code,D1_USAGE_RPT_CURR,D1_SPR_CD,,
Usage Core,Service Provider,D1_USAGE_RPT_CURR,D1_SPR_DESC,,
Usage Core,Measurement Cycle Code,D1_USAGE_RPT_CURR,MSRMT_CYC_CD,,
Usage Core,Measurement Cycle,D1_USAGE_RPT_CURR,MSRMT_CYC_DESC,,
Usage Core,Route Code,D1_USAGE_RPT_CURR,MSRMT_CYC_RTE_CD,,
Usage Core,Route,D1_USAGE_RPT_CURR,MSRMT_CYC_RTE_DESC,,
Usage Core,Used On Bill Code,D1_USAGE_RPT_CURR,USED_ON_BILL_FLG,,
Usage Core,Used On Bill,D1_USAGE_RPT_CURR,USED_ON_BILL_DESC,,
Usage Core,Linked To Frozen Bill Segment Code,D1_USAGE_RPT_CURR,LINKED_TO_FRZN_BSEG_FLG,,
Usage Core,Linked To Frozen Bill Segment,D1_USAGE_RPT_CURR,LINKED_TO_FRZN_BSEG_DESC,,
Usage Core,Total Usage Transaction Count,D1_USAGE_RPT_CURR,TOT_USG_TRANS_CNT,,
Usage Core,Relative Order,D1_USAGE_RPT_CURR,REL_ORDER,,
Usage Core,Usage Created Date Time,D1_USAGE_RPT_CURR,USAGE_CRE_DTTM,,
Usage Core,Snapshot Load Date Time,D1_USAGE_RPT_CURR,LOAD_DTTM,,
Usage Subscription,Subscription Status Code,D1_USAGE_RPT_CURR,US_BO_STATUS_CD,,
