section,domain_name,Un_Billed_Usage___Domain
section,workstream,Meter Operations

PHYSICAL_TABLES
domain_table_alias,physical_table

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,leftOuter,MASTER_SOURCE,DeviceInfo,MASTER_SOURCE.SP_ID == DeviceInfo.SP_ID

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
Device Info,Asset ID,JoinTree_1.DeviceInfo,ASSET_ID,,
Device Info,Badge Number,JoinTree_1.DeviceInfo,BADGE_NUMBER,,
Device Info,Meter Install Date,JoinTree_1.DeviceInfo,D1_INSTALL_DTTM,,
Device Info,Device Specification,JoinTree_1.DeviceInfo,DEVICE_SPECIFICATION,,
Device Info,Device Type,JoinTree_1.DeviceInfo,DEVICE_TYPE_CD,,
Device Info,Manufacturer,JoinTree_1.DeviceInfo,MANUFACTURER_CD,,
Device Info,Serial Number,JoinTree_1.DeviceInfo,SERIAL_NUMBER,,
Device Info,Service Point ID,JoinTree_1.DeviceInfo,SP_ID,,
UnBilled Info,Address,JoinTree_1.MASTER_SOURCE,ADDRESS1,,
UnBilled Info,City,JoinTree_1.MASTER_SOURCE,CITY,,
UnBilled Info,Measurement Date Time,JoinTree_1.MASTER_SOURCE,MSRMT_DTTM,,
UnBilled Info,Measurement Value,JoinTree_1.MASTER_SOURCE,MSRMT_VAL,,
UnBilled Info,Service Agreement ID,JoinTree_1.MASTER_SOURCE,SA_ID,,
UnBilled Info,Service Agreement Status,JoinTree_1.MASTER_SOURCE,SA_STATUS,,
UnBilled Info,Service Agreement Status Code,JoinTree_1.MASTER_SOURCE,SA_STATUS_FLG,,
UnBilled Info,Service Stop Date,JoinTree_1.MASTER_SOURCE,SA_STOP_DATE,,
UnBilled Info,Service Point ID,JoinTree_1.MASTER_SOURCE,SP_ID,,
UnBilled Info,Service Point Status,JoinTree_1.MASTER_SOURCE,SP_STATUS,,
UnBilled Info,Service Type,JoinTree_1.MASTER_SOURCE,SVC_TYPE,,
