section,domain_name,Usage_Scalar_Snapshot___Domain
section,workstream,Meter Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
D1_USAGE_SCALAR_DTL_RPT_CURR,D1_USAGE_SCALAR_DTL_RPT_CURR

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
D1_USAGE_SCALAR_DTL_RPT_CURR,1,single_table,D1_USAGE_SCALAR_DTL_RPT_CURR,,Single-table domain on D1_USAGE_SCALAR_DTL_RPT_CURR

EXPOSED_FIELDS
item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
Snapshot Audit,Usage Transaction ID,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_USAGE_ID,,
Snapshot Audit,Sequence,D1_USAGE_SCALAR_DTL_RPT_CURR,SEQ_NUM,,
Snapshot Audit,Snapshot Load Date Time,D1_USAGE_SCALAR_DTL_RPT_CURR,LOAD_DTTM,,
Usage Header,Usage Subscription ID,D1_USAGE_SCALAR_DTL_RPT_CURR,US_ID,,
Usage Header,Usage External ID,D1_USAGE_SCALAR_DTL_RPT_CURR,USG_EXT_ID,,
Usage Header,Original Usage ID,D1_USAGE_SCALAR_DTL_RPT_CURR,ORG_USAGE_ID,,
Usage Header,Usage Start Date Time,D1_USAGE_SCALAR_DTL_RPT_CURR,USAGE_START_DTTM,,
Usage Header,Usage End Date Time,D1_USAGE_SCALAR_DTL_RPT_CURR,USAGE_END_DTTM,,
Usage Header,Usage Status Updated Date Time,D1_USAGE_SCALAR_DTL_RPT_CURR,USAGE_STATUS_UPD_DTTM,,
Usage Header,Usage Created Date Time,D1_USAGE_SCALAR_DTL_RPT_CURR,USAGE_CRE_DTTM,,
Usage Header,Usage Business Object Code,D1_USAGE_SCALAR_DTL_RPT_CURR,BUS_OBJ_CD,,
Usage Header,Usage Business Object,D1_USAGE_SCALAR_DTL_RPT_CURR,BUS_OBJ_DESC,,
Usage Header,Usage Status Code,D1_USAGE_SCALAR_DTL_RPT_CURR,BO_STATUS_CD,,
Usage Header,Usage Status,D1_USAGE_SCALAR_DTL_RPT_CURR,BO_STATUS_DESC,,
Usage Header,Usage Status Reason Code,D1_USAGE_SCALAR_DTL_RPT_CURR,BO_STATUS_REASON_CD,,
Usage Header,Usage Calculation Group Code,D1_USAGE_SCALAR_DTL_RPT_CURR,USG_GRP_CD,,
Usage Header,Usage Calculation Group,D1_USAGE_SCALAR_DTL_RPT_CURR,USG_GRP_DESC,,
Usage Header,Usage Calculation Type Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_USG_CAL_TYPE_CD,,
Usage Header,Usage Calculation Type,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_USG_CAL_TYPE_DESC,,
Usage Header,Usage Source Code,D1_USAGE_SCALAR_DTL_RPT_CURR,USG_SRC_FLG,,
Usage Header,Usage Source,D1_USAGE_SCALAR_DTL_RPT_CURR,USG_SRC_DESC,,
Usage Header,Service Provider Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_SPR_CD,,
Usage Header,Service Provider,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_SPR_DESC,,
Usage Header,Measurement Cycle Code,D1_USAGE_SCALAR_DTL_RPT_CURR,MSRMT_CYC_CD,,
Usage Header,Measurement Cycle,D1_USAGE_SCALAR_DTL_RPT_CURR,MSRMT_CYC_DESC,,
Usage Header,Route Code,D1_USAGE_SCALAR_DTL_RPT_CURR,MSRMT_CYC_RTE_CD,,
Usage Header,Route,D1_USAGE_SCALAR_DTL_RPT_CURR,MSRMT_CYC_RTE_DESC,,
Usage Header,Used On Bill Code,D1_USAGE_SCALAR_DTL_RPT_CURR,USED_ON_BILL_FLG,,
Usage Header,Used On Bill,D1_USAGE_SCALAR_DTL_RPT_CURR,USED_ON_BILL_DESC,,
Usage Header,Linked To Frozen Bill Segment Code,D1_USAGE_SCALAR_DTL_RPT_CURR,LINKED_TO_FRZN_BSEG_FLG,,
Usage Header,Linked To Frozen Bill Segment,D1_USAGE_SCALAR_DTL_RPT_CURR,LINKED_TO_FRZN_BSEG_DESC,,
Scalar Detail,Service Point ID,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_SP_ID,,
Scalar Detail,Measuring Component ID,D1_USAGE_SCALAR_DTL_RPT_CURR,MEASR_COMP_ID,,
Scalar Detail,Raw Unit Of Measure Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_UOM_CD,,
Scalar Detail,Raw Unit Of Measure,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_UOM_DESC,,
Scalar Detail,Raw Time Of Use Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_TOU_CD,,
Scalar Detail,Raw Time Of Use,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_TOU_DESC,,
Scalar Detail,Raw Service Quantity Identifier Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_SQI_CD,,
Scalar Detail,Raw Service Quantity Identifier,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_SQI_DESC,,
Scalar Detail,Scalar Start Date Time,D1_USAGE_SCALAR_DTL_RPT_CURR,START_DTTM,,
Scalar Detail,Scalar End Date Time,D1_USAGE_SCALAR_DTL_RPT_CURR,END_DTTM,,
Scalar Detail,Start Measurement,D1_USAGE_SCALAR_DTL_RPT_CURR,START_MSRMT,,
Scalar Detail,End Measurement,D1_USAGE_SCALAR_DTL_RPT_CURR,END_MSRMT,,
Scalar Detail,Raw Quantity,D1_USAGE_SCALAR_DTL_RPT_CURR,QUANTITY,,
Final Quantity Output,Final Unit Of Measure Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_FINAL_UOM_CD,,
Final Quantity Output,Final Unit Of Measure,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_FINAL_UOM_DESC,,
Final Quantity Output,Final Time Of Use Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_FINAL_TOU_CD,,
Final Quantity Output,Final Time Of Use,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_FINAL_TOU_DESC,,
Final Quantity Output,Final Service Quantity Identifier Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_FINAL_SQI_CD,,
Final Quantity Output,Final Service Quantity Identifier,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_FINAL_SQI_DESC,,
Final Quantity Output,Final Quantity,D1_USAGE_SCALAR_DTL_RPT_CURR,FINAL_QUANTITY,,
Final Quantity Output,Usage Flag Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_USAGE_FLG,,
Final Quantity Output,Usage Flag,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_USAGE_DESC,,
Final Quantity Output,Measuring Component Usage Code,D1_USAGE_SCALAR_DTL_RPT_CURR,MEASR_COMP_USAGE_FLG,,
Final Quantity Output,Measuring Component Usage,D1_USAGE_SCALAR_DTL_RPT_CURR,MEASR_COMP_USAGE_DESC,,
Final Quantity Output,Peak Quantity Code,D1_USAGE_SCALAR_DTL_RPT_CURR,MSR_PEAK_QTY_FLG,,
Final Quantity Output,Peak Quantity,D1_USAGE_SCALAR_DTL_RPT_CURR,MSR_PEAK_QTY_DESC,,
Final Quantity Output,Applied Multiplier,D1_USAGE_SCALAR_DTL_RPT_CURR,APPLIED_MLTR,,
Final Quantity Output,Use Percent,D1_USAGE_SCALAR_DTL_RPT_CURR,USE_PERCENT,,
Final Quantity Output,Scalar Usage Group Code,D1_USAGE_SCALAR_DTL_RPT_CURR,SCALAR_USG_GRP_CD,,
Final Quantity Output,Scalar Usage Group,D1_USAGE_SCALAR_DTL_RPT_CURR,SCALAR_USG_GRP_DESC,,
Final Quantity Output,Usage Rule Code,D1_USAGE_SCALAR_DTL_RPT_CURR,USG_RULE_CD,,
Final Quantity Output,Usage Rule,D1_USAGE_SCALAR_DTL_RPT_CURR,USG_RULE_DESC,,
Final Quantity Output,Measurement Condition Code,D1_USAGE_SCALAR_DTL_RPT_CURR,MSRMT_COND_FLG,,
Final Quantity Output,Measurement Condition,D1_USAGE_SCALAR_DTL_RPT_CURR,MSRMT_COND_DESC,,
Usage Subscription,Subscription Status Code,D1_USAGE_SCALAR_DTL_RPT_CURR,US_BO_STATUS_CD,,
Usage Subscription,Subscription Status,D1_USAGE_SCALAR_DTL_RPT_CURR,US_BO_STATUS_DESC,,
Usage Subscription,Subscription Type Code,D1_USAGE_SCALAR_DTL_RPT_CURR,US_TYPE_CD,,
Usage Subscription,Subscription Type,D1_USAGE_SCALAR_DTL_RPT_CURR,US_TYPE_DESC,,
Usage Subscription,Subscription Bill Cycle Code,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_BILL_CYC_CD,,
Usage Subscription,Subscription Bill Cycle,D1_USAGE_SCALAR_DTL_RPT_CURR,D1_BILL_CYC_DESC,,
Usage Subscription,Subscription Division Code,D1_USAGE_SCALAR_DTL_RPT_CURR,DIVISION_CD,,
Usage Subscription,Subscription Time Zone Code,D1_USAGE_SCALAR_DTL_RPT_CURR,TIME_ZONE_CD,,
Usage Subscription,Subscription Time Zone,D1_USAGE_SCALAR_DTL_RPT_CURR,TIME_ZONE_DESC,,
Usage Subscription,Subscription Access Group Code,D1_USAGE_SCALAR_DTL_RPT_CURR,ACCESS_GRP_CD,,
Usage Subscription,Subscription Access Group,D1_USAGE_SCALAR_DTL_RPT_CURR,ACCESS_GRP_DESC,,
Billing Bridge,Bridge Method,D1_USAGE_SCALAR_DTL_RPT_CURR,BRIDGE_METHOD,,
Billing Bridge,C1 Match Count,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_MATCH_COUNT,,
Billing Bridge,C1 Usage ID,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_USAGE_ID,,
Billing Bridge,C1 Master Usage ID,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_MASTER_USAGE_ID,,
Billing Bridge,C1 Service Agreement ID,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_SA_ID,,
Billing Bridge,C1 Service Point ID,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_SP_ID,,
Billing Bridge,C1 Bill Segment ID,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_BSEG_ID,,
Billing Bridge,C1 Bill Cycle Code,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_BILL_CYC_CD,,
Billing Bridge,C1 Bill Cycle,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_BILL_CYC_DESC,,
Billing Bridge,C1 Usage Status Code,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_BO_STATUS_CD,,
Billing Bridge,C1 Usage Status,D1_USAGE_SCALAR_DTL_RPT_CURR,C1_BO_STATUS_DESC,,
Billing Bridge,Bill ID,D1_USAGE_SCALAR_DTL_RPT_CURR,BILL_ID,,
Billing Bridge,Bill Segment Status Code,D1_USAGE_SCALAR_DTL_RPT_CURR,BSEG_STAT_FLG,,
Billing Bridge,Bill Segment Status,D1_USAGE_SCALAR_DTL_RPT_CURR,BSEG_STAT_DESC,,
Billing Bridge,Bill Segment Start Date,D1_USAGE_SCALAR_DTL_RPT_CURR,BSEG_START_DT,,
Billing Bridge,Bill Segment End Date,D1_USAGE_SCALAR_DTL_RPT_CURR,BSEG_END_DT,,
Service Agreement And Customer,Service Agreement ID,D1_USAGE_SCALAR_DTL_RPT_CURR,SA_ID,,
Service Agreement And Customer,Account ID,D1_USAGE_SCALAR_DTL_RPT_CURR,ACCT_ID,,
Service Agreement And Customer,Customer Class Code,D1_USAGE_SCALAR_DTL_RPT_CURR,CUST_CL_CD,,
Service Agreement And Customer,Customer Class,D1_USAGE_SCALAR_DTL_RPT_CURR,CUST_CL_DESC,,
Service Agreement And Customer,Collection Class Code,D1_USAGE_SCALAR_DTL_RPT_CURR,COLL_CL_CD,,
Service Agreement And Customer,Collection Class,D1_USAGE_SCALAR_DTL_RPT_CURR,COLL_CL_DESC,,
Service Agreement And Customer,Account Management Group Code,D1_USAGE_SCALAR_DTL_RPT_CURR,ACCT_MGMT_GRP_CD,,
Service Agreement And Customer,Account Management Group,D1_USAGE_SCALAR_DTL_RPT_CURR,ACCT_MGMT_GRP_DESC,,
Service Agreement And Customer,Budget Plan Code,D1_USAGE_SCALAR_DTL_RPT_CURR,BUD_PLAN_CD,,
Service Agreement And Customer,Budget Plan,D1_USAGE_SCALAR_DTL_RPT_CURR,BUD_PLAN_DESC,,
Service Agreement And Customer,Person ID,D1_USAGE_SCALAR_DTL_RPT_CURR,PER_ID,,
Service Agreement And Customer,Customer Name,D1_USAGE_SCALAR_DTL_RPT_CURR,CUSTOMER_NAME,,
