domain_name,workstream,item_group_label,field_label,source_table,source_column,dimension_or_measure,default_aggregation
Bill_Segment___Domain,Billing and Rates,1.) Bill,Account ID,JoinTree_1.CI_BILL,ACCT_ID,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Allow Reopen,JoinTree_1.CI_BILL,ALLOW_REOPEN_SW,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Seq Bill Number,JoinTree_1.CI_BILL,ALT_BILL_ID,,CountAll
Bill_Segment___Domain,Billing and Rates,1.) Bill,Auto Pay Amount,JoinTree_1.CI_BILL,APAY_AMT,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Auto Pay Creation Date,JoinTree_1.CI_BILL,APAY_CRE_DT,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Auto Pay Stop Amount,JoinTree_1.CI_BILL,APAY_STOP_AMT,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Auto Pay Stop Creation Date,JoinTree_1.CI_BILL,APAY_STOP_CRE_DT,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Auto Pay Stop Date/Time,JoinTree_1.CI_BILL,APAY_STOP_DTTM,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Auto Pay Stop User Id,JoinTree_1.CI_BILL,APAY_STOP_USER_ID,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Archived,JoinTree_1.CI_BILL,ARCHIVE_SW,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Bill Cycle (Bill),JoinTree_1.CI_BILL,BILL_CYC_CD,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Bill Date,JoinTree_1.CI_BILL,BILL_DT,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Bill ID                       ,JoinTree_1.CI_BILL,BILL_ID,,
Bill_Segment___Domain,Billing and Rates,1.) Bill,Digitial Bill Signature,JoinTree_1.CI_BILL,BILL_SIGN,,
