domain_name,domain_label,workstream,workstream_folder,subfolder,table_count,join_count,field_count
Bill_Segment___Domain,Bill Segment - Domain,Billing and Rates,Billing_and_Rates,Billed_Usage,33,31,138
Billed_Usage_SQ_Snapshot___Domain,Billed Usage SQ Snapshot - Domain,Billing and Rates,Billing_and_Rates,Billed_Usage,1,1,50
Billed_Usage_Snapshot___Domain,Billed Amount Snapshot - Domain,Billing and Rates,Billing_and_Rates,Billed_Amount,1,1,62
Deposit_Control___Domain,Deposit Control - Domain,Cashiering,Cashiering,Deposit_Control,23,17,63
Pay_Plan___Domain,Pay Plan - Domain,Cashiering,Cashiering,Pay_Plan,15,11,27
Payment_Header___Domain,Payment - Domain,Cashiering,Cashiering,Payment_Header,8,6,24
Payment_Tender___Domain,Tender - Domain,Cashiering,Cashiering,Payment_Tender,14,11,52
Batch_Process___Domain,Batch Process - Domain,Common,Common,Batch,9,6,34
Bill_Segment_Exception___Domain,Bill Segment Exception - Domain,Common,Common,Exception,28,26,102
To_Do___Domain,To Do - Domain,Common,Common,To_Do,18,17,82
Usage_Transaction_Exception___Domain,Usage Transaction Exception - Domain,Common,Common,Exception,35,34,90
VEE_Exception___Domain,VEE Exception - Domain,Common,Common,Exception,38,33,90
Account_Alert___Domain,Account Alert - Domain,Customer Operations,Customer_Operations,Account_Alert,17,15,50
C_Side___Domain,C-Side - Domain,Customer Operations,Customer_Operations,Customer,30,29,116
Case___Domain,Case - Domain,Customer Operations,Customer_Operations,Case,30,25,117
Customer_Contact___Domain,Customer Contact - Domain,Customer Operations,Customer_Operations,Customer_Contact,21,19,93
Customer___Domain,Customer - Domain,Customer Operations,Customer_Operations,Customer,14,10,45
Landlord_Agreement___Domain,Landlord Agreement - Domain,Customer Operations,Customer_Operations,Landlord_Agreement,12,9,47
Premise___Domain,Premise - Domain,Customer Operations,Customer_Operations,Premise,25,17,110
Debt_Class___Domain,Debt Class - Domain,Debt Management,Debt_Management,SA_Snapshot___Aged_Balance,0,0,0
SA_Snapshot___Aged_Balance___Domain,SA Snapshot - Domain,Debt Management,Debt_Management,SA_Snapshot___Aged_Balance,28,26,167
Severance_Process___Domain,Severance Process - Domain,Debt Management,Debt_Management,Severance_Process,27,24,139
Write_Off_Process___Domain,Write Off Process - Domain,Debt Management,Debt_Management,Write_Off_Process_1,21,19,60
Write_Offs___Domain,Write Offs - Domain,Debt Management,Debt_Management,Write_Off_Process_1,10,9,60
FT_and_GL_Snapshot___Domain,FT and GL Snapshot - Domain,Development,Development,Snapshots/Financial_Transaction/General_Ledger,1,1,96
Measurement_Snapshot___Domain,Measurement Snapshot - Domain,Development,Development,Snapshots/Meter_Operations/Measurements,1,1,132
Crew___Domain,Crew - Domain,Field Operations,Field_Operations,Crew,24,23,70
Field_Activity___Domain,Field Activity - Domain,Field Operations,Field_Operations,Field_Activity,30,28,102
Billable_Charge___Domain,Billable Charge - Domain,Finance,Finance,Billable_Charge,25,23,97
FT_and_GL_Snapshot___Domain,FT and GL Snapshot - Domain,Finance,Finance,General_Ledger,1,1,96
Financial_Transaction_Snapshot___Domain,Financial Transaction Snapshot - Domain,Finance,Finance,Financial_Transaction,1,1,45
Financial_Transaction___Domain,Financial Transaction - Domain,Finance,Finance,Financial_Transaction,35,31,205
Asset___Domain,Asset - Domain,Meter Operations,Meter_Operations,Asset,53,49,159
Device___Domain,Device - Domain,Meter Operations,Meter_Operations,Device,71,71,207
Measurement_Snapshot___Domain,Measurement Snapshot - Domain,Meter Operations,Meter_Operations,Measurements,1,1,132
Un_Billed_Usage___Domain,Un-Billed Usage - Domain,Meter Operations,Meter_Operations,Usage,0,0,11
Usage_Scalar_Snapshot___Domain,Usage Scalar Snapshot - Domain,Meter Operations,Meter_Operations,Usage,1,1,113
Usage_Transactions_Snapshot___Domain,Usage Transactions Snapshot - Domain,Meter Operations,Meter_Operations,Usage_Transactions,1,1,104
New_Services___Domain,New Services - Domain,New Services and Planning,New_Services___Planning,New_Services,30,29,118
