domain_name,workstream,join_tree_id,join_sequence,join_type,left_table,right_table,join_expression
Bill_Segment___Domain,Billing and Rates,JoinTree_1,1,inner,CI_BILL,CI_BSEG,CI_BILL.BILL_ID == CI_BSEG.BILL_ID
Bill_Segment___Domain,Billing and Rates,JoinTree_1,2,inner,CI_BSEG,CI_BSEG_READ,CI_BSEG.BSEG_ID == CI_BSEG_READ.BSEG_ID
Bill_Segment___Domain,Billing and Rates,JoinTree_1,3,inner,CI_BSEG,CI_BSEG_SQ,CI_BSEG.BSEG_ID == CI_BSEG_SQ.BSEG_ID
Bill_Segment___Domain,Billing and Rates,JoinTree_1,4,inner,CI_BSEG,CI_BSEG_CALC,CI_BSEG.BSEG_ID == CI_BSEG_CALC.BSEG_ID
Bill_Segment___Domain,Billing and Rates,JoinTree_1,5,inner,CI_BILL,CI_ACCT,CI_BILL.ACCT_ID == CI_ACCT.ACCT_ID
Bill_Segment___Domain,Billing and Rates,JoinTree_1,6,inner,CI_ACCT,CI_ACCT_PER,CI_ACCT.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,7,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,8,leftOuter,CI_BILL,CI_BILL_CYC_L,CI_BILL.BILL_CYC_CD == CI_BILL_CYC_L.BILL_CYC_CD and CI_BILL_CYC_L.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,9,inner,CI_BILL,CI_LOOKUP_VAL_L,CI_BILL.BILL_STAT_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'BILL_STAT_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,10,leftOuter,CI_BILL,SC_USER,CI_BILL.APAY_STOP_USER_ID == SC_USER.USER_ID
Bill_Segment___Domain,Billing and Rates,JoinTree_1,11,leftOuter,CI_BILL,CI_LOOKUP_VAL_L_1,CI_BILL.DOC_TYPE_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'DOC_TYPE_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,12,leftOuter,CI_ACCT,CI_BILL_CYC_L_1,CI_ACCT.BILL_CYC_CD == CI_BILL_CYC_L_1.BILL_CYC_CD and CI_BILL_CYC_L_1.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,13,leftOuter,CI_ACCT,CI_ACCT_MGMT_GR_L,CI_ACCT.ACCT_MGMT_GRP_CD == CI_ACCT_MGMT_GR_L.ACCT_MGMT_GRP_CD and CI_ACCT_MGMT_GR_L.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,14,inner,CI_ACCT,CI_COLL_CL_L,CI_ACCT.COLL_CL_CD == CI_COLL_CL_L.COLL_CL_CD and CI_COLL_CL_L.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,15,inner,CI_ACCT,CI_CUST_CL_L,CI_ACCT.CUST_CL_CD == CI_CUST_CL_L.CUST_CL_CD and CI_CUST_CL_L.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,16,leftOuter,CI_ACCT,CI_BUD_PLAN_L,CI_ACCT.BUD_PLAN_CD == CI_BUD_PLAN_L.BUD_PLAN_CD and CI_BUD_PLAN_L.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,17,leftOuter,CI_BSEG,CI_BILL_CYC_L_2,CI_BSEG.BILL_CYC_CD == CI_BILL_CYC_L_2.BILL_CYC_CD and CI_BILL_CYC_L_2.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,18,leftOuter,CI_BSEG,CI_BILL_CAN_RSN_L,CI_BSEG.CAN_RSN_CD == CI_BILL_CAN_RSN_L.CAN_RSN_CD and CI_BILL_CAN_RSN_L.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,19,inner,CI_BSEG,CI_LOOKUP_VAL_L_2,CI_BSEG.BSEG_STAT_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'BSEG_STAT_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
Bill_Segment___Domain,Billing and Rates,JoinTree_1,20,leftOuter,CI_BSEG_CALC,CI_RS_L,CI_BSEG_CALC.RS_CD == CI_RS_L.RS_CD and CI_RS_L.LANGUAGE_CD == 'ENG'
