domain_name,workstream,domain_table_alias,physical_table
Bill_Segment___Domain,Billing and Rates,CI_BILL,CI_BILL
Bill_Segment___Domain,Billing and Rates,CI_ACCT,CI_ACCT
Bill_Segment___Domain,Billing and Rates,CI_ACCT_PER,CI_ACCT_PER
Bill_Segment___Domain,Billing and Rates,CI_PER_NAME,CI_PER_NAME
Bill_Segment___Domain,Billing and Rates,CI_BILL_CYC_L,CI_BILL_CYC_L
Bill_Segment___Domain,Billing and Rates,CI_BILL_CYC_L_1,CI_BILL_CYC_L
Bill_Segment___Domain,Billing and Rates,CI_BILL_CYC_L_2,CI_BILL_CYC_L
Bill_Segment___Domain,Billing and Rates,CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
Bill_Segment___Domain,Billing and Rates,CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
Bill_Segment___Domain,Billing and Rates,CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
Bill_Segment___Domain,Billing and Rates,CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
Bill_Segment___Domain,Billing and Rates,CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
Bill_Segment___Domain,Billing and Rates,SC_USER,SC_USER
Bill_Segment___Domain,Billing and Rates,CI_ACCT_MGMT_GR_L,CI_ACCT_MGMT_GR_L
Bill_Segment___Domain,Billing and Rates,CI_COLL_CL_L,CI_COLL_CL_L
Bill_Segment___Domain,Billing and Rates,CI_CUST_CL_L,CI_CUST_CL_L
Bill_Segment___Domain,Billing and Rates,CI_BUD_PLAN_L,CI_BUD_PLAN_L
Bill_Segment___Domain,Billing and Rates,CI_BSEG,CI_BSEG
Bill_Segment___Domain,Billing and Rates,CI_BSEG_CALC,CI_BSEG_CALC
Bill_Segment___Domain,Billing and Rates,CI_BSEG_READ,CI_BSEG_READ
Bill_Segment___Domain,Billing and Rates,CI_BSEG_SQ,CI_BSEG_SQ
Bill_Segment___Domain,Billing and Rates,CI_BILL_CAN_RSN_L,CI_BILL_CAN_RSN_L
Bill_Segment___Domain,Billing and Rates,CI_RS_L,CI_RS_L
Bill_Segment___Domain,Billing and Rates,CI_UOM_L,CI_UOM_L
Bill_Segment___Domain,Billing and Rates,CI_UOM_L_1,CI_UOM_L
Bill_Segment___Domain,Billing and Rates,CI_UOM_L_2,CI_UOM_L
Bill_Segment___Domain,Billing and Rates,CI_TOU_L,CI_TOU_L
Bill_Segment___Domain,Billing and Rates,CI_TOU_L_1,CI_TOU_L
Bill_Segment___Domain,Billing and Rates,CI_TOU_L_2,CI_TOU_L
Bill_Segment___Domain,Billing and Rates,CI_SQI_L,CI_SQI_L
Bill_Segment___Domain,Billing and Rates,CI_SQI_L_1,CI_SQI_L
Bill_Segment___Domain,Billing and Rates,CI_SQI_L_2,CI_SQI_L
Bill_Segment___Domain,Billing and Rates,JoinTree_1,CI_BILL
Billed_Usage_SQ_Snapshot___Domain,Billing and Rates,BSEG_SQ_USAGE_RPT_CURR,BSEG_SQ_USAGE_RPT_CURR
Billed_Usage_Snapshot___Domain,Billing and Rates,BSEG_BILLED_USAGE_RPT_CURR,BSEG_BILLED_USAGE_RPT_CURR
SC_Unbilled_Billing_Domain,Billing and Rates,CI_BSEG_EXCP,CI_BSEG_EXCP
SC_Unbilled_Billing_Domain,Billing and Rates,CI_BSEG,CI_BSEG
Deposit_Control___Domain,Cashiering,CI_DEP_CTL,CI_DEP_CTL
Deposit_Control___Domain,Cashiering,CI_DEP_CTL_1,CI_DEP_CTL
Deposit_Control___Domain,Cashiering,CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
Deposit_Control___Domain,Cashiering,CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
Deposit_Control___Domain,Cashiering,CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
Deposit_Control___Domain,Cashiering,CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
Deposit_Control___Domain,Cashiering,CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
Deposit_Control___Domain,Cashiering,CI_TNDR_CTL,CI_TNDR_CTL
Deposit_Control___Domain,Cashiering,CI_TNDR_DEP,CI_TNDR_DEP
Deposit_Control___Domain,Cashiering,CI_TNDR_SRCE_L,CI_TNDR_SRCE_L
Deposit_Control___Domain,Cashiering,CI_TNDR_END_BAL,CI_TNDR_END_BAL
Deposit_Control___Domain,Cashiering,SC_USER,SC_USER
Deposit_Control___Domain,Cashiering,SC_USER_1,SC_USER
Deposit_Control___Domain,Cashiering,SC_USER_2,SC_USER
Deposit_Control___Domain,Cashiering,SC_USER_3,SC_USER
Deposit_Control___Domain,Cashiering,SC_USER_4,SC_USER
Deposit_Control___Domain,Cashiering,SC_USER_5,SC_USER
Deposit_Control___Domain,Cashiering,CI_BATCH_CTRL_L,CI_BATCH_CTRL_L
Deposit_Control___Domain,Cashiering,CI_TENDER_TYPE_L,CI_TENDER_TYPE_L
Deposit_Control___Domain,Cashiering,CI_BANK_L,CI_BANK_L
Deposit_Control___Domain,Cashiering,CI_BANK_ACCOUNT_L,CI_BANK_ACCOUNT_L
Deposit_Control___Domain,Cashiering,JoinTree_1,CI_TNDR_CTL
Deposit_Control___Domain,Cashiering,JoinTree_2,CI_DEP_CTL
Pay_Plan___Domain,Cashiering,CI_PP,CI_PP
Pay_Plan___Domain,Cashiering,CI_PP_SCHED_PAY,CI_PP_SCHED_PAY
Pay_Plan___Domain,Cashiering,CI_PP_TYPE_L,CI_PP_TYPE_L
